,STATION,DATE,TIME,ENTRIES,EXITS
42,138/GRAND CONC,04/13/2019,00:00:00,999474396,964945306
126,149/GRAND CONC,04/13/2019,00:00:00,305910101,1951467
213,167 ST,04/13/2019,00:00:00,19130652,13684515
259,170 ST,04/13/2019,00:00:00,59028402,57082698
304,176 ST,04/13/2019,00:00:00,16595705,10527225
346,183 ST,04/13/2019,00:00:00,4587484588,2740011948
388,59 ST,04/13/2019,00:00:00,2079953527,1633516389
430,86 ST,04/13/2019,00:00:00,2130423611,2450374176
472,ATL AV-BARCLAY,04/13/2019,00:00:00,921731670,277687481
516,BEDFORD PK BLVD,04/13/2019,00:00:00,206176389,1917160
558,BOROUGH HALL,04/13/2019,00:00:00,208890833,71904475
641,BOWLING GREEN,04/13/2019,00:00:00,2364953559,1600876234
683,BROOKLYN BRIDGE,04/13/2019,00:00:00,621534057,669821622
725,BURNSIDE AV,04/13/2019,00:00:00,3121230,1671873
767,CHAMBERS ST,04/13/2019,00:00:00,892033023,1825424363
809,CROWN HTS-UTICA,04/13/2019,00:00:00,231805143,90508054
851,FORDHAM RD,04/13/2019,00:00:00,1242211454,201130635
893,FRANKLIN AV,04/13/2019,00:00:00,615975239,2215404554
1023,GRD CNTRL-42 ST,04/13/2019,00:00:00,2415502811,3007932467
1189,MT EDEN AV,04/13/2019,00:00:00,12122708,8735249
1231,NEVINS ST,04/13/2019,00:00:00,27183052,30037719
1315,WOODLAWN,04/13/2019,00:00:00,30242711,11838232
168,161/YANKEE STAD,04/13/2019,00:22:00,2027548298,1330695700
0,125 ST,04/13/2019,01:00:00,1481811068,1195084017
84,14 ST-UNION SQ,04/13/2019,01:00:00,704154403,367110672
600,BOTANIC GARDEN,04/13/2019,01:00:00,5798762,3062421
936,FULTON ST,04/13/2019,01:00:00,761192018,2041175889
1024,GRD CNTRL-42 ST,04/13/2019,01:00:00,186864482,159422574
1114,KINGSBRIDGE RD,04/13/2019,01:00:00,35571483,15953916
1147,MOSHOLU PKWY,04/13/2019,01:00:00,28699665,14824000
1273,WALL ST,04/13/2019,02:00:00,473001102,264315828
937,FULTON ST,04/13/2019,03:00:00,3443445082,2265607132
43,138/GRAND CONC,04/13/2019,04:00:00,999474495,964945469
127,149/GRAND CONC,04/13/2019,04:00:00,305910352,1952047
214,167 ST,04/13/2019,04:00:00,19130780,13685019
260,170 ST,04/13/2019,04:00:00,59028512,57083054
305,176 ST,04/13/2019,04:00:00,16595785,10527391
347,183 ST,04/13/2019,04:00:00,4587484679,2740012126
389,59 ST,04/13/2019,04:00:00,2079954570,1633516854
431,86 ST,04/13/2019,04:00:00,2130424102,2450374654
473,ATL AV-BARCLAY,04/13/2019,04:00:00,921733335,277688597
517,BEDFORD PK BLVD,04/13/2019,04:00:00,206176439,1917367
559,BOROUGH HALL,04/13/2019,04:00:00,208891199,71904715
642,BOWLING GREEN,04/13/2019,04:00:00,2364953879,1600876610
684,BROOKLYN BRIDGE,04/13/2019,04:00:00,621534270,669821774
726,BURNSIDE AV,04/13/2019,04:00:00,3121353,1672161
768,CHAMBERS ST,04/13/2019,04:00:00,892033151,1825424437
810,CROWN HTS-UTICA,04/13/2019,04:00:00,231805432,90509040
852,FORDHAM RD,04/13/2019,04:00:00,1242211608,201130756
894,FRANKLIN AV,04/13/2019,04:00:00,615975346,2215404935
1025,GRD CNTRL-42 ST,04/13/2019,04:00:00,2415504092,3007933180
