,STATION,DATE,TIME,ENTRIES,EXITS
0,104 ST,04/13/2019,00:00:00,3381423688,1978973350
1,104 ST,04/13/2019,04:00:00,3381423708,1978973396
2,104 ST,04/13/2019,08:00:00,3381424012,1978973416
3,104 ST,04/13/2019,12:00:00,3381424386,1978973504
4,104 ST,04/13/2019,16:00:00,3381424700,1978973630
5,104 ST,04/13/2019,20:00:00,3381424952,1978973848
6,104 ST,04/14/2019,00:00:00,3381425054,1978974028
7,104 ST,04/14/2019,04:00:00,3381425082,1978974078
8,104 ST,04/14/2019,08:00:00,3381425268,1978974102
9,104 ST,04/14/2019,12:00:00,3381425560,1978974156
10,104 ST,04/14/2019,16:00:00,3381425768,1978974274
11,104 ST,04/14/2019,20:00:00,3381425918,1978974458
12,104 ST,04/15/2019,00:00:00,3381425972,1978974568
13,104 ST,04/15/2019,04:00:00,3381426010,1978974598
14,104 ST,04/15/2019,08:00:00,3381427056,1978974666
15,104 ST,04/15/2019,12:00:00,3381427806,1978974790
16,104 ST,04/15/2019,16:00:00,3381428174,1978974990
17,104 ST,04/15/2019,20:00:00,3381428430,1978975592
18,104 ST,04/16/2019,00:00:00,3381428516,1978975818
19,104 ST,04/16/2019,04:00:00,3381428562,1978975868
20,104 ST,04/16/2019,08:00:00,3381429684,1978975922
21,104 ST,04/16/2019,12:00:00,3381430424,1978976018
22,104 ST,04/16/2019,16:00:00,3381430804,1978976252
23,104 ST,04/16/2019,20:00:00,3381431058,1978976918
24,104 ST,04/17/2019,00:00:00,3381431122,1978977124
25,104 ST,04/17/2019,04:00:00,3381431154,1978977192
26,104 ST,04/17/2019,08:00:00,3381432236,1978977236
27,104 ST,04/17/2019,12:00:00,3381432932,1978977348
28,104 ST,04/17/2019,16:00:00,3381433242,1978977570
29,104 ST,04/17/2019,20:00:00,3381433504,1978978230
30,104 ST,04/18/2019,00:00:00,3381433582,1978978470
31,104 ST,04/18/2019,04:00:00,3381433616,1978978520
32,104 ST,04/18/2019,08:00:00,3381434688,1978978574
33,104 ST,04/18/2019,12:00:00,3381435422,1978978672
34,104 ST,04/18/2019,16:00:00,3381435778,1978978906
35,104 ST,04/18/2019,20:00:00,3381436016,1978979490
36,104 ST,04/19/2019,00:00:00,3381436092,1978979758
37,104 ST,04/19/2019,04:00:00,3381436122,1978979796
38,104 ST,04/19/2019,08:00:00,3381436884,1978979828
39,104 ST,04/19/2019,12:00:00,3381437452,1978979924
40,104 ST,04/19/2019,16:00:00,3381437754,1978980146
41,104 ST,04/19/2019,20:00:00,3381437924,1978980588
42,111 ST,04/13/2019,01:00:00,113549944,41036078
43,111 ST,04/13/2019,05:00:00,113549996,41036124
44,111 ST,04/13/2019,09:00:00,113550798,41036178
45,111 ST,04/13/2019,13:00:00,113551332,41036300
46,111 ST,04/13/2019,17:00:00,113551880,41036506
