,STATION,DATE,TIME,ENTRIES,EXITS
0,103 ST,04/13/2019,0,29718978,25609346
42,116 ST,04/13/2019,0,362169140,391145273
84,125 ST,04/13/2019,0,506894382,421257880
126,135 ST,04/13/2019,0,207129243,31295894
168,145 ST,04/13/2019,0,113373327,115361301
186,155 ST,04/13/2019,0,21812256,14206385
228,161/YANKEE STAD,04/13/2019,0,2027548298,1330695700
270,167 ST,04/13/2019,0,1808313298,872068543
312,170 ST,04/13/2019,0,1288104293,1413650330
354,174-175 STS,04/13/2019,0,17529400,8115884
396,182-183 STS,04/13/2019,0,1490782827,1852428740
438,34 ST-HERALD SQ,04/13/2019,0,4612168464,5769036346
480,42 ST-BRYANT PK,04/13/2019,0,1943132875,1411650720
522,47-50 STS ROCK,04/13/2019,0,2261942378,2260293778
564,5 AVE,04/13/2019,0,1132529690,510867396
606,59 ST COLUMBUS,04/13/2019,0,3421271715,2996513172
648,7 AV,04/13/2019,0,1909070878,859726593
690,72 ST,04/13/2019,0,22063929,17161087
732,81 ST-MUSEUM,04/13/2019,0,43769133,38436202
774,86 ST,04/13/2019,0,25383959,12317872
816,96 ST,04/13/2019,0,30701724,26443555
858,ATL AV-BARCLAY,04/13/2019,0,921731670,277687481
900,AVENUE H,04/13/2019,0,119484446,1921209
942,AVENUE J,04/13/2019,0,22805818,14358085
984,AVENUE M,04/13/2019,0,114365252,5168623
1026,AVENUE U,04/13/2019,0,191394572,35049408
1068,B'WAY-LAFAYETTE,04/13/2019,0,1987161114,1615017924
1110,BEDFORD PK BLVD,04/13/2019,0,11230908,6981873
1152,BEVERLEY ROAD,04/13/2019,0,10702000,12829374
1194,BRIGHTON BEACH,04/13/2019,0,77716382,68324855
1236,CATHEDRAL PKWY,04/13/2019,0,91485464,148904467
1278,CHURCH AV,04/13/2019,0,83424031,88749709
1320,CORTELYOU RD,04/13/2019,0,9215087,3508445
1362,DEKALB AV,04/13/2019,0,1463180610,1172851184
1404,FORDHAM RD,04/13/2019,0,27231089,11171132
1446,GRAND ST,04/13/2019,0,305657740,1465242117
1488,KINGS HWY,04/13/2019,0,2017015148,2052772654
1530,KINGSBRIDGE RD,04/13/2019,0,730187608,722983529
1572,NECK RD,04/13/2019,0,179929137,18486952
1614,NEWKIRK PLAZA,04/13/2019,0,48285161,43446836
1656,PARKSIDE AV,04/13/2019,0,39968838,34966635
1698,PROSPECT PARK,04/13/2019,0,1612374714,826868432
1740,SHEEPSHEAD BAY,04/13/2019,0,50071703,45639185
1782,TREMONT AV,04/13/2019,0,235329985,181081926
1824,W 4 ST-WASH SQ,04/13/2019,0,244541423,114969807
1,103 ST,04/13/2019,1,29719032,25609439
43,116 ST,04/13/2019,1,362169199,391145397
85,125 ST,04/13/2019,1,506895005,421258912
127,135 ST,04/13/2019,1,207129265,31295980
169,145 ST,04/13/2019,1,113373653,115362741
187,155 ST,04/13/2019,1,21812301,14206465
229,161/YANKEE STAD,04/13/2019,1,2027548600,1330696141
271,167 ST,04/13/2019,1,1808313387,872068760
313,170 ST,04/13/2019,1,1288104393,1413650451
355,174-175 STS,04/13/2019,1,17529471,8116057
397,182-183 STS,04/13/2019,1,1490782842,1852428881
439,34 ST-HERALD SQ,04/13/2019,1,4612171045,5769038023
481,42 ST-BRYANT PK,04/13/2019,1,1943133713,1411651070
523,47-50 STS ROCK,04/13/2019,1,2261943505,2260294071
565,5 AVE,04/13/2019,1,1132529932,510867452
607,59 ST COLUMBUS,04/13/2019,1,3421273637,2996513903
649,7 AV,04/13/2019,1,1909071120,859726969
691,72 ST,04/13/2019,1,22064010,17161209
733,81 ST-MUSEUM,04/13/2019,1,43769179,38436261
775,86 ST,04/13/2019,1,25384052,12317992
817,96 ST,04/13/2019,1,30701777,26443677
859,ATL AV-BARCLAY,04/13/2019,1,921733335,277688597
901,AVENUE H,04/13/2019,1,119484460,1921340
943,AVENUE J,04/13/2019,1,22805845,14358174
985,AVENUE M,04/13/2019,1,114365270,5168666
1027,AVENUE U,04/13/2019,1,191394633,35049473
1069,B'WAY-LAFAYETTE,04/13/2019,1,1987161440,1615018173
1111,BEDFORD PK BLVD,04/13/2019,1,11231011,6982066
1153,BEVERLEY ROAD,04/13/2019,1,10702032,12829622
1195,BRIGHTON BEACH,04/13/2019,1,77716434,68325036
1237,CATHEDRAL PKWY,04/13/2019,1,91485528,148904548
1279,CHURCH AV,04/13/2019,1,83424172,88750669
1321,CORTELYOU RD,04/13/2019,1,9215137,3508537
1363,DEKALB AV,04/13/2019,1,1463180945,1172851553
1405,FORDHAM RD,04/13/2019,1,27231218,11171537
1447,GRAND ST,04/13/2019,1,305658321,1465242484
1489,KINGS HWY,04/13/2019,1,2017015243,2052773162
1531,KINGSBRIDGE RD,04/13/2019,1,730187723,722983891
1573,NECK RD,04/13/2019,1,179929159,18487009
1615,NEWKIRK PLAZA,04/13/2019,1,48285232,43447149
1657,PARKSIDE AV,04/13/2019,1,39968911,34966875
1699,PROSPECT PARK,04/13/2019,1,1612374827,826868914
1741,SHEEPSHEAD BAY,04/13/2019,1,50071800,45639399
1783,TREMONT AV,04/13/2019,1,235330153,181082176
1825,W 4 ST-WASH SQ,04/13/2019,1,244543090,114970389
2,103 ST,04/13/2019,2,29719323,25609622
44,116 ST,04/13/2019,2,362169557,391145674
86,125 ST,04/13/2019,2,506896140,421259938
128,135 ST,04/13/2019,2,207129328,31296060
170,145 ST,04/13/2019,2,113375031,115363375
188,155 ST,04/13/2019,2,21812741,14206580
230,161/YANKEE STAD,04/13/2019,2,2027550141,1330696641
272,167 ST,04/13/2019,2,1808314374,872068907
314,170 ST,04/13/2019,2,1288105463,1413650661
356,174-175 STS,04/13/2019,2,17529907,8116178
398,182-183 STS,04/13/2019,2,1490783001,1852428975
440,34 ST-HERALD SQ,04/13/2019,2,4612172950,5769041511
482,42 ST-BRYANT PK,04/13/2019,2,1943134021,1411651839
524,47-50 STS ROCK,04/13/2019,2,2261943971,2260295269
566,5 AVE,04/13/2019,2,1132530023,510867853
608,59 ST COLUMBUS,04/13/2019,2,3421274723,2996515969
650,7 AV,04/13/2019,2,1909071905,859728294
692,72 ST,04/13/2019,2,22064064,17161417
734,81 ST-MUSEUM,04/13/2019,2,73717874,62027315
776,86 ST,04/13/2019,2,25384146,12318354
818,96 ST,04/13/2019,2,30701890,26444028
860,ATL AV-BARCLAY,04/13/2019,2,921734315,277689685
902,AVENUE H,04/13/2019,2,119484575,1921406
944,AVENUE J,04/13/2019,2,22806148,14358235
986,AVENUE M,04/13/2019,2,114365514,5168698
1028,AVENUE U,04/13/2019,2,191395669,35049612
1070,B'WAY-LAFAYETTE,04/13/2019,2,1987161636,1615019406
1112,BEDFORD PK BLVD,04/13/2019,2,11231951,6982325
1154,BEVERLEY ROAD,04/13/2019,2,10702151,12829700
1196,BRIGHTON BEACH,04/13/2019,2,77717169,68325226
1238,CATHEDRAL PKWY,04/13/2019,2,109033660,161044911
1280,CHURCH AV,04/13/2019,2,83425603,88751058
1322,CORTELYOU RD,04/13/2019,2,9215475,3508587
1364,DEKALB AV,04/13/2019,2,1463181560,1172851931
1406,FORDHAM RD,04/13/2019,2,27232236,11171799
1448,GRAND ST,04/13/2019,2,305658782,1465243199
1490,KINGS HWY,04/13/2019,2,2017016250,2052773572
1532,KINGSBRIDGE RD,04/13/2019,2,730188979,722984260
1574,NECK RD,04/13/2019,2,179929543,18487031
1616,NEWKIRK PLAZA,04/13/2019,2,48286681,43447585
1658,PARKSIDE AV,04/13/2019,2,39969242,34967082
1700,PROSPECT PARK,04/13/2019,2,1612375348,826869099
1742,SHEEPSHEAD BAY,04/13/2019,2,50072995,45639906
1784,TREMONT AV,04/13/2019,2,235331693,181082550
1826,W 4 ST-WASH SQ,04/13/2019,2,244544137,114972485
3,103 ST,04/13/2019,3,29720171,25609983
45,116 ST,04/13/2019,3,362170582,391146230
87,125 ST,04/13/2019,3,506900466,421263663
129,135 ST,04/13/2019,3,207129559,31296333
171,145 ST,04/13/2019,3,113379674,115365645
189,155 ST,04/13/2019,3,21813357,14206800
231,161/YANKEE STAD,04/13/2019,3,2027552934,1330700574
273,167 ST,04/13/2019,3,1808316129,872069271
