,STATION,DATE,TIME,ENTRIES,EXITS
84,125 ST,04/13/2019,00:00:00,506894382,421257880
211,145 ST,04/13/2019,00:00:00,113373327,115361301
313,168 ST,04/13/2019,00:00:00,86612253,52019003
356,23 ST,04/13/2019,00:00:00,314636896,1411044887
399,34 ST-PENN STA,04/13/2019,00:00:00,1666859967,1578149339
484,42 ST-PORT AUTH,04/13/2019,00:00:00,7250232418,6083034059
568,50 ST,04/13/2019,00:00:00,76867779,39391636
610,59 ST COLUMBUS,04/13/2019,00:00:00,3421271715,2996513172
653,72 ST,04/13/2019,00:00:00,22063929,17161087
783,86 ST,04/13/2019,00:00:00,25383959,12317872
825,96 ST,04/13/2019,00:00:00,30701724,26443555
867,BROADWAY JCT,04/13/2019,00:00:00,62012024,58262032
909,CANAL ST,04/13/2019,00:00:00,961816284,603604467
995,CHAMBERS ST,04/13/2019,00:00:00,1942788050,833321422
1037,CLINTON-WASH AV,04/13/2019,00:00:00,169154147,69403121
1079,EUCLID AV,04/13/2019,00:00:00,26302773,12058740
1250,HIGH ST,04/13/2019,00:00:00,2751210359,3700065696
1292,HOYT-SCHER,04/13/2019,00:00:00,41596669,40615816
1334,JAY ST-METROTEC,04/13/2019,00:00:00,327010803,51803185
1376,KINGSTON-THROOP,04/13/2019,00:00:00,24419820,24449067
1502,NOSTRAND AV,04/13/2019,00:00:00,13692583,25887921
1546,PARK PLACE,04/13/2019,00:00:00,9420114,9239805
1714,SPRING ST,04/13/2019,00:00:00,479339319,91267173
1756,TIMES SQ-42 ST,04/13/2019,00:00:00,5861981956,4576867762
1927,WORLD TRADE CTR,04/13/2019,00:00:00,1596903910,1840503828
0,103 ST,04/13/2019,01:00:00,29718978,25609346
42,116 ST,04/13/2019,01:00:00,362169140,391145273
127,135 ST,04/13/2019,01:00:00,207129243,31295894
169,14 ST,04/13/2019,01:00:00,2396576530,1202538404
229,155 ST,04/13/2019,01:00:00,15965650,13825412
271,163 ST-AMSTERDM,04/13/2019,01:00:00,19068299,10369706
696,8 AV,04/13/2019,01:00:00,187885640,76706808
738,81 ST-MUSEUM,04/13/2019,01:00:00,43769133,38436202
952,CATHEDRAL PKWY,04/13/2019,01:00:00,91485464,148904467
1121,FRANKLIN AV,04/13/2019,01:00:00,84606857,42531020
1163,FULTON ST,04/13/2019,01:00:00,761192018,2041175889
