,STATION,DATE,TIME,ENTRIES,EXITS
0,NORWOOD 205 ST,04/13/2019,0,0.0,0.0
1,BEDFORD PK BLVD,04/13/2019,0,0.0,0.0
2,KINGSBRIDGE RD,04/13/2019,0,0.0,0.0
3,FORDHAM RD,04/13/2019,0,0.0,0.0
4,182-183 STS,04/13/2019,0,0.0,0.0
5,174-175 STS,04/13/2019,0,0.0,0.0
6,170 ST,04/13/2019,0,0.0,0.0
7,167 ST,04/13/2019,0,0.0,0.0
8,161/YANKEE STAD,04/13/2019,0,0.0,0.0
9,155 ST,04/13/2019,0,0.0,0.0
10,145 ST,04/13/2019,0,0.0,0.0
11,125 ST,04/13/2019,0,0.0,0.0
12,59 ST COLUMBUS,04/13/2019,0,0.0,0.0
13,7 AV,04/13/2019,0,0.0,0.0
14,47-50 STS ROCK,04/13/2019,0,0.0,0.0
15,42 ST-BRYANT PK,04/13/2019,0,0.0,0.0
16,34 ST-HERALD SQ,04/13/2019,0,0.0,0.0
17,W 4 ST-WASH SQ,04/13/2019,0,0.0,0.0
18,B'WAY-LAFAYETTE,04/13/2019,0,0.0,0.0
19,GRAND ST,04/13/2019,0,0.0,0.0
20,ATL AV-BARCLAY,04/13/2019,0,0.0,0.0
21,36 ST,04/13/2019,0,0.0,0.0
22,9 AV,04/13/2019,0,0.0,0.0
23,FT HAMILTON PKY,04/13/2019,0,0.0,0.0
24,50 ST,04/13/2019,0,0.0,0.0
25,71 ST,04/13/2019,0,0.0,0.0
26,79 ST,04/13/2019,0,0.0,0.0
27,18 AV,04/13/2019,0,0.0,0.0
28,20 AV,04/13/2019,0,0.0,0.0
29,BAY PKWY,04/13/2019,0,0.0,0.0
30,25 AV,04/13/2019,0,0.0,0.0
31,BAY 50 ST,04/13/2019,0,0.0,0.0
32,CONEY IS-STILLW,04/13/2019,0,0.0,0.0
33,NORWOOD 205 ST,04/13/2019,1,127.0,314.0
34,BEDFORD PK BLVD,04/13/2019,1,103.0,193.0
35,KINGSBRIDGE RD,04/13/2019,1,115.0,362.0
36,FORDHAM RD,04/13/2019,1,129.0,405.0
37,182-183 STS,04/13/2019,1,15.0,141.0
38,174-175 STS,04/13/2019,1,71.0,173.0
39,170 ST,04/13/2019,1,100.0,121.0
40,167 ST,04/13/2019,1,89.0,217.0
41,161/YANKEE STAD,04/13/2019,1,302.0,441.0
42,155 ST,04/13/2019,1,45.0,80.0
43,145 ST,04/13/2019,1,326.0,1440.0
44,125 ST,04/13/2019,1,623.0,1032.0
45,59 ST COLUMBUS,04/13/2019,1,1922.0,731.0
46,7 AV,04/13/2019,1,184.0,182.0
47,47-50 STS ROCK,04/13/2019,1,1127.0,293.0
48,42 ST-BRYANT PK,04/13/2019,1,838.0,350.0
49,34 ST-HERALD SQ,04/13/2019,1,2581.0,1677.0
50,W 4 ST-WASH SQ,04/13/2019,1,1667.0,582.0
51,B'WAY-LAFAYETTE,04/13/2019,1,326.0,249.0
52,GRAND ST,04/13/2019,1,581.0,367.0
53,ATL AV-BARCLAY,04/13/2019,1,1665.0,1116.0
54,36 ST,04/13/2019,1,309.0,651.0
55,9 AV,04/13/2019,1,0.0,1.0
56,FT HAMILTON PKY,04/13/2019,1,0.0,2.0
57,50 ST,04/13/2019,1,0.0,0.0
58,71 ST,04/13/2019,1,0.0,0.0
59,79 ST,04/13/2019,1,2.0,1.0
60,18 AV,04/13/2019,1,0.0,1.0
61,20 AV,04/13/2019,1,1.0,2.0
62,BAY PKWY,04/13/2019,1,0.0,0.0
63,25 AV,04/13/2019,1,0.0,0.0
64,BAY 50 ST,04/13/2019,1,0.0,1.0
65,CONEY IS-STILLW,04/13/2019,1,200.0,340.0
66,NORWOOD 205 ST,04/13/2019,2,1366.0,326.0
67,BEDFORD PK BLVD,04/13/2019,2,940.0,259.0
68,KINGSBRIDGE RD,04/13/2019,2,1256.0,369.0
69,FORDHAM RD,04/13/2019,2,1018.0,262.0
70,182-183 STS,04/13/2019,2,159.0,94.0
71,174-175 STS,04/13/2019,2,436.0,121.0
72,170 ST,04/13/2019,2,1070.0,210.0
73,167 ST,04/13/2019,2,987.0,147.0
74,161/YANKEE STAD,04/13/2019,2,1541.0,500.0
75,155 ST,04/13/2019,2,440.0,115.0
76,145 ST,04/13/2019,2,1378.0,634.0
77,125 ST,04/13/2019,2,1135.0,1026.0
78,59 ST COLUMBUS,04/13/2019,2,1086.0,2066.0
79,7 AV,04/13/2019,2,372.0,1002.0
80,47-50 STS ROCK,04/13/2019,2,466.0,1198.0
81,42 ST-BRYANT PK,04/13/2019,2,308.0,769.0
82,34 ST-HERALD SQ,04/13/2019,2,1905.0,3488.0
83,W 4 ST-WASH SQ,04/13/2019,2,1047.0,2096.0
84,B'WAY-LAFAYETTE,04/13/2019,2,196.0,1233.0
85,GRAND ST,04/13/2019,2,461.0,715.0
86,ATL AV-BARCLAY,04/13/2019,2,980.0,1088.0
87,36 ST,04/13/2019,2,3587.0,735.0
88,9 AV,04/13/2019,2,1.0,0.0
89,FT HAMILTON PKY,04/13/2019,2,0.0,11.0
90,50 ST,04/13/2019,2,0.0,0.0
91,71 ST,04/13/2019,2,0.0,1.0
92,79 ST,04/13/2019,2,0.0,0.0
93,18 AV,04/13/2019,2,0.0,0.0
94,20 AV,04/13/2019,2,2.0,2.0
95,BAY PKWY,04/13/2019,2,0.0,2.0
96,25 AV,04/13/2019,2,0.0,0.0
97,BAY 50 ST,04/13/2019,2,0.0,0.0
98,CONEY IS-STILLW,04/13/2019,2,1470.0,966.0
99,NORWOOD 205 ST,04/13/2019,3,1382.0,512.0
100,BEDFORD PK BLVD,04/13/2019,3,1014.0,586.0
101,KINGSBRIDGE RD,04/13/2019,3,1271.0,545.0
102,FORDHAM RD,04/13/2019,3,1746.0,749.0
103,182-183 STS,04/13/2019,3,222.0,218.0
104,174-175 STS,04/13/2019,3,884.0,246.0
105,170 ST,04/13/2019,3,1196.0,414.0
106,167 ST,04/13/2019,3,1755.0,364.0
107,161/YANKEE STAD,04/13/2019,3,2793.0,3933.0
108,155 ST,04/13/2019,3,616.0,220.0
109,145 ST,04/13/2019,3,4643.0,2270.0
110,125 ST,04/13/2019,3,4326.0,3725.0
111,59 ST COLUMBUS,04/13/2019,3,6375.0,10607.0
112,7 AV,04/13/2019,3,1853.0,2080.0
113,47-50 STS ROCK,04/13/2019,3,1991.0,4077.0
114,42 ST-BRYANT PK,04/13/2019,3,1760.0,2743.0
115,34 ST-HERALD SQ,04/13/2019,3,8878.0,14321.0
116,W 4 ST-WASH SQ,04/13/2019,3,4284.0,8065.0
117,B'WAY-LAFAYETTE,04/13/2019,3,1333.0,5121.0
118,GRAND ST,04/13/2019,3,2436.0,4005.0
119,ATL AV-BARCLAY,04/13/2019,3,3692.0,4461.0
120,36 ST,04/13/2019,3,5554.0,1554.0
121,9 AV,04/13/2019,3,0.0,1.0
122,FT HAMILTON PKY,04/13/2019,3,0.0,5.0
123,50 ST,04/13/2019,3,0.0,0.0
124,71 ST,04/13/2019,3,0.0,6.0
125,79 ST,04/13/2019,3,0.0,1.0
126,18 AV,04/13/2019,3,0.0,0.0
127,20 AV,04/13/2019,3,0.0,0.0
128,BAY PKWY,04/13/2019,3,0.0,6.0
129,25 AV,04/13/2019,3,0.0,0.0
130,BAY 50 ST,04/13/2019,3,0.0,0.0
131,CONEY IS-STILLW,04/13/2019,3,2193.0,2475.0
132,NORWOOD 205 ST,04/13/2019,4,1319.0,995.0
133,BEDFORD PK BLVD,04/13/2019,4,1177.0,786.0
134,KINGSBRIDGE RD,04/13/2019,4,1231.0,1020.0
135,FORDHAM RD,04/13/2019,4,2306.0,1102.0
136,182-183 STS,04/13/2019,4,211.0,301.0
137,174-175 STS,04/13/2019,4,808.0,391.0
138,170 ST,04/13/2019,4,1281.0,686.0
139,167 ST,04/13/2019,4,1681.0,578.0
140,161/YANKEE STAD,04/13/2019,4,14060.0,7059.0
141,155 ST,04/13/2019,4,653.0,409.0
142,145 ST,04/13/2019,4,5289.0,3509.0
143,125 ST,04/13/2019,4,6441.0,5013.0
144,59 ST COLUMBUS,04/13/2019,4,13675.0,14811.0
145,7 AV,04/13/2019,4,2274.0,2891.0
146,47-50 STS ROCK,04/13/2019,4,4380.0,5434.0
147,42 ST-BRYANT PK,04/13/2019,4,3863.0,4153.0
148,34 ST-HERALD SQ,04/13/2019,4,18218.0,20614.0
149,W 4 ST-WASH SQ,04/13/2019,4,9477.0,10113.0
