,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST,04/13/2019,0,0.0,0.0
42,23 ST,04/13/2019,0,0.0,0.0
84,34 ST-PENN STA,04/13/2019,0,0.0,0.0
126,42 ST-PORT AUTH,04/13/2019,0,0.0,0.0
168,5 AV/53 ST,04/13/2019,0,0.0,0.0
210,50 ST,04/13/2019,0,0.0,0.0
252,7 AV,04/13/2019,0,0.0,0.0
294,74 ST-BROADWAY,04/13/2019,0,0.0,0.0
336,75 AV,04/13/2019,0,0.0,0.0
378,8 AV,04/13/2019,0,0.0,0.0
420,BRIARWOOD,04/13/2019,0,0.0,0.0
462,CANAL ST,04/13/2019,0,0.0,0.0
504,CHAMBERS ST,04/13/2019,0,0.0,0.0
546,COURT SQ,04/13/2019,0,0.0,0.0
588,COURT SQ-23 ST,04/13/2019,0,0.0,0.0
630,FOREST HILLS 71,04/13/2019,0,0.0,0.0
672,JAMAICA CENTER,04/13/2019,0,0.0,0.0
714,JAMAICA VAN WK,04/13/2019,0,0.0,0.0
756,JFK JAMAICA CT1,04/13/2019,0,0.0,0.0
798,JKSN HT-ROOSVLT,04/13/2019,0,0.0,0.0
840,KEW GARDENS,04/13/2019,0,0.0,0.0
882,LEXINGTON AV/53,04/13/2019,0,0.0,0.0
924,PARK PLACE,04/13/2019,0,0.0,0.0
966,QUEENS PLAZA,04/13/2019,0,0.0,0.0
1008,SPRING ST,04/13/2019,0,0.0,0.0
1050,SUTPHIN-ARCHER,04/13/2019,0,0.0,0.0
1092,TIMES SQ-42 ST,04/13/2019,0,0.0,0.0
1134,W 4 ST-WASH SQ,04/13/2019,0,0.0,0.0
1176,WORLD TRADE CTR,04/13/2019,0,0.0,0.0
1,14 ST,04/13/2019,1,525.0,211.0
43,23 ST,04/13/2019,1,394.0,172.0
85,34 ST-PENN STA,04/13/2019,1,2073.0,1761.0
127,42 ST-PORT AUTH,04/13/2019,1,1674.0,1658.0
169,5 AV/53 ST,04/13/2019,1,96.0,177.0
211,50 ST,04/13/2019,1,565.0,367.0
253,7 AV,04/13/2019,1,184.0,182.0
295,74 ST-BROADWAY,04/13/2019,1,87.0,210.0
337,75 AV,04/13/2019,1,30.0,8.0
379,8 AV,04/13/2019,1,861.0,220.0
421,BRIARWOOD,04/13/2019,1,33.0,142.0
463,CANAL ST,04/13/2019,1,556.0,232.0
505,CHAMBERS ST,04/13/2019,1,508.0,134.0
547,COURT SQ,04/13/2019,1,134.0,295.0
589,COURT SQ-23 ST,04/13/2019,1,86.0,35.0
631,FOREST HILLS 71,04/13/2019,1,185.0,216.0
673,JAMAICA CENTER,04/13/2019,1,362.0,1131.0
715,JAMAICA VAN WK,04/13/2019,1,56.0,167.0
757,JFK JAMAICA CT1,04/13/2019,1,329.0,240.0
799,JKSN HT-ROOSVLT,04/13/2019,1,991.0,2497.0
841,KEW GARDENS,04/13/2019,1,623.0,400.0
883,LEXINGTON AV/53,04/13/2019,1,584.0,353.0
925,PARK PLACE,04/13/2019,1,39.0,35.0
967,QUEENS PLAZA,04/13/2019,1,87.0,240.0
1009,SPRING ST,04/13/2019,1,226.0,43.0
1051,SUTPHIN-ARCHER,04/13/2019,1,530.0,654.0
1093,TIMES SQ-42 ST,04/13/2019,1,4164.0,1416.0
1135,W 4 ST-WASH SQ,04/13/2019,1,1667.0,582.0
1177,WORLD TRADE CTR,04/13/2019,1,56.0,6.0
2,14 ST,04/13/2019,2,465.0,785.0
44,23 ST,04/13/2019,2,198.0,227.0
86,34 ST-PENN STA,04/13/2019,2,6029.0,6019.0
128,42 ST-PORT AUTH,04/13/2019,2,4117.0,4522.0
170,5 AV/53 ST,04/13/2019,2,270.0,1302.0
212,50 ST,04/13/2019,2,290.0,538.0
254,7 AV,04/13/2019,2,372.0,1002.0
296,74 ST-BROADWAY,04/13/2019,2,164.0,150.0
338,75 AV,04/13/2019,2,111.0,20.0
380,8 AV,04/13/2019,2,572.0,888.0
422,BRIARWOOD,04/13/2019,2,315.0,76.0
464,CANAL ST,04/13/2019,2,240.0,424.0
506,CHAMBERS ST,04/13/2019,2,276.0,375.0
548,COURT SQ,04/13/2019,2,272.0,823.0
590,COURT SQ-23 ST,04/13/2019,2,110.0,76.0
632,FOREST HILLS 71,04/13/2019,2,1967.0,549.0
674,JAMAICA CENTER,04/13/2019,2,2543.0,815.0
716,JAMAICA VAN WK,04/13/2019,2,1126.0,850.0
758,JFK JAMAICA CT1,04/13/2019,2,7950.0,25096.0
800,JKSN HT-ROOSVLT,04/13/2019,2,3918.0,1217.0
842,KEW GARDENS,04/13/2019,2,3286.0,1475.0
884,LEXINGTON AV/53,04/13/2019,2,349.0,1225.0
926,PARK PLACE,04/13/2019,2,25.0,95.0
968,QUEENS PLAZA,04/13/2019,2,747.0,937.0
1010,SPRING ST,04/13/2019,2,61.0,27.0
1052,SUTPHIN-ARCHER,04/13/2019,2,1767.0,810.0
1094,TIMES SQ-42 ST,04/13/2019,2,1731.0,3196.0
1136,W 4 ST-WASH SQ,04/13/2019,2,1047.0,2096.0
1178,WORLD TRADE CTR,04/13/2019,2,22.0,14.0
3,14 ST,04/13/2019,3,1774.0,3445.0
45,23 ST,04/13/2019,3,1069.0,1194.0
87,34 ST-PENN STA,04/13/2019,3,16134.0,13935.0
129,42 ST-PORT AUTH,04/13/2019,3,11529.0,12380.0
171,5 AV/53 ST,04/13/2019,3,1249.0,2822.0
213,50 ST,04/13/2019,3,2109.0,1399.0
255,7 AV,04/13/2019,3,1853.0,2080.0
297,74 ST-BROADWAY,04/13/2019,3,525.0,642.0
339,75 AV,04/13/2019,3,511.0,59.0
381,8 AV,04/13/2019,3,2575.0,3413.0
423,BRIARWOOD,04/13/2019,3,785.0,152.0
465,CANAL ST,04/13/2019,3,1334.0,3329.0
507,CHAMBERS ST,04/13/2019,3,1536.0,3004.0
549,COURT SQ,04/13/2019,3,895.0,1041.0
591,COURT SQ-23 ST,04/13/2019,3,560.0,188.0
633,FOREST HILLS 71,04/13/2019,3,3844.0,1246.0
675,JAMAICA CENTER,04/13/2019,3,2998.0,2117.0
717,JAMAICA VAN WK,04/13/2019,3,1196.0,1120.0
759,JFK JAMAICA CT1,04/13/2019,3,5780.0,23398.0
801,JKSN HT-ROOSVLT,04/13/2019,3,9316.0,3687.0
843,KEW GARDENS,04/13/2019,3,3785.0,2189.0
885,LEXINGTON AV/53,04/13/2019,3,1898.0,2621.0
927,PARK PLACE,04/13/2019,3,166.0,404.0
969,QUEENS PLAZA,04/13/2019,3,2372.0,1577.0
1011,SPRING ST,04/13/2019,3,426.0,228.0
1053,SUTPHIN-ARCHER,04/13/2019,3,2974.0,1527.0
1095,TIMES SQ-42 ST,04/13/2019,3,7501.0,12633.0
1137,W 4 ST-WASH SQ,04/13/2019,3,4284.0,8065.0
1179,WORLD TRADE CTR,04/13/2019,3,323.0,79.0
4,14 ST,04/13/2019,4,3841.0,3709.0
46,23 ST,04/13/2019,4,2369.0,1270.0
88,34 ST-PENN STA,04/13/2019,4,20746.0,19016.0
130,42 ST-PORT AUTH,04/13/2019,4,14519.0,14401.0
172,5 AV/53 ST,04/13/2019,4,2970.0,3031.0
214,50 ST,04/13/2019,4,2544.0,2005.0
256,7 AV,04/13/2019,4,2274.0,2891.0
298,74 ST-BROADWAY,04/13/2019,4,951.0,1146.0
340,75 AV,04/13/2019,4,526.0,45.0
382,8 AV,04/13/2019,4,6184.0,4194.0
424,BRIARWOOD,04/13/2019,4,763.0,327.0
466,CANAL ST,04/13/2019,4,3097.0,4720.0
508,CHAMBERS ST,04/13/2019,4,4121.0,2869.0
550,COURT SQ,04/13/2019,4,1141.0,1701.0
592,COURT SQ-23 ST,04/13/2019,4,745.0,241.0
634,FOREST HILLS 71,04/13/2019,4,3947.0,1830.0
676,JAMAICA CENTER,04/13/2019,4,3240.0,2547.0
718,JAMAICA VAN WK,04/13/2019,4,1073.0,1832.0
760,JFK JAMAICA CT1,04/13/2019,4,2103.0,1825.0
802,JKSN HT-ROOSVLT,04/13/2019,4,10371.0,6304.0
844,KEW GARDENS,04/13/2019,4,3030.0,3352.0
886,LEXINGTON AV/53,04/13/2019,4,3142.0,3699.0
928,PARK PLACE,04/13/2019,4,444.0,483.0
970,QUEENS PLAZA,04/13/2019,4,2569.0,1914.0
1012,SPRING ST,04/13/2019,4,1302.0,353.0
1054,SUTPHIN-ARCHER,04/13/2019,4,3275.0,2087.0
1096,TIMES SQ-42 ST,04/13/2019,4,13219.0,20665.0
1138,W 4 ST-WASH SQ,04/13/2019,4,9477.0,10113.0
1180,WORLD TRADE CTR,04/13/2019,4,1033.0,131.0
5,14 ST,04/13/2019,5,3945.0,2778.0
47,23 ST,04/13/2019,5,2693.0,1275.0
89,34 ST-PENN STA,04/13/2019,5,20167.0,18246.0
131,42 ST-PORT AUTH,04/13/2019,5,13179.0,16039.0
173,5 AV/53 ST,04/13/2019,5,2372.0,1178.0
215,50 ST,04/13/2019,5,3313.0,2527.0
257,7 AV,04/13/2019,5,2000.0,2057.0
299,74 ST-BROADWAY,04/13/2019,5,889.0,1369.0
341,75 AV,04/13/2019,5,420.0,33.0
383,8 AV,04/13/2019,5,7251.0,3310.0
425,BRIARWOOD,04/13/2019,5,488.0,525.0
467,CANAL ST,04/13/2019,5,4221.0,4309.0
509,CHAMBERS ST,04/13/2019,5,4772.0,2281.0
551,COURT SQ,04/13/2019,5,965.0,1791.0
593,COURT SQ-23 ST,04/13/2019,5,766.0,231.0
635,FOREST HILLS 71,04/13/2019,5,2694.0,2110.0
677,JAMAICA CENTER,04/13/2019,5,2586.0,3647.0
719,JAMAICA VAN WK,04/13/2019,5,664.0,1915.0
761,JFK JAMAICA CT1,04/13/2019,5,1825.0,1465.0
803,JKSN HT-ROOSVLT,04/13/2019,5,8171.0,8365.0
845,KEW GARDENS,04/13/2019,5,1488.0,3351.0
887,LEXINGTON AV/53,04/13/2019,5,3488.0,3212.0
929,PARK PLACE,04/13/2019,5,510.0,382.0
971,QUEENS PLAZA,04/13/2019,5,1819.0,2056.0
1013,SPRING ST,04/13/2019,5,1910.0,408.0
1055,SUTPHIN-ARCHER,04/13/2019,5,3064.0,2435.0
1097,TIMES SQ-42 ST,04/13/2019,5,8281.0,13233.0
1139,W 4 ST-WASH SQ,04/13/2019,5,10844.0,10393.0
1181,WORLD TRADE CTR,04/13/2019,5,993.0,74.0
6,14 ST,04/14/2019,0,1967.0,1103.0
48,23 ST,04/14/2019,0,1480.0,719.0
90,34 ST-PENN STA,04/14/2019,0,9805.0,8640.0
132,42 ST-PORT AUTH,04/14/2019,0,11666.0,7557.0
174,5 AV/53 ST,04/14/2019,0,808.0,249.0
216,50 ST,04/14/2019,0,2674.0,1644.0
258,7 AV,04/14/2019,0,1458.0,961.0
300,74 ST-BROADWAY,04/14/2019,0,523.0,864.0
342,75 AV,04/14/2019,0,181.0,1.0
384,8 AV,04/14/2019,0,4002.0,1707.0
426,BRIARWOOD,04/14/2019,0,210.0,367.0
468,CANAL ST,04/14/2019,0,2438.0,1540.0
510,CHAMBERS ST,04/14/2019,0,2365.0,832.0
552,COURT SQ,04/14/2019,0,355.0,1091.0
594,COURT SQ-23 ST,04/14/2019,0,328.0,112.0
636,FOREST HILLS 71,04/14/2019,0,1067.0,1006.0
678,JAMAICA CENTER,04/14/2019,0,1268.0,2331.0
720,JAMAICA VAN WK,04/14/2019,0,275.0,1088.0
762,JFK JAMAICA CT1,04/14/2019,0,705.0,1197.0
804,JKSN HT-ROOSVLT,04/14/2019,0,4458.0,5303.0
846,KEW GARDENS,04/14/2019,0,451.0,1497.0
888,LEXINGTON AV/53,04/14/2019,0,2126.0,1592.0
930,PARK PLACE,04/14/2019,0,256.0,144.0
972,QUEENS PLAZA,04/14/2019,0,584.0,1691.0
1014,SPRING ST,04/14/2019,0,884.0,189.0
1056,SUTPHIN-ARCHER,04/14/2019,0,1959.0,1519.0
1098,TIMES SQ-42 ST,04/14/2019,0,19961.0,12011.0
1140,W 4 ST-WASH SQ,04/14/2019,0,9067.0,4398.0
1182,WORLD TRADE CTR,04/14/2019,0,313.0,34.0
7,14 ST,04/14/2019,1,526.0,209.0
49,23 ST,04/14/2019,1,315.0,178.0
91,34 ST-PENN STA,04/14/2019,1,5614.0,23272.0
133,42 ST-PORT AUTH,04/14/2019,1,2090.0,1512.0
175,5 AV/53 ST,04/14/2019,1,75.0,88.0
217,50 ST,04/14/2019,1,745.0,410.0
259,7 AV,04/14/2019,1,258.0,180.0
301,74 ST-BROADWAY,04/14/2019,1,105.0,270.0
343,75 AV,04/14/2019,1,29.0,8.0
385,8 AV,04/14/2019,1,1169.0,286.0
427,BRIARWOOD,04/14/2019,1,28.0,126.0
469,CANAL ST,04/14/2019,1,633.0,274.0
511,CHAMBERS ST,04/14/2019,1,392.0,170.0
553,COURT SQ,04/14/2019,1,93.0,277.0
595,COURT SQ-23 ST,04/14/2019,1,63.0,22.0
637,FOREST HILLS 71,04/14/2019,1,224.0,233.0
679,JAMAICA CENTER,04/14/2019,1,246.0,1112.0
721,JAMAICA VAN WK,04/14/2019,1,98.0,298.0
763,JFK JAMAICA CT1,04/14/2019,1,319.0,207.0
805,JKSN HT-ROOSVLT,04/14/2019,1,982.0,2311.0
847,KEW GARDENS,04/14/2019,1,450.0,446.0
889,LEXINGTON AV/53,04/14/2019,1,448.0,388.0
931,PARK PLACE,04/14/2019,1,36.0,34.0
973,QUEENS PLAZA,04/14/2019,1,54.0,269.0
1015,SPRING ST,04/14/2019,1,163.0,36.0
1057,SUTPHIN-ARCHER,04/14/2019,1,346.0,600.0
1099,TIMES SQ-42 ST,04/14/2019,1,5882.0,1786.0
1141,W 4 ST-WASH SQ,04/14/2019,1,2051.0,779.0
