,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST,04/13/2019,00:00:00,2200762561,2048264092
84,169 ST,04/13/2019,00:00:00,29288391,19172350
126,18 AV,04/13/2019,00:00:00,1817288146,829509098
168,2 AV,04/13/2019,00:00:00,133797744,92798178
210,21 ST-QNSBRIDGE,04/13/2019,00:00:00,43648868,38260313
252,23 ST,04/13/2019,00:00:00,3104422032,3253382168
294,34 ST-HERALD SQ,04/13/2019,00:00:00,4612168464,5769036346
337,4 AV-9 ST,04/13/2019,00:00:00,27346019,28215403
379,42 ST-BRYANT PK,04/13/2019,00:00:00,1943132875,1411650720
421,47-50 STS ROCK,04/13/2019,00:00:00,2261942378,2260293778
465,4AV-9 ST,04/13/2019,00:00:00,34245006,19371111
507,5 AVE,04/13/2019,00:00:00,1132529690,510867396
592,6 AV,04/13/2019,00:00:00,1225771368,1213048780
676,74 ST-BROADWAY,04/13/2019,00:00:00,15310039,15415478
718,75 AV,04/13/2019,00:00:00,476593195,977222999
844,AVENUE P,04/13/2019,00:00:00,13549238,8265688
928,AVENUE X,04/13/2019,00:00:00,14205351,12282911
1099,BLEECKER ST,04/13/2019,00:00:00,33245489,12240866
1141,BRIARWOOD,04/13/2019,00:00:00,21879370,11201867
1185,CARROLL ST,04/13/2019,00:00:00,195196755,27766683
1227,CHURCH AV,04/13/2019,00:00:00,173727391,44122486
1398,EAST BROADWAY,04/13/2019,00:00:00,153921212,43856559
1524,JAMAICA 179 ST,04/13/2019,00:00:00,1387938158,368609272
1570,JAY ST-METROTEC,04/13/2019,00:00:00,327010803,51803185
1612,JKSN HT-ROOSVLT,04/13/2019,00:00:00,156438466,116658390
1739,LEXINGTON AV/63,04/13/2019,00:00:00,1791123606,79527384
1823,PARSONS BLVD,04/13/2019,00:00:00,28803618,29371431
1865,ROOSEVELT ISLND,04/13/2019,00:00:00,14996685,12942653
1907,SMITH-9 ST,04/13/2019,00:00:00,12010163,10906159
2033,W 8 ST-AQUARIUM,04/13/2019,00:00:00,13382750,13892931
42,15 ST-PROSPECT,04/13/2019,00:30:00,136893355,7561169
550,57 ST,04/13/2019,01:00:00,33105884,37166390
634,7 AV,04/13/2019,01:00:00,9340114,4471076
760,AVENUE I,04/13/2019,01:00:00,9894399,1005450033
802,AVENUE N,04/13/2019,01:00:00,149704184,10051559
886,AVENUE U,04/13/2019,01:00:00,158951522,12190990
970,B'WAY-LAFAYETTE,04/13/2019,01:00:00,1987161114,1615017924
1015,BAY PKWY,04/13/2019,01:00:00,6353817,3218911
1057,BERGEN ST,04/13/2019,01:00:00,43457290,23814272
1269,CONEY IS-STILLW,04/13/2019,01:00:00,659056533,334924003
1311,DELANCEY/ESSEX,04/13/2019,01:00:00,80199138,66617997
1353,DITMAS AV,04/13/2019,01:00:00,77728142,8343236
1440,FOREST HILLS 71,04/13/2019,01:00:00,354474330,72226658
1482,FT HAMILTON PKY,04/13/2019,01:00:00,551552221,139663839
1696,KINGS HWY,04/13/2019,01:00:00,120957277,3011331
1781,NEPTUNE AV,04/13/2019,01:00:00,8006867,3141303
1949,SUTPHIN BLVD,04/13/2019,01:00:00,100103032,9110904
1991,W 4 ST-WASH SQ,04/13/2019,01:00:00,244541423,114969807
2075,YORK ST,04/13/2019,01:00:00,41996219,34115292
1654,KEW GARDENS,04/13/2019,02:30:00,110500347,95623059
1,14 ST,04/13/2019,04:00:00,2200763805,2048264782
85,169 ST,04/13/2019,04:00:00,29288459,19172665
127,18 AV,04/13/2019,04:00:00,1817288162,829509188
169,2 AV,04/13/2019,04:00:00,133798572,92798419
211,21 ST-QNSBRIDGE,04/13/2019,04:00:00,43648966,38260605
253,23 ST,04/13/2019,04:00:00,3104422235,3253382315
295,34 ST-HERALD SQ,04/13/2019,04:00:00,4612171045,5769038023
338,4 AV-9 ST,04/13/2019,04:00:00,27346081,28215556
380,42 ST-BRYANT PK,04/13/2019,04:00:00,1943133713,1411651070
422,47-50 STS ROCK,04/13/2019,04:00:00,2261943505,2260294071
466,4AV-9 ST,04/13/2019,04:00:00,34245135,19371289
508,5 AVE,04/13/2019,04:00:00,1132529932,510867452
593,6 AV,04/13/2019,04:00:00,1225771360,1213048845
677,74 ST-BROADWAY,04/13/2019,04:00:00,15310126,15415688
719,75 AV,04/13/2019,04:00:00,476593225,977222991
845,AVENUE P,04/13/2019,04:00:00,13549259,8265718
929,AVENUE X,04/13/2019,04:00:00,14205376,12282960
1100,BLEECKER ST,04/13/2019,04:00:00,33246381,12241001
1142,BRIARWOOD,04/13/2019,04:00:00,21879403,11202009
1186,CARROLL ST,04/13/2019,04:00:00,195196901,27766788
1228,CHURCH AV,04/13/2019,04:00:00,173727461,44122857
1399,EAST BROADWAY,04/13/2019,04:00:00,153921392,43856630
1525,JAMAICA 179 ST,04/13/2019,04:00:00,1387938316,368609735
1571,JAY ST-METROTEC,04/13/2019,04:00:00,327011321,51803555
1613,JKSN HT-ROOSVLT,04/13/2019,04:00:00,156439457,116660887
1740,LEXINGTON AV/63,04/13/2019,04:00:00,1791123893,79527713
1824,PARSONS BLVD,04/13/2019,04:00:00,28803683,29371859
1866,ROOSEVELT ISLND,04/13/2019,04:00:00,14996735,12942827
1908,SMITH-9 ST,04/13/2019,04:00:00,12010233,10906283
2034,W 8 ST-AQUARIUM,04/13/2019,04:00:00,13382764,13892947
43,15 ST-PROSPECT,04/13/2019,04:30:00,136893392,7561242
551,57 ST,04/13/2019,05:00:00,33105884,37166404
635,7 AV,04/13/2019,05:00:00,9340171,4471140
761,AVENUE I,04/13/2019,05:00:00,9894411,1005450045
803,AVENUE N,04/13/2019,05:00:00,149704200,10051575
887,AVENUE U,04/13/2019,05:00:00,158951536,12191003
971,B'WAY-LAFAYETTE,04/13/2019,05:00:00,1987161440,1615018173
1016,BAY PKWY,04/13/2019,05:00:00,6353823,3218914
1058,BERGEN ST,04/13/2019,05:00:00,43457400,23814339
1270,CONEY IS-STILLW,04/13/2019,05:00:00,659056733,334924343
1312,DELANCEY/ESSEX,04/13/2019,05:00:00,80200117,66618261
1354,DITMAS AV,04/13/2019,05:00:00,77728183,8343286
1441,FOREST HILLS 71,04/13/2019,05:00:00,354474515,72226874
1483,FT HAMILTON PKY,04/13/2019,05:00:00,551552237,139663868
1697,KINGS HWY,04/13/2019,05:00:00,120957314,3011391
1782,NEPTUNE AV,04/13/2019,05:00:00,8006871,3141307
1950,SUTPHIN BLVD,04/13/2019,05:00:00,100103083,9111014
1992,W 4 ST-WASH SQ,04/13/2019,05:00:00,244543090,114970389
2076,YORK ST,04/13/2019,05:00:00,41996250,34115317
1655,KEW GARDENS,04/13/2019,06:30:00,110500970,95623459
2,14 ST,04/13/2019,08:00:00,2200764275,2048265677
86,169 ST,04/13/2019,08:00:00,29289142,19172886
128,18 AV,04/13/2019,08:00:00,1817288452,829509241
170,2 AV,04/13/2019,08:00:00,133798904,92798619
212,21 ST-QNSBRIDGE,04/13/2019,08:00:00,43649518,38260890
254,23 ST,04/13/2019,08:00:00,3104422350,3253382550
296,34 ST-HERALD SQ,04/13/2019,08:00:00,4612172950,5769041511
339,4 AV-9 ST,04/13/2019,08:00:00,27346171,28215688
381,42 ST-BRYANT PK,04/13/2019,08:00:00,1943134021,1411651839
423,47-50 STS ROCK,04/13/2019,08:00:00,2261943971,2260295269
467,4AV-9 ST,04/13/2019,08:00:00,34245352,19371554
509,5 AVE,04/13/2019,08:00:00,1132530023,510867853
594,6 AV,04/13/2019,08:00:00,1225771354,1213048932
678,74 ST-BROADWAY,04/13/2019,08:00:00,15310290,15415838
720,75 AV,04/13/2019,08:00:00,476593336,977223011
846,AVENUE P,04/13/2019,08:00:00,13549447,8265732
930,AVENUE X,04/13/2019,08:00:00,14205572,12283007
1101,BLEECKER ST,04/13/2019,08:00:00,33246672,12241229
1143,BRIARWOOD,04/13/2019,08:00:00,21879718,11202085
1187,CARROLL ST,04/13/2019,08:00:00,195197087,27766933
1229,CHURCH AV,04/13/2019,08:00:00,173728227,44123044
1400,EAST BROADWAY,04/13/2019,08:00:00,153921802,43856789
1526,JAMAICA 179 ST,04/13/2019,08:00:00,1387940133,368610045
1572,JAY ST-METROTEC,04/13/2019,08:00:00,327012016,51804110
1614,JKSN HT-ROOSVLT,04/13/2019,08:00:00,156443375,116662104
1741,LEXINGTON AV/63,04/13/2019,08:00:00,1791124150,79528470
1825,PARSONS BLVD,04/13/2019,08:00:00,28804374,29372111
1867,ROOSEVELT ISLND,04/13/2019,08:00:00,14996919,12942940
1909,SMITH-9 ST,04/13/2019,08:00:00,12010422,10906552
2035,W 8 ST-AQUARIUM,04/13/2019,08:00:00,13382840,13892993
44,15 ST-PROSPECT,04/13/2019,08:30:00,136893603,7561322
552,57 ST,04/13/2019,09:00:00,33105887,37166415
636,7 AV,04/13/2019,09:00:00,9340668,4471391
762,AVENUE I,04/13/2019,09:00:00,9894528,1005450051
804,AVENUE N,04/13/2019,09:00:00,149704522,10051601
888,AVENUE U,04/13/2019,09:00:00,158951704,12191027
972,B'WAY-LAFAYETTE,04/13/2019,09:00:00,1987161636,1615019406
1017,BAY PKWY,04/13/2019,09:00:00,6354002,3218943
1059,BERGEN ST,04/13/2019,09:00:00,43457776,23814652
1271,CONEY IS-STILLW,04/13/2019,09:00:00,659058203,334925309
1313,DELANCEY/ESSEX,04/13/2019,09:00:00,80201190,66619005
1355,DITMAS AV,04/13/2019,09:00:00,77728558,8343328
1442,FOREST HILLS 71,04/13/2019,09:00:00,354476482,72227423
1484,FT HAMILTON PKY,04/13/2019,09:00:00,551552596,139663933
1698,KINGS HWY,04/13/2019,09:00:00,120957724,3011526
1783,NEPTUNE AV,04/13/2019,09:00:00,8006978,3141326
1951,SUTPHIN BLVD,04/13/2019,09:00:00,100103630,9111222
1993,W 4 ST-WASH SQ,04/13/2019,09:00:00,244544137,114972485
2077,YORK ST,04/13/2019,09:00:00,41996477,34115453
1656,KEW GARDENS,04/13/2019,10:30:00,110504256,95624934
3,14 ST,04/13/2019,12:00:00,2200766615,2048269685
87,169 ST,04/13/2019,12:00:00,29290423,19173446
129,18 AV,04/13/2019,12:00:00,1817289012,829509407
171,2 AV,04/13/2019,12:00:00,133800270,92799564
