,STATION,DATE,TIME,ENTRIES,EXITS
84,4 AV-9 ST,04/13/2019,00:00:00,27346019,28215403
168,4AV-9 ST,04/13/2019,00:00:00,34245006,19371111
252,BEDFORD-NOSTRAN,04/13/2019,00:00:00,270213938,39048906
378,CARROLL ST,04/13/2019,00:00:00,195196755,27766683
420,CHURCH AV,04/13/2019,00:00:00,173727391,44122486
462,CLASSON AV,04/13/2019,00:00:00,13085976,12092624
547,COURT SQ,04/13/2019,00:00:00,2693279970,1259502075
589,COURT SQ-23 ST,04/13/2019,00:00:00,3433898,1083856
715,FULTON ST,04/13/2019,00:00:00,19209154,17709935
757,GREENPOINT AV,04/13/2019,00:00:00,18048430,11946051
800,HOYT-SCHER,04/13/2019,00:00:00,41596669,40615816
968,NASSAU AV,04/13/2019,00:00:00,12440018,9823207
1017,SMITH-9 ST,04/13/2019,00:00:00,12010163,10906159
0,15 ST-PROSPECT,04/13/2019,00:30:00,136893355,7561169
42,21 ST,04/13/2019,01:00:00,4090701,4081106
210,7 AV,04/13/2019,01:00:00,9340114,4471076
294,BERGEN ST,04/13/2019,01:00:00,43457290,23814272
336,BROADWAY,04/13/2019,01:00:00,19297426,14595885
504,CLINTON-WASH AV,04/13/2019,01:00:00,3503488,2511967
631,FLUSHING AV,04/13/2019,01:00:00,3474624,3982958
673,FT HAMILTON PKY,04/13/2019,01:00:00,551552221,139663839
842,LORIMER ST,04/13/2019,01:00:00,16360494,5328663
884,METROPOLITAN AV,04/13/2019,01:00:00,25230046,18575263
926,MYRTLE-WILLOUGH,04/13/2019,01:00:00,25851470,16016424
126,42 ST-PORT AUTH,04/13/2019,02:00:00,105035564,70446423
85,4 AV-9 ST,04/13/2019,04:00:00,27346081,28215556
169,4AV-9 ST,04/13/2019,04:00:00,34245135,19371289
253,BEDFORD-NOSTRAN,04/13/2019,04:00:00,270214121,39049266
379,CARROLL ST,04/13/2019,04:00:00,195196901,27766788
421,CHURCH AV,04/13/2019,04:00:00,173727461,44122857
463,CLASSON AV,04/13/2019,04:00:00,13086047,12092833
548,COURT SQ,04/13/2019,04:00:00,2693280104,1259502370
590,COURT SQ-23 ST,04/13/2019,04:00:00,3433984,1083891
716,FULTON ST,04/13/2019,04:00:00,19209263,17710013
758,GREENPOINT AV,04/13/2019,04:00:00,18048431,11946052
801,HOYT-SCHER,04/13/2019,04:00:00,41596947,40616101
969,NASSAU AV,04/13/2019,04:00:00,12440018,9823215
1018,SMITH-9 ST,04/13/2019,04:00:00,12010233,10906283
1,15 ST-PROSPECT,04/13/2019,04:30:00,136893392,7561242
43,21 ST,04/13/2019,05:00:00,4090701,4081106
