,STATION,DATE,TIME,ENTRIES,EXITS
0,104 ST,04/13/2019,0,3157833331,2539208908
42,121 ST,04/13/2019,0,1954870960,526466166
84,75 ST-ELDERTS,04/13/2019,0,12093396,10595988
126,85 ST-FOREST PK,04/13/2019,0,20636598,16892102
168,ALABAMA AV,04/13/2019,0,7837742,8478501
210,BOWERY,04/13/2019,0,16387944,16259565
252,BROAD ST,04/13/2019,0,17923203,12529400
291,BROADWAY JCT,04/13/2019,0,62012024,58262032
333,BROOKLYN BRIDGE,04/13/2019,0,621534057,669821622
375,CANAL ST,04/13/2019,0,3072252100,4816052748
417,CHAMBERS ST,04/13/2019,0,892033023,1825424363
459,CHAUNCEY ST,04/13/2019,0,7524284,3495979
501,CLEVELAND ST,04/13/2019,0,9717859,9625335
543,CRESCENT ST,04/13/2019,0,17941732,16277597
585,CYPRESS HILLS,04/13/2019,0,7063595,4196336
627,DELANCEY/ESSEX,04/13/2019,0,80199138,66617997
669,FLUSHING AV,04/13/2019,0,45620665,28204422
711,FULTON ST,04/13/2019,0,4204637100,4306783021
753,GATES AV,04/13/2019,0,9735407,3789374
795,HALSEY ST,04/13/2019,0,22337957,8914565
837,HEWES ST,04/13/2019,0,11943090,4957338
879,JAMAICA CENTER,04/13/2019,0,1341858028,93991630
921,KOSCIUSZKO ST,04/13/2019,0,13473044,6772238
963,LORIMER ST,04/13/2019,0,9179150,4804984
1005,MARCY AV,04/13/2019,0,151517448,11263164
1047,MYRTLE AV,04/13/2019,0,41680835,33892116
1089,NORWOOD AV,04/13/2019,0,12689212,13788057
1131,SUTPHIN-ARCHER,04/13/2019,0,168590464,88330533
1173,VAN SICLEN AV,04/13/2019,0,15130929,14961629
1215,WOODHAVEN BLVD,04/13/2019,0,56254186,16180052
1,104 ST,04/13/2019,1,3157833349,2539208953
43,121 ST,04/13/2019,1,1954871008,526466226
85,75 ST-ELDERTS,04/13/2019,1,12093420,10596052
127,85 ST-FOREST PK,04/13/2019,1,20636630,16892187
169,ALABAMA AV,04/13/2019,1,7837775,8478549
211,BOWERY,04/13/2019,1,16388352,16259703
253,BROAD ST,04/13/2019,1,17923256,12529444
292,BROADWAY JCT,04/13/2019,1,62012276,58262833
334,BROOKLYN BRIDGE,04/13/2019,1,621534270,669821774
376,CANAL ST,04/13/2019,1,3072252593,4816053041
418,CHAMBERS ST,04/13/2019,1,892033151,1825424437
460,CHAUNCEY ST,04/13/2019,1,7524312,3496054
502,CLEVELAND ST,04/13/2019,1,9717909,9625432
544,CRESCENT ST,04/13/2019,1,17941830,16277844
586,CYPRESS HILLS,04/13/2019,1,7063604,4196363
628,DELANCEY/ESSEX,04/13/2019,1,80200117,66618261
670,FLUSHING AV,04/13/2019,1,45620776,28204555
712,FULTON ST,04/13/2019,1,4204637613,4306783836
754,GATES AV,04/13/2019,1,9735475,3789502
796,HALSEY ST,04/13/2019,1,22338024,8914725
838,HEWES ST,04/13/2019,1,11943128,4957407
880,JAMAICA CENTER,04/13/2019,1,1341858390,93992761
922,KOSCIUSZKO ST,04/13/2019,1,13473142,6772391
964,LORIMER ST,04/13/2019,1,9179215,4805052
1006,MARCY AV,04/13/2019,1,151517697,11263294
1048,MYRTLE AV,04/13/2019,1,41681077,33892511
1090,NORWOOD AV,04/13/2019,1,12689258,13788200
1132,SUTPHIN-ARCHER,04/13/2019,1,168590994,88331187
1174,VAN SICLEN AV,04/13/2019,1,15130967,14961718
1216,WOODHAVEN BLVD,04/13/2019,1,56254234,16180119
2,104 ST,04/13/2019,2,3157833349,2539208954
44,121 ST,04/13/2019,2,1954871008,526466235
86,75 ST-ELDERTS,04/13/2019,2,12093421,10596054
128,85 ST-FOREST PK,04/13/2019,2,20636630,16892187
170,ALABAMA AV,04/13/2019,2,7837976,8478720
212,BOWERY,04/13/2019,2,16388425,16259879
254,BROAD ST,04/13/2019,2,17923318,12529543
293,BROADWAY JCT,04/13/2019,2,62013263,58263366
335,BROOKLYN BRIDGE,04/13/2019,2,621534457,669822166
377,CANAL ST,04/13/2019,2,3072253389,4816055613
419,CHAMBERS ST,04/13/2019,2,892033284,1825424569
461,CHAUNCEY ST,04/13/2019,2,7524634,3496117
503,CLEVELAND ST,04/13/2019,2,9718359,9625561
545,CRESCENT ST,04/13/2019,2,17943302,16278626
