,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST,04/13/2019,00:00:00,2200762561,2048264092
42,23 ST,04/13/2019,00:00:00,3104422032,3253382168
84,34 ST-HERALD SQ,04/13/2019,00:00:00,4612168464,5769036346
169,4 AV-9 ST,04/13/2019,00:00:00,27346019,28215403
211,42 ST-BRYANT PK,04/13/2019,00:00:00,1943132875,1411650720
295,47-50 STS ROCK,04/13/2019,00:00:00,2261942378,2260293778
339,4AV-9 ST,04/13/2019,00:00:00,34245006,19371111
423,5 AVE,04/13/2019,00:00:00,1132529690,510867396
466,6 AV,04/13/2019,00:00:00,1225771368,1213048780
508,63 DR-REGO PARK,04/13/2019,00:00:00,56513530,19325328
592,67 AV,04/13/2019,00:00:00,47501091,30497334
635,74 ST-BROADWAY,04/13/2019,00:00:00,15310039,15415478
719,COURT SQ,04/13/2019,00:00:00,2693279970,1259502075
761,COURT SQ-23 ST,04/13/2019,00:00:00,3433898,1083856
845,ELMHURST AV,04/13/2019,00:00:00,3198668398,4640698692
1055,GRAND-NEWTOWN,04/13/2019,00:00:00,82394526,989775148
1139,JKSN HT-ROOSVLT,04/13/2019,00:00:00,156438466,116658390
1223,LEXINGTON AV/53,04/13/2019,00:00:00,2696680896,3414364940
1349,METROPOLITAN AV,04/13/2019,00:00:00,181799796,33448991
1432,MYRTLE-WYCKOFF,04/13/2019,00:00:00,1721518763,596135086
1600,STEINWAY ST,04/13/2019,00:00:00,62258012,46141769
127,36 ST,04/13/2019,01:00:00,106780729,4477327
253,46 ST,04/13/2019,01:00:00,25101114,27981212
550,65 ST,04/13/2019,01:00:00,23295310,14239492
677,CENTRAL AV,04/13/2019,01:00:00,6922197,7437310
803,DELANCEY/ESSEX,04/13/2019,01:00:00,80199138,66617997
887,FLUSHING AV,04/13/2019,01:00:00,45620665,28204422
929,FOREST AVE,04/13/2019,01:00:00,14817716,13381399
971,FOREST HILLS 71,04/13/2019,01:00:00,354474330,72226658
1013,FRESH POND RD,04/13/2019,01:00:00,25980297,12805333
1097,HEWES ST,04/13/2019,01:00:00,11943090,4957338
1181,KNICKERBOCKER,04/13/2019,01:00:00,11472702,10574546
1265,LORIMER ST,04/13/2019,01:00:00,9179150,4804984
1307,MARCY AV,04/13/2019,01:00:00,151517448,11263164
1390,MYRTLE AV,04/13/2019,01:00:00,41680835,33892116
1474,NORTHERN BLVD,04/13/2019,01:00:00,24191659,21918023
1516,QUEENS PLAZA,04/13/2019,01:00:00,96906718,46598492
1558,SENECA AVE,04/13/2019,01:00:00,7213784,7765065
1642,W 4 ST-WASH SQ,04/13/2019,01:00:00,244541423,114969807
1684,WOODHAVEN BLVD,04/13/2019,01:00:00,45622073,29158624
381,5 AV/53 ST,04/13/2019,02:00:00,101788676,113619542
1,14 ST,04/13/2019,04:00:00,2200763805,2048264782
43,23 ST,04/13/2019,04:00:00,3104422235,3253382315
85,34 ST-HERALD SQ,04/13/2019,04:00:00,4612171045,5769038023
170,4 AV-9 ST,04/13/2019,04:00:00,27346081,28215556
212,42 ST-BRYANT PK,04/13/2019,04:00:00,1943133713,1411651070
296,47-50 STS ROCK,04/13/2019,04:00:00,2261943505,2260294071
340,4AV-9 ST,04/13/2019,04:00:00,34245135,19371289
424,5 AVE,04/13/2019,04:00:00,1132529932,510867452
467,6 AV,04/13/2019,04:00:00,1225771360,1213048845
509,63 DR-REGO PARK,04/13/2019,04:00:00,56513646,19325482
593,67 AV,04/13/2019,04:00:00,47501146,30497475
636,74 ST-BROADWAY,04/13/2019,04:00:00,15310126,15415688
720,COURT SQ,04/13/2019,04:00:00,2693280104,1259502370
762,COURT SQ-23 ST,04/13/2019,04:00:00,3433984,1083891
846,ELMHURST AV,04/13/2019,04:00:00,3198668468,4640698758
1056,GRAND-NEWTOWN,04/13/2019,04:00:00,82394601,989775608
1140,JKSN HT-ROOSVLT,04/13/2019,04:00:00,156439457,116660887
1224,LEXINGTON AV/53,04/13/2019,04:00:00,2696681480,3414365293
1350,METROPOLITAN AV,04/13/2019,04:00:00,181799816,33449047
1433,MYRTLE-WYCKOFF,04/13/2019,04:00:00,1721519074,596136167
1601,STEINWAY ST,04/13/2019,04:00:00,62258380,46142294
128,36 ST,04/13/2019,05:00:00,106780769,4477372
254,46 ST,04/13/2019,05:00:00,25101184,27981370
551,65 ST,04/13/2019,05:00:00,23295357,14239599
678,CENTRAL AV,04/13/2019,05:00:00,6922231,7437376
804,DELANCEY/ESSEX,04/13/2019,05:00:00,80200117,66618261
888,FLUSHING AV,04/13/2019,05:00:00,45620776,28204555
930,FOREST AVE,04/13/2019,05:00:00,14817725,13381480
972,FOREST HILLS 71,04/13/2019,05:00:00,354474515,72226874
1014,FRESH POND RD,04/13/2019,05:00:00,25980307,12805496
1098,HEWES ST,04/13/2019,05:00:00,11943128,4957407
1182,KNICKERBOCKER,04/13/2019,05:00:00,11472723,10574615
1266,LORIMER ST,04/13/2019,05:00:00,9179215,4805052
1308,MARCY AV,04/13/2019,05:00:00,151517697,11263294
1391,MYRTLE AV,04/13/2019,05:00:00,41681077,33892511
1475,NORTHERN BLVD,04/13/2019,05:00:00,24191733,21918165
1517,QUEENS PLAZA,04/13/2019,05:00:00,96906805,46598732
1559,SENECA AVE,04/13/2019,05:00:00,7213802,7765125
1643,W 4 ST-WASH SQ,04/13/2019,05:00:00,244543090,114970389
1685,WOODHAVEN BLVD,04/13/2019,05:00:00,45622197,29158862
382,5 AV/53 ST,04/13/2019,06:00:00,101788772,113619719
2,14 ST,04/13/2019,08:00:00,2200764275,2048265677
44,23 ST,04/13/2019,08:00:00,3104422350,3253382550
86,34 ST-HERALD SQ,04/13/2019,08:00:00,4612172950,5769041511
171,4 AV-9 ST,04/13/2019,08:00:00,27346171,28215688
213,42 ST-BRYANT PK,04/13/2019,08:00:00,1943134021,1411651839
297,47-50 STS ROCK,04/13/2019,08:00:00,2261943971,2260295269
341,4AV-9 ST,04/13/2019,08:00:00,34245352,19371554
425,5 AVE,04/13/2019,08:00:00,1132530023,510867853
468,6 AV,04/13/2019,08:00:00,1225771354,1213048932
510,63 DR-REGO PARK,04/13/2019,08:00:00,56514414,19325621
594,67 AV,04/13/2019,08:00:00,47501608,30497573
637,74 ST-BROADWAY,04/13/2019,08:00:00,15310290,15415838
721,COURT SQ,04/13/2019,08:00:00,2693280376,1259503193
763,COURT SQ-23 ST,04/13/2019,08:00:00,3434094,1083967
847,ELMHURST AV,04/13/2019,08:00:00,3198669178,4640698824
1057,GRAND-NEWTOWN,04/13/2019,08:00:00,82395820,989775904
