,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST-UNION SQ,04/13/2019,01:00:00,1408308806,734221344
1,14 ST-UNION SQ,04/13/2019,05:00:00,1408312596,734223148
2,14 ST-UNION SQ,04/13/2019,09:00:00,1408316756,734234022
3,14 ST-UNION SQ,04/13/2019,13:00:00,1408338848,734270966
4,14 ST-UNION SQ,04/13/2019,17:00:00,1408387258,734318780
5,14 ST-UNION SQ,04/13/2019,21:00:00,1408435218,734355650
6,14 ST-UNION SQ,04/14/2019,01:00:00,1408462580,734368146
7,14 ST-UNION SQ,04/14/2019,05:00:00,1408467400,734370294
8,14 ST-UNION SQ,04/14/2019,09:00:00,1408470750,734376914
9,14 ST-UNION SQ,04/14/2019,13:00:00,1408485432,734404854
10,14 ST-UNION SQ,04/14/2019,17:00:00,1408520324,734440992
11,14 ST-UNION SQ,04/14/2019,21:00:00,1408554388,734463818
12,14 ST-UNION SQ,04/15/2019,01:00:00,1408568530,734469546
13,14 ST-UNION SQ,04/15/2019,05:00:00,1408569852,734470606
14,14 ST-UNION SQ,04/15/2019,09:00:00,1408586744,734511720
15,14 ST-UNION SQ,04/15/2019,13:00:00,1408614162,734566506
16,14 ST-UNION SQ,04/15/2019,17:00:00,1408668166,734607006
17,14 ST-UNION SQ,04/15/2019,21:00:00,1408750236,734655236
18,14 ST-UNION SQ,04/16/2019,01:00:00,1408772122,734662548
19,14 ST-UNION SQ,04/16/2019,05:00:00,1408773568,734663744
20,14 ST-UNION SQ,04/16/2019,09:00:00,1408791820,734709624
21,14 ST-UNION SQ,04/16/2019,13:00:00,1408820694,734766624
22,14 ST-UNION SQ,04/16/2019,17:00:00,1408878780,734809370
23,14 ST-UNION SQ,04/16/2019,21:00:00,1408964008,734854732
24,14 ST-UNION SQ,04/17/2019,01:00:00,1408991776,734864074
25,14 ST-UNION SQ,04/17/2019,05:00:00,1408993592,734865212
26,14 ST-UNION SQ,04/17/2019,09:00:00,1409011540,734907974
27,14 ST-UNION SQ,04/17/2019,13:00:00,1409042554,734967528
28,14 ST-UNION SQ,04/17/2019,17:00:00,1409102642,735012174
29,14 ST-UNION SQ,04/17/2019,21:00:00,1409188972,735058530
30,14 ST-UNION SQ,04/18/2019,01:00:00,1409218412,735068070
31,14 ST-UNION SQ,04/18/2019,05:00:00,1409220228,735069290
32,14 ST-UNION SQ,04/18/2019,09:00:00,1409237278,735112512
33,14 ST-UNION SQ,04/18/2019,13:00:00,1409267078,735170552
34,14 ST-UNION SQ,04/18/2019,17:00:00,1409326092,735215844
35,14 ST-UNION SQ,04/18/2019,21:00:00,1409409734,735260368
36,14 ST-UNION SQ,04/19/2019,01:00:00,1409440840,735270836
37,14 ST-UNION SQ,04/19/2019,05:00:00,1409443518,735272334
38,14 ST-UNION SQ,04/19/2019,09:00:00,1409453704,735303644
39,14 ST-UNION SQ,04/19/2019,13:00:00,1409482598,735355846
40,14 ST-UNION SQ,04/19/2019,17:00:00,1409544498,735402666
41,14 ST-UNION SQ,04/19/2019,21:00:00,1409608934,735440090
42,18 AV,04/13/2019,01:00:00,237416832,618454
43,18 AV,04/13/2019,05:00:00,237416900,618582
44,18 AV,04/13/2019,09:00:00,237418720,618784
45,18 AV,04/13/2019,13:00:00,237421066,619294
46,18 AV,04/13/2019,17:00:00,237422664,620328
47,18 AV,04/13/2019,21:00:00,237423446,621742
48,18 AV,04/14/2019,01:00:00,237423632,622462
49,18 AV,04/14/2019,05:00:00,237423674,622604
50,18 AV,04/14/2019,09:00:00,237424946,622796
51,18 AV,04/14/2019,13:00:00,237427138,623290
52,18 AV,04/14/2019,17:00:00,237428328,624182
53,18 AV,04/14/2019,21:00:00,237428924,625338
54,18 AV,04/15/2019,01:00:00,237429086,625908
55,18 AV,04/15/2019,05:00:00,237429194,625972
56,18 AV,04/15/2019,09:00:00,237432150,626180
57,18 AV,04/15/2019,13:00:00,237433508,626534
58,18 AV,04/15/2019,17:00:00,237434416,627144
59,18 AV,04/15/2019,21:00:00,237434994,628152
60,18 AV,04/16/2019,01:00:00,237435092,628446
61,18 AV,04/16/2019,05:00:00,237435156,628486
62,18 AV,04/16/2019,09:00:00,237438098,628728
63,18 AV,04/16/2019,13:00:00,237439556,629046
64,18 AV,04/16/2019,17:00:00,237440572,629706
65,18 AV,04/16/2019,21:00:00,237441238,630768
66,18 AV,04/17/2019,01:00:00,237441356,631152
67,18 AV,04/17/2019,05:00:00,237441416,631198
68,18 AV,04/17/2019,09:00:00,237444336,631432
69,18 AV,04/17/2019,13:00:00,237445834,631794
70,18 AV,04/17/2019,17:00:00,237446788,632466
71,18 AV,04/17/2019,21:00:00,237447468,633582
72,18 AV,04/18/2019,01:00:00,237447594,633938
73,18 AV,04/18/2019,05:00:00,237447648,633964
74,18 AV,04/18/2019,09:00:00,237450466,634208
75,18 AV,04/18/2019,13:00:00,237451748,634580
76,18 AV,04/18/2019,17:00:00,237452720,635174
77,18 AV,04/18/2019,21:00:00,237453434,636144
78,18 AV,04/19/2019,01:00:00,237453576,636504
79,18 AV,04/19/2019,05:00:00,237453628,636552
80,18 AV,04/19/2019,09:00:00,237455800,636732
81,18 AV,04/19/2019,13:00:00,237457302,637054
82,18 AV,04/19/2019,17:00:00,237458230,637692
83,18 AV,04/19/2019,21:00:00,237458802,638514
84,20 AV,04/13/2019,01:00:00,34068288,26336358
85,20 AV,04/13/2019,05:00:00,34068312,26336418
86,20 AV,04/13/2019,09:00:00,34069684,26336518
87,20 AV,04/13/2019,13:00:00,34071588,26336788
88,20 AV,04/13/2019,17:00:00,34072546,26337130
89,20 AV,04/13/2019,21:00:00,34073010,26337578
90,20 AV,04/14/2019,01:00:00,34073170,26337884
91,20 AV,04/14/2019,05:00:00,34073196,26337958
92,20 AV,04/14/2019,09:00:00,34074126,26338056
93,20 AV,04/14/2019,13:00:00,34075778,26338318
94,20 AV,04/14/2019,17:00:00,34076676,26338616
95,20 AV,04/14/2019,21:00:00,34077036,26338940
96,20 AV,04/15/2019,01:00:00,34077136,26339112
97,20 AV,04/15/2019,05:00:00,34077218,26339148
98,20 AV,04/15/2019,09:00:00,34081090,26339358
99,20 AV,04/15/2019,13:00:00,34082934,26339538
100,20 AV,04/15/2019,17:00:00,34084200,26339928
101,20 AV,04/15/2019,21:00:00,34084672,26340518
102,20 AV,04/16/2019,01:00:00,34084772,26340660
103,20 AV,04/16/2019,05:00:00,34084856,26340700
104,20 AV,04/16/2019,09:00:00,34088866,26340918
105,20 AV,04/16/2019,13:00:00,34090772,26341110
106,20 AV,04/16/2019,17:00:00,34092040,26341476
107,20 AV,04/16/2019,21:00:00,34092600,26342074
108,20 AV,04/17/2019,01:00:00,34092726,26342244
109,20 AV,04/17/2019,05:00:00,34092806,26342276
110,20 AV,04/17/2019,09:00:00,34096698,26342522
111,20 AV,04/17/2019,13:00:00,34098642,26342694
112,20 AV,04/17/2019,17:00:00,34099798,26343006
113,20 AV,04/17/2019,21:00:00,34100368,26343602
114,20 AV,04/18/2019,01:00:00,34100510,26343798
115,20 AV,04/18/2019,05:00:00,34100588,26343830
116,20 AV,04/18/2019,09:00:00,34104430,26344044
117,20 AV,04/18/2019,13:00:00,34106312,26344222
118,20 AV,04/18/2019,17:00:00,34107462,26344506
119,20 AV,04/18/2019,21:00:00,34108056,26345128
120,20 AV,04/19/2019,01:00:00,34108216,26345330
121,20 AV,04/19/2019,05:00:00,34108274,26345350
122,20 AV,04/19/2019,09:00:00,34110940,26345446
123,20 AV,04/19/2019,13:00:00,34112850,26345644
124,20 AV,04/19/2019,17:00:00,34113832,26345978
125,20 AV,04/19/2019,21:00:00,34114286,26346392
126,23 ST,04/13/2019,00:00:00,304391568,69637382
127,23 ST,04/13/2019,04:00:00,304392864,69637662
128,23 ST,04/13/2019,08:00:00,304393258,69638652
129,23 ST,04/13/2019,12:00:00,304396724,69643522
130,23 ST,04/13/2019,16:00:00,304405438,69648582
131,23 ST,04/13/2019,20:00:00,304416328,69653306
132,23 ST,04/14/2019,00:00:00,304421618,69655282
133,23 ST,04/14/2019,04:00:00,304422792,69655590
134,23 ST,04/14/2019,08:00:00,304423188,69656154
135,23 ST,04/14/2019,12:00:00,304425750,69659398
136,23 ST,04/14/2019,16:00:00,304433274,69663668
137,23 ST,04/14/2019,20:00:00,304441170,69667140
138,23 ST,04/15/2019,00:00:00,304444982,69668174
139,23 ST,04/15/2019,04:00:00,304445342,69668312
140,23 ST,04/15/2019,08:00:00,304446408,69670852
141,23 ST,04/15/2019,12:00:00,304453422,69683412
142,23 ST,04/15/2019,16:00:00,304463232,69688346
143,23 ST,04/15/2019,20:00:00,304487852,69693856
144,23 ST,04/16/2019,00:00:00,304495190,69695092
145,23 ST,04/16/2019,04:00:00,304495818,69695226
146,23 ST,04/16/2019,08:00:00,304497006,69697794
147,23 ST,04/16/2019,12:00:00,304504384,69711118
148,23 ST,04/16/2019,16:00:00,304514840,69716462
149,23 ST,04/16/2019,20:00:00,304539990,69722844
150,23 ST,04/17/2019,00:00:00,304547978,69724058
151,23 ST,04/17/2019,04:00:00,304548558,69724180
152,23 ST,04/17/2019,08:00:00,304549654,69726808
153,23 ST,04/17/2019,12:00:00,304556990,69739772
154,23 ST,04/17/2019,16:00:00,304568122,69745344
155,23 ST,04/17/2019,20:00:00,304592746,69751790
156,23 ST,04/18/2019,00:00:00,304601026,69753046
157,23 ST,04/18/2019,04:00:00,304601640,69753220
158,23 ST,04/18/2019,08:00:00,304602732,69755908
159,23 ST,04/18/2019,12:00:00,304610204,69768512
160,23 ST,04/18/2019,16:00:00,304621400,69774226
161,23 ST,04/18/2019,20:00:00,304645006,69780296
162,23 ST,04/19/2019,00:00:00,304653226,69781914
163,23 ST,04/19/2019,04:00:00,304654090,69782142
164,23 ST,04/19/2019,08:00:00,304654698,69783890
165,23 ST,04/19/2019,12:00:00,304660354,69792616
166,23 ST,04/19/2019,16:00:00,304672098,69797508
167,23 ST,04/19/2019,20:00:00,304688438,69802158
168,28 ST,04/13/2019,00:00:00,66720548,90342566
169,28 ST,04/13/2019,04:00:00,66721600,90342972
170,28 ST,04/13/2019,08:00:00,66721910,90344064
171,28 ST,04/13/2019,12:00:00,66724182,90348658
172,28 ST,04/13/2019,16:00:00,66728612,90354190
173,28 ST,04/13/2019,20:00:00,66733554,90359838
174,28 ST,04/14/2019,00:00:00,66736476,90362792
175,28 ST,04/14/2019,04:00:00,66737710,90363356
176,28 ST,04/14/2019,08:00:00,66738066,90364026
177,28 ST,04/14/2019,12:00:00,66739954,90367234
178,28 ST,04/14/2019,16:00:00,66743282,90371724
179,28 ST,04/14/2019,20:00:00,66747024,90375812
180,28 ST,04/15/2019,00:00:00,66748986,90377234
181,28 ST,04/15/2019,04:00:00,66749282,90377462
182,28 ST,04/15/2019,08:00:00,66749864,90380100
183,28 ST,04/15/2019,12:00:00,66754182,90391486
184,28 ST,04/15/2019,16:00:00,66759534,90397080
185,28 ST,04/15/2019,20:00:00,66772030,90404194
186,28 ST,04/16/2019,00:00:00,66775662,90405868
187,28 ST,04/16/2019,04:00:00,66776062,90406064
188,28 ST,04/16/2019,08:00:00,66776768,90408926
189,28 ST,04/16/2019,12:00:00,66781228,90421136
190,28 ST,04/16/2019,16:00:00,66786862,90427018
191,28 ST,04/16/2019,20:00:00,66799718,90435376
192,28 ST,04/17/2019,00:00:00,66803982,90437314
193,28 ST,04/17/2019,04:00:00,66804480,90437508
194,28 ST,04/17/2019,08:00:00,66805104,90440314
195,28 ST,04/17/2019,08:05:15,45142008,66978934
196,28 ST,04/17/2019,12:00:00,66809456,90452686
197,28 ST,04/17/2019,16:00:00,66814980,90458482
198,28 ST,04/17/2019,20:00:00,66827650,90466690
199,28 ST,04/18/2019,00:00:00,66832284,90468862
200,28 ST,04/18/2019,04:00:00,66832782,90469064
201,28 ST,04/18/2019,08:00:00,66833448,90471682
202,28 ST,04/18/2019,12:00:00,66837818,90482856
203,28 ST,04/18/2019,16:00:00,66843580,90489048
204,28 ST,04/18/2019,20:00:00,66855496,90497344
205,28 ST,04/19/2019,00:00:00,66859990,90500034
206,28 ST,04/19/2019,04:00:00,66860698,90500320
207,28 ST,04/19/2019,08:00:00,66861138,90502502
208,28 ST,04/19/2019,12:00:00,66864848,90511884
209,28 ST,04/19/2019,16:00:00,66871076,90517928
210,28 ST,04/19/2019,20:00:00,66879704,90524582
211,30 AV,04/13/2019,00:00:00,55796826,83410806
212,30 AV,04/13/2019,04:00:00,55797190,83412282
213,30 AV,04/13/2019,08:00:00,55797190,83412296
214,30 AV,04/13/2019,12:00:00,55797190,83412328
215,30 AV,04/13/2019,16:00:00,55797192,83412352
216,30 AV,04/13/2019,20:00:00,55797192,83412358
217,30 AV,04/14/2019,00:00:00,55797192,83412360
218,30 AV,04/14/2019,04:00:00,55797192,83412368
219,30 AV,04/14/2019,08:00:00,55797192,83412408
220,30 AV,04/14/2019,12:00:00,55797192,83412414
221,30 AV,04/14/2019,16:00:00,55797192,83412422
222,30 AV,04/14/2019,20:00:00,55797192,83412432
223,30 AV,04/15/2019,00:00:00,55797530,83413322
224,30 AV,04/15/2019,04:00:00,55797734,83413744
225,30 AV,04/15/2019,08:00:00,55805580,83415086
226,30 AV,04/15/2019,12:00:00,55822606,83417554
227,30 AV,04/15/2019,16:00:00,55828046,83421428
228,30 AV,04/15/2019,20:00:00,55833326,83434928
