,STATION,DATE,TIME,ENTRIES,EXITS
42,30 AV,04/13/2019,00:00:00,27898413,41705403
87,34 ST-HERALD SQ,04/13/2019,00:00:00,4612168464,5769036346
130,36 AV,04/13/2019,00:00:00,35943043,32260703
171,39 AV,04/13/2019,00:00:00,7933415,6963430
214,42 ST-PORT AUTH,04/13/2019,00:00:00,7250232418,6083034059
298,49 ST,04/13/2019,00:00:00,86708678,97843718
382,57 ST-7 AV,04/13/2019,00:00:00,63740654,25527749
424,59 ST,04/13/2019,00:00:00,2079953527,1633516389
634,ASTORIA DITMARS,04/13/2019,00:00:00,32237277,25353730
677,ATL AV-BARCLAY,04/13/2019,00:00:00,921731670,277687481
721,AVENUE H,04/13/2019,00:00:00,119484446,1921209
763,AVENUE J,04/13/2019,00:00:00,22805818,14358085
805,AVENUE M,04/13/2019,00:00:00,114365252,5168623
934,BEVERLEY ROAD,04/13/2019,00:00:00,10702000,12829374
976,BRIGHTON BEACH,04/13/2019,00:00:00,77716382,68324855
1019,BROADWAY,04/13/2019,00:00:00,63910008,29578269
1107,CHURCH AV,04/13/2019,00:00:00,83424031,88749709
1192,CORTELYOU RD,04/13/2019,00:00:00,9215087,3508445
1234,DEKALB AV,04/13/2019,00:00:00,1463180610,1172851184
1276,KINGS HWY,04/13/2019,00:00:00,2017015148,2052772654
1319,NECK RD,04/13/2019,00:00:00,179929137,18486952
1403,OCEAN PKWY,04/13/2019,00:00:00,18319401,15231590
1482,PROSPECT PARK,04/13/2019,00:00:00,1612374714,826868432
1524,QUEENSBORO PLZ,04/13/2019,00:00:00,29129930,8756660
1609,TIMES SQ-42 ST,04/13/2019,00:00:00,5861981956,4576867762
1653,W 8 ST-AQUARIUM,04/13/2019,00:00:00,13382750,13892931
0,14 ST-UNION SQ,04/13/2019,01:00:00,704154403,367110672
466,7 AV,04/13/2019,01:00:00,34777665,35354256
508,72 ST-2 AVE,04/13/2019,01:00:00,135743052,16834579
550,86 ST-2 AVE,04/13/2019,01:00:00,54847838,62725955
592,96 ST-2 AVE,04/13/2019,01:00:00,13274104,9798546
847,AVENUE U,04/13/2019,01:00:00,191394572,35049408
889,B'WAY-LAFAYETTE,04/13/2019,01:00:00,1987161114,1615017924
1064,CANAL ST,04/13/2019,01:00:00,3072252100,4816052748
1150,CONEY IS-STILLW,04/13/2019,01:00:00,659056533,334924003
1361,NEWKIRK PLAZA,04/13/2019,01:00:00,48285161,43446836
1439,PARKSIDE AV,04/13/2019,01:00:00,39968838,34966635
1566,SHEEPSHEAD BAY,04/13/2019,01:00:00,50071703,45639185
215,42 ST-PORT AUTH,04/13/2019,02:00:00,254039653,60049810
340,5 AV/59 ST,04/13/2019,02:00:00,167004050,42258329
43,30 AV,04/13/2019,04:00:00,27898595,41706141
88,34 ST-HERALD SQ,04/13/2019,04:00:00,4612171045,5769038023
131,36 AV,04/13/2019,04:00:00,35943132,32261000
172,39 AV,04/13/2019,04:00:00,7933449,6963508
216,42 ST-PORT AUTH,04/13/2019,04:00:00,7250233122,6083035043
299,49 ST,04/13/2019,04:00:00,86709925,97844098
383,57 ST-7 AV,04/13/2019,04:00:00,63742068,25528104
425,59 ST,04/13/2019,04:00:00,2079954570,1633516854
635,ASTORIA DITMARS,04/13/2019,04:00:00,32237444,25354612
678,ATL AV-BARCLAY,04/13/2019,04:00:00,921733335,277688597
722,AVENUE H,04/13/2019,04:00:00,119484460,1921340
764,AVENUE J,04/13/2019,04:00:00,22805845,14358174
806,AVENUE M,04/13/2019,04:00:00,114365270,5168666
935,BEVERLEY ROAD,04/13/2019,04:00:00,10702032,12829622
977,BRIGHTON BEACH,04/13/2019,04:00:00,77716434,68325036
1020,BROADWAY,04/13/2019,04:00:00,63910107,29578766
