,STATION,DATE,TIME,ENTRIES,EXITS
1344,FOREST HILLS 71,4/13/2019,0,354474330,72226658
756,67 AV,4/13/2019,0,47501091,30497334
672,63 DR-REGO PARK,4/13/2019,0,56513530,19325328
2016,WOODHAVEN BLVD,4/13/2019,0,45622073,29158624
1386,GRAND-NEWTOWN,4/13/2019,0,82394526,989775148
1302,ELMHURST AV,4/13/2019,0,3198668398,4640698692
1470,JKSN HT-ROOSVLT,4/13/2019,0,156438466,116658390
714,65 ST,4/13/2019,0,23295310,14239492
1512,NORTHERN BLVD,4/13/2019,0,24191659,21918023
378,46 ST,4/13/2019,0,25101114,27981212
1848,STEINWAY ST,4/13/2019,0,62258012,46141769
1638,QUEENS PLAZA,4/13/2019,0,96906718,46598492
504,5 AV/59 ST,4/13/2019,0,167004050,42258329
420,49 ST,4/13/2019,0,86708678,97843718
1890,TIMES SQ-42 ST,4/13/2019,0,5861981956,4576867762
168,34 ST-HERALD SQ,4/13/2019,0,4612168464,5769036346
126,28 ST,4/13/2019,0,33360274,45171283
42,23 ST,4/13/2019,0,152195784,34818691
0,14 ST-UNION SQ,4/13/2019,0,704154403,367110672
882,8 ST-NYU,4/13/2019,0,110016080,55458844
1554,PRINCE ST,4/13/2019,0,71139622,45110097
1134,CANAL ST,4/13/2019,0,3072252100,4816052748
1176,CITY HALL,4/13/2019,0,333831395,32973972
1218,CORTLANDT ST,4/13/2019,0,2614194891,927141060
1680,RECTOR ST,4/13/2019,0,144959197,31705667
1974,WHITEHALL S-FRY,4/13/2019,0,279574251,73973084
1092,BOROUGH HALL,4/13/2019,0,208890833,71904475
1428,JAY ST-METROTEC,4/13/2019,0,223552299,34821904
966,ATL AV-BARCLAY,4/13/2019,0,921731670,277687481
1260,DEKALB AV,4/13/2019,0,1463180610,1172851184
1932,UNION ST,4/13/2019,0,26432984,26236620
252,4 AV-9 ST,4/13/2019,0,27346019,28215403
1596,PROSPECT AV,4/13/2019,0,32555405,31419287
84,25 ST,4/13/2019,0,20609877,21719548
210,36 ST,4/13/2019,0,155613825,34160899
336,45 ST,4/13/2019,0,11539778,10118582
546,53 ST,4/13/2019,0,121767566,147613363
630,59 ST,4/13/2019,0,4158693997,2368939739
1008,BAY RIDGE AV,4/13/2019,0,31475007,17668525
840,77 ST,4/13/2019,0,30819220,17770839
924,86 ST,4/13/2019,0,161867385,79809527
1050,BAY RIDGE-95 ST,4/13/2019,0,295049116,20932021
1345,FOREST HILLS 71,4/13/2019,1,354474515,72226874
757,67 AV,4/13/2019,1,47501146,30497475
673,63 DR-REGO PARK,4/13/2019,1,56513646,19325482
2017,WOODHAVEN BLVD,4/13/2019,1,45622197,29158862
1387,GRAND-NEWTOWN,4/13/2019,1,82394601,989775608
1303,ELMHURST AV,4/13/2019,1,3198668468,4640698758
1471,JKSN HT-ROOSVLT,4/13/2019,1,156439457,116660887
715,65 ST,4/13/2019,1,23295357,14239599
1513,NORTHERN BLVD,4/13/2019,1,24191733,21918165
379,46 ST,4/13/2019,1,25101184,27981370
1849,STEINWAY ST,4/13/2019,1,62258380,46142294
