,STATION,DATE,TIME,ENTRIES,EXITS
0,42 ST-PORT AUTH,04/13/2019,00:00:00,7250232418,6083034059
293,FRANKLIN AV,04/13/2019,00:00:00,615975239,2215404554
378,GRD CNTRL-42 ST,04/13/2019,00:00:00,2415502811,3007932467
511,PROSPECT PARK,04/13/2019,00:00:00,1612374714,826868432
595,TIMES SQ-42 ST,04/13/2019,00:00:00,5861981956,4576867762
84,BEACH 105 ST,04/13/2019,01:00:00,118876284,1924895
126,BEACH 90 ST,04/13/2019,01:00:00,6310497,6416720
168,BEACH 98 ST,04/13/2019,01:00:00,4926399,5301125
210,BOTANIC GARDEN,04/13/2019,01:00:00,5798762,3062421
251,BROAD CHANNEL,04/13/2019,01:00:00,1393745,205565
294,FRANKLIN AV,04/13/2019,01:00:00,84606857,42531020
379,GRD CNTRL-42 ST,04/13/2019,01:00:00,186864482,159422574
469,PARK PLACE,04/13/2019,01:00:00,13044313,14162126
553,ROCKAWAY PARK B,04/13/2019,01:00:00,105887143,11767462
1,42 ST-PORT AUTH,04/13/2019,02:00:00,359075217,130496233
2,42 ST-PORT AUTH,04/13/2019,04:00:00,7250233122,6083035043
295,FRANKLIN AV,04/13/2019,04:00:00,615975346,2215404935
380,GRD CNTRL-42 ST,04/13/2019,04:00:00,2415504092,3007933180
512,PROSPECT PARK,04/13/2019,04:00:00,1612374827,826868914
596,TIMES SQ-42 ST,04/13/2019,04:00:00,5861986120,4576869178
85,BEACH 105 ST,04/13/2019,05:00:00,118876289,1924911
127,BEACH 90 ST,04/13/2019,05:00:00,6310519,6416751
169,BEACH 98 ST,04/13/2019,05:00:00,4926411,5301143
211,BOTANIC GARDEN,04/13/2019,05:00:00,5798770,3062451
252,BROAD CHANNEL,04/13/2019,05:00:00,1393748,205569
296,FRANKLIN AV,04/13/2019,05:00:00,84606967,42531159
381,GRD CNTRL-42 ST,04/13/2019,05:00:00,186864932,159422811
470,PARK PLACE,04/13/2019,05:00:00,13044325,14162159
554,ROCKAWAY PARK B,04/13/2019,05:00:00,105887152,11767490
3,42 ST-PORT AUTH,04/13/2019,06:00:00,359076187,130496907
4,42 ST-PORT AUTH,04/13/2019,08:00:00,7250235130,6083036887
297,FRANKLIN AV,04/13/2019,08:00:00,615975604,2215405050
382,GRD CNTRL-42 ST,04/13/2019,08:00:00,2415505164,3007934822
513,PROSPECT PARK,04/13/2019,08:00:00,1612375348,826869099
597,TIMES SQ-42 ST,04/13/2019,08:00:00,5861987851,4576872374
86,BEACH 105 ST,04/13/2019,09:00:00,118876303,1924925
128,BEACH 90 ST,04/13/2019,09:00:00,6310601,6416790
170,BEACH 98 ST,04/13/2019,09:00:00,4926459,5301162
212,BOTANIC GARDEN,04/13/2019,09:00:00,5798822,3062566
253,BROAD CHANNEL,04/13/2019,09:00:00,1393782,205572
298,FRANKLIN AV,04/13/2019,09:00:00,84607366,42531547
383,GRD CNTRL-42 ST,04/13/2019,09:00:00,186866262,159426186
471,PARK PLACE,04/13/2019,09:00:00,13044434,14162267
555,ROCKAWAY PARK B,04/13/2019,09:00:00,105887219,11767547
5,42 ST-PORT AUTH,04/13/2019,10:00:00,359078296,130499585
