,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST-UNION SQ,04/13/2019,0,704154403,367110672
42,23 ST,04/13/2019,0,152195784,34818691
84,28 ST,04/13/2019,0,33360274,45171283
126,30 AV,04/13/2019,0,27898413,41705403
168,34 ST-HERALD SQ,04/13/2019,0,4612168464,5769036346
210,36 AV,04/13/2019,0,35943043,32260703
249,39 AV,04/13/2019,0,7933415,6963430
291,42 ST-PORT AUTH,04/13/2019,0,7609307635,6213530292
333,49 ST,04/13/2019,0,86708678,97843718
375,5 AV/59 ST,04/13/2019,0,167004050,42258329
417,57 ST-7 AV,04/13/2019,0,63740654,25527749
459,59 ST,04/13/2019,0,4158693997,2368939739
501,8 ST-NYU,04/13/2019,0,110016080,55458844
543,ASTORIA DITMARS,04/13/2019,0,32237277,25353730
585,BROADWAY,04/13/2019,0,63910008,29578269
627,CANAL ST,04/13/2019,0,3072252100,4816052748
669,CITY HALL,04/13/2019,0,333831395,32973972
711,CORTLANDT ST,04/13/2019,0,2614194891,927141060
753,PRINCE ST,04/13/2019,0,71139622,45110097
795,QUEENSBORO PLZ,04/13/2019,0,29129930,8756660
837,RECTOR ST,04/13/2019,0,144959197,31705667
879,SOUTH FERRY,04/13/2019,0,153441022,24626554
921,TIMES SQ-42 ST,04/13/2019,0,5748662395,3197350215
963,WHITEHALL S-FRY,04/13/2019,0,279574251,73973084
1,14 ST-UNION SQ,04/13/2019,1,704156298,367111574
43,23 ST,04/13/2019,1,152196432,34818831
85,28 ST,04/13/2019,1,33360800,45171486
127,30 AV,04/13/2019,1,27898595,41706141
169,34 ST-HERALD SQ,04/13/2019,1,4612171045,5769038023
211,36 AV,04/13/2019,1,35943132,32261000
250,39 AV,04/13/2019,1,7933449,6963508
292,42 ST-PORT AUTH,04/13/2019,1,7609309309,6213531950
334,49 ST,04/13/2019,1,86709925,97844098
376,5 AV/59 ST,04/13/2019,1,167004109,42258389
418,57 ST-7 AV,04/13/2019,1,63742068,25528104
460,59 ST,04/13/2019,1,4158695099,2368940418
502,8 ST-NYU,04/13/2019,1,110016870,55459143
544,ASTORIA DITMARS,04/13/2019,1,32237444,25354612
586,BROADWAY,04/13/2019,1,63910107,29578766
628,CANAL ST,04/13/2019,1,3072252593,4816053041
670,CITY HALL,04/13/2019,1,333831450,32974015
712,CORTLANDT ST,04/13/2019,1,2614194992,927141164
754,PRINCE ST,04/13/2019,1,71140059,45110303
796,QUEENSBORO PLZ,04/13/2019,1,29130246,8756945
838,RECTOR ST,04/13/2019,1,144959319,31705702
880,SOUTH FERRY,04/13/2019,1,153441027,24626565
922,TIMES SQ-42 ST,04/13/2019,1,5748665461,3197351465
964,WHITEHALL S-FRY,04/13/2019,1,279574441,73973376
2,14 ST-UNION SQ,04/13/2019,2,704158378,367117011
44,23 ST,04/13/2019,2,152196629,34819326
86,28 ST,04/13/2019,2,33360955,45172032
128,30 AV,04/13/2019,2,27898595,41706148
170,34 ST-HERALD SQ,04/13/2019,2,4612172950,5769041511
212,36 AV,04/13/2019,2,35943132,32261001
251,39 AV,04/13/2019,2,7933449,6963514
293,42 ST-PORT AUTH,04/13/2019,2,7609313426,6213536472
