,STATION,DATE,TIME,ENTRIES,EXITS
0,104 ST,04/13/2019,0,0.0,0.0
42,121 ST,04/13/2019,0,0.0,0.0
84,75 ST-ELDERTS,04/13/2019,0,0.0,0.0
126,BOWERY,04/13/2019,0,0.0,0.0
168,BROAD ST,04/13/2019,0,0.0,0.0
207,BROADWAY JCT,04/13/2019,0,0.0,0.0
249,BROOKLYN BRIDGE,04/13/2019,0,0.0,0.0
291,CANAL ST,04/13/2019,0,0.0,0.0
333,CHAMBERS ST,04/13/2019,0,0.0,0.0
375,CHAUNCEY ST,04/13/2019,0,0.0,0.0
417,CRESCENT ST,04/13/2019,0,0.0,0.0
459,DELANCEY/ESSEX,04/13/2019,0,0.0,0.0
501,FULTON ST,04/13/2019,0,0.0,0.0
543,GATES AV,04/13/2019,0,0.0,0.0
585,JAMAICA CENTER,04/13/2019,0,0.0,0.0
627,MARCY AV,04/13/2019,0,0.0,0.0
669,MYRTLE AV,04/13/2019,0,0.0,0.0
711,NORWOOD AV,04/13/2019,0,0.0,0.0
753,SUTPHIN-ARCHER,04/13/2019,0,0.0,0.0
795,VAN SICLEN AV,04/13/2019,0,0.0,0.0
837,WOODHAVEN BLVD,04/13/2019,0,0.0,0.0
1,104 ST,04/13/2019,1,18.0,45.0
43,121 ST,04/13/2019,1,48.0,60.0
85,75 ST-ELDERTS,04/13/2019,1,24.0,64.0
127,BOWERY,04/13/2019,1,408.0,138.0
169,BROAD ST,04/13/2019,1,53.0,44.0
208,BROADWAY JCT,04/13/2019,1,252.0,801.0
250,BROOKLYN BRIDGE,04/13/2019,1,213.0,152.0
292,CANAL ST,04/13/2019,1,493.0,293.0
334,CHAMBERS ST,04/13/2019,1,128.0,74.0
376,CHAUNCEY ST,04/13/2019,1,28.0,75.0
418,CRESCENT ST,04/13/2019,1,98.0,247.0
460,DELANCEY/ESSEX,04/13/2019,1,979.0,264.0
502,FULTON ST,04/13/2019,1,513.0,815.0
544,GATES AV,04/13/2019,1,68.0,128.0
586,JAMAICA CENTER,04/13/2019,1,362.0,1131.0
628,MARCY AV,04/13/2019,1,249.0,130.0
670,MYRTLE AV,04/13/2019,1,242.0,395.0
712,NORWOOD AV,04/13/2019,1,46.0,143.0
754,SUTPHIN-ARCHER,04/13/2019,1,530.0,654.0
796,VAN SICLEN AV,04/13/2019,1,38.0,89.0
838,WOODHAVEN BLVD,04/13/2019,1,48.0,67.0
2,104 ST,04/13/2019,2,0.0,1.0
44,121 ST,04/13/2019,2,0.0,9.0
86,75 ST-ELDERTS,04/13/2019,2,1.0,2.0
128,BOWERY,04/13/2019,2,73.0,176.0
170,BROAD ST,04/13/2019,2,62.0,99.0
209,BROADWAY JCT,04/13/2019,2,987.0,533.0
251,BROOKLYN BRIDGE,04/13/2019,2,187.0,392.0
293,CANAL ST,04/13/2019,2,796.0,2572.0
335,CHAMBERS ST,04/13/2019,2,133.0,132.0
377,CHAUNCEY ST,04/13/2019,2,322.0,63.0
419,CRESCENT ST,04/13/2019,2,1472.0,782.0
461,DELANCEY/ESSEX,04/13/2019,2,1073.0,744.0
503,FULTON ST,04/13/2019,2,2345.0,4964.0
545,GATES AV,04/13/2019,2,628.0,130.0
