,STATION,DATE,TIME,ENTRIES,EXITS
0,125 ST,04/13/2019,0,,
42,138/GRAND CONC,04/13/2019,0,,
84,14 ST-UNION SQ,04/13/2019,0,,
126,149/GRAND CONC,04/13/2019,0,,
168,161/YANKEE STAD,04/13/2019,0,,
210,167 ST,04/13/2019,0,,
252,170 ST,04/13/2019,0,,
294,176 ST,04/13/2019,0,,
336,183 ST,04/13/2019,0,,
378,59 ST,04/13/2019,0,,
420,86 ST,04/13/2019,0,,
462,ATL AV-BARCLAY,04/13/2019,0,,
504,BEDFORD PK BLVD,04/13/2019,0,,
546,BOROUGH HALL,04/13/2019,0,,
588,BOTANIC GARDEN,04/13/2019,0,,
629,BOWLING GREEN,04/13/2019,0,,
671,BROOKLYN BRIDGE,04/13/2019,0,,
713,BURNSIDE AV,04/13/2019,0,,
755,CHAMBERS ST,04/13/2019,0,,
797,CROWN HTS-UTICA,04/13/2019,0,,
839,FORDHAM RD,04/13/2019,0,,
881,FRANKLIN AV,04/13/2019,0,,
923,FULTON ST,04/13/2019,0,,
965,GRD CNTRL-42 ST,04/13/2019,0,,
1007,KINGSBRIDGE RD,04/13/2019,0,,
1040,MOSHOLU PKWY,04/13/2019,0,,
1082,MT EDEN AV,04/13/2019,0,,
1124,NEVINS ST,04/13/2019,0,,
1166,WALL ST,04/13/2019,0,,
1208,WOODLAWN,04/13/2019,0,,
1,125 ST,04/13/2019,1,373.0,685.0
43,138/GRAND CONC,04/13/2019,1,99.0,163.0
85,14 ST-UNION SQ,04/13/2019,1,1895.0,902.0
127,149/GRAND CONC,04/13/2019,1,251.0,580.0
169,161/YANKEE STAD,04/13/2019,1,302.0,441.0
211,167 ST,04/13/2019,1,128.0,504.0
253,170 ST,04/13/2019,1,110.0,356.0
295,176 ST,04/13/2019,1,80.0,166.0
337,183 ST,04/13/2019,1,91.0,178.0
379,59 ST,04/13/2019,1,1043.0,465.0
421,86 ST,04/13/2019,1,491.0,478.0
463,ATL AV-BARCLAY,04/13/2019,1,1665.0,1116.0
505,BEDFORD PK BLVD,04/13/2019,1,50.0,207.0
547,BOROUGH HALL,04/13/2019,1,366.0,240.0
589,BOTANIC GARDEN,04/13/2019,1,8.0,30.0
630,BOWLING GREEN,04/13/2019,1,320.0,376.0
672,BROOKLYN BRIDGE,04/13/2019,1,213.0,152.0
714,BURNSIDE AV,04/13/2019,1,123.0,288.0
756,CHAMBERS ST,04/13/2019,1,128.0,74.0
798,CROWN HTS-UTICA,04/13/2019,1,289.0,986.0
840,FORDHAM RD,04/13/2019,1,154.0,121.0
882,FRANKLIN AV,04/13/2019,1,107.0,381.0
924,FULTON ST,04/13/2019,1,513.0,815.0
966,GRD CNTRL-42 ST,04/13/2019,1,1731.0,950.0
1008,KINGSBRIDGE RD,04/13/2019,1,102.0,194.0
1041,MOSHOLU PKWY,04/13/2019,1,110.0,102.0
1083,MT EDEN AV,04/13/2019,1,63.0,188.0
1125,NEVINS ST,04/13/2019,1,222.0,171.0
1167,WALL ST,04/13/2019,1,46.0,34.0
1209,WOODLAWN,04/13/2019,1,135.0,104.0
2,125 ST,04/13/2019,2,2127.0,2730.0
44,138/GRAND CONC,04/13/2019,2,232.0,296.0
86,14 ST-UNION SQ,04/13/2019,2,2080.0,5437.0
128,149/GRAND CONC,04/13/2019,2,766.0,502.0
170,161/YANKEE STAD,04/13/2019,2,1541.0,500.0
212,167 ST,04/13/2019,2,900.0,309.0
254,170 ST,04/13/2019,2,820.0,242.0
296,176 ST,04/13/2019,2,498.0,163.0
338,183 ST,04/13/2019,2,726.0,104.0
380,59 ST,04/13/2019,2,949.0,2025.0
422,86 ST,04/13/2019,2,567.0,997.0
464,ATL AV-BARCLAY,04/13/2019,2,980.0,1088.0
506,BEDFORD PK BLVD,04/13/2019,2,417.0,172.0
548,BOROUGH HALL,04/13/2019,2,286.0,506.0
590,BOTANIC GARDEN,04/13/2019,2,52.0,115.0
631,BOWLING GREEN,04/13/2019,2,440.0,564.0
673,BROOKLYN BRIDGE,04/13/2019,2,187.0,392.0
715,BURNSIDE AV,04/13/2019,2,921.0,155.0
757,CHAMBERS ST,04/13/2019,2,133.0,132.0
799,CROWN HTS-UTICA,04/13/2019,2,1880.0,455.0
841,FORDHAM RD,04/13/2019,2,1018.0,92.0
