,STATION,DATE,TIME,ENTRIES,EXITS
0,104 ST,04/13/2019,0,,
42,111 ST,04/13/2019,0,,
84,125 ST,04/13/2019,0,,
126,14 ST,04/13/2019,0,,
168,145 ST,04/13/2019,0,,
186,168 ST,04/13/2019,0,,
228,175 ST,04/13/2019,0,,
270,181 ST,04/13/2019,0,,
312,190 ST,04/13/2019,0,,
354,34 ST-PENN STA,04/13/2019,0,,
396,42 ST-PORT AUTH,04/13/2019,0,,
438,59 ST COLUMBUS,04/13/2019,0,,
480,8 AV,04/13/2019,0,,
522,80 ST,04/13/2019,0,,
564,88 ST,04/13/2019,0,,
606,AQUEDUCT N.COND,04/13/2019,0,,
648,AQUEDUCT RACETR,04/13/2019,0,,
690,BEACH 105 ST,04/13/2019,0,,
732,BEACH 25 ST,04/13/2019,0,,
774,BEACH 36 ST,04/13/2019,0,,
816,BEACH 44 ST,04/13/2019,0,,
858,BEACH 60 ST,04/13/2019,0,,
900,BEACH 67 ST,04/13/2019,0,,
942,BEACH 90 ST,04/13/2019,0,,
984,BEACH 98 ST,04/13/2019,0,,
1026,BROAD CHANNEL,04/13/2019,0,,
1068,BROADWAY JCT,04/13/2019,0,,
1110,CANAL ST,04/13/2019,0,,
1152,CHAMBERS ST,04/13/2019,0,,
1194,DYCKMAN ST,04/13/2019,0,,
1236,EUCLID AV,04/13/2019,0,,
1278,FAR ROCKAWAY,04/13/2019,0,,
1320,FRANKLIN AV,04/13/2019,0,,
1362,FULTON ST,04/13/2019,0,,
1404,GRANT AV,04/13/2019,0,,
1446,HIGH ST,04/13/2019,0,,
1488,HOWARD BCH JFK,04/13/2019,0,,
1530,HOYT-SCHER,04/13/2019,0,,
1572,INWOOD-207 ST,04/13/2019,0,,
1614,JAY ST-METROTEC,04/13/2019,0,,
1656,NOSTRAND AV,04/13/2019,0,,
1698,OZONE PK LEFFRT,04/13/2019,0,,
1740,PARK PLACE,04/13/2019,0,,
1782,ROCKAWAY BLVD,04/13/2019,0,,
1824,ROCKAWAY PARK B,04/13/2019,0,,
1866,TIMES SQ-42 ST,04/13/2019,0,,
1908,UTICA AV,04/13/2019,0,,
1950,W 4 ST-WASH SQ,04/13/2019,0,,
1992,WORLD TRADE CTR,04/13/2019,0,,
1,104 ST,04/13/2019,1,10.0,23.0
43,111 ST,04/13/2019,1,26.0,23.0
85,125 ST,04/13/2019,1,623.0,1032.0
127,14 ST,04/13/2019,1,525.0,211.0
169,145 ST,04/13/2019,1,326.0,1440.0
187,168 ST,04/13/2019,1,265.0,269.0
229,175 ST,04/13/2019,1,155.0,304.0
271,181 ST,04/13/2019,1,51.0,274.0
313,190 ST,04/13/2019,1,-4.0,-42.0
355,34 ST-PENN STA,04/13/2019,1,2073.0,1761.0
397,42 ST-PORT AUTH,04/13/2019,1,1674.0,1658.0
439,59 ST COLUMBUS,04/13/2019,1,1922.0,731.0
481,8 AV,04/13/2019,1,861.0,220.0
523,80 ST,04/13/2019,1,66.0,131.0
565,88 ST,04/13/2019,1,41.0,40.0
607,AQUEDUCT N.COND,04/13/2019,1,39.0,59.0
649,AQUEDUCT RACETR,04/13/2019,1,177.0,13.0
691,BEACH 105 ST,04/13/2019,1,5.0,16.0
733,BEACH 25 ST,04/13/2019,1,24.0,145.0
775,BEACH 36 ST,04/13/2019,1,15.0,95.0
817,BEACH 44 ST,04/13/2019,1,19.0,63.0
859,BEACH 60 ST,04/13/2019,1,47.0,148.0
901,BEACH 67 ST,04/13/2019,1,34.0,128.0
943,BEACH 90 ST,04/13/2019,1,22.0,31.0
985,BEACH 98 ST,04/13/2019,1,12.0,18.0
1027,BROAD CHANNEL,04/13/2019,1,3.0,4.0
1069,BROADWAY JCT,04/13/2019,1,252.0,801.0
1111,CANAL ST,04/13/2019,1,556.0,232.0
1153,CHAMBERS ST,04/13/2019,1,508.0,134.0
1195,DYCKMAN ST,04/13/2019,1,77.0,16.0
1237,EUCLID AV,04/13/2019,1,133.0,277.0
1279,FAR ROCKAWAY,04/13/2019,1,84.0,264.0
1321,FRANKLIN AV,04/13/2019,1,110.0,139.0
1363,FULTON ST,04/13/2019,1,513.0,815.0
1405,GRANT AV,04/13/2019,1,66.0,353.0
1447,HIGH ST,04/13/2019,1,200.0,109.0
1489,HOWARD BCH JFK,04/13/2019,1,181.0,197.0
1531,HOYT-SCHER,04/13/2019,1,278.0,285.0
1573,INWOOD-207 ST,04/13/2019,1,120.0,188.0
1615,JAY ST-METROTEC,04/13/2019,1,518.0,370.0
1657,NOSTRAND AV,04/13/2019,1,21083502.0,8358368.0
1699,OZONE PK LEFFRT,04/13/2019,1,90.0,211.0
1741,PARK PLACE,04/13/2019,1,39.0,35.0
1783,ROCKAWAY BLVD,04/13/2019,1,105.0,70.0
1825,ROCKAWAY PARK B,04/13/2019,1,9.0,28.0
1867,TIMES SQ-42 ST,04/13/2019,1,4164.0,1416.0
1909,UTICA AV,04/13/2019,1,238.0,653.0
1951,W 4 ST-WASH SQ,04/13/2019,1,1667.0,582.0
1993,WORLD TRADE CTR,04/13/2019,1,56.0,6.0
2,104 ST,04/13/2019,2,152.0,10.0
44,111 ST,04/13/2019,2,401.0,27.0
86,125 ST,04/13/2019,2,1135.0,1026.0
128,14 ST,04/13/2019,2,465.0,785.0
170,145 ST,04/13/2019,2,1378.0,634.0
188,168 ST,04/13/2019,2,14848919.0,41149336.0
230,175 ST,04/13/2019,2,796.0,202.0
272,181 ST,04/13/2019,2,987.0,232.0
314,190 ST,04/13/2019,2,14.0,-12.0
356,34 ST-PENN STA,04/13/2019,2,6029.0,6019.0
398,42 ST-PORT AUTH,04/13/2019,2,4117.0,4522.0
440,59 ST COLUMBUS,04/13/2019,2,1086.0,2066.0
482,8 AV,04/13/2019,2,572.0,888.0
524,80 ST,04/13/2019,2,650.0,89.0
566,88 ST,04/13/2019,2,482.0,46.0
608,AQUEDUCT N.COND,04/13/2019,2,78.0,55.0
650,AQUEDUCT RACETR,04/13/2019,2,176.0,9.0
