,STATION,DATE,TIME,ENTRIES,EXITS
0,125 ST,04/13/2019,0,,
42,145 ST,04/13/2019,0,,
60,155 ST,04/13/2019,0,,
102,161/YANKEE STAD,04/13/2019,0,,
144,167 ST,04/13/2019,0,,
186,170 ST,04/13/2019,0,,
228,174-175 STS,04/13/2019,0,,
270,18 AV,04/13/2019,0,,
312,182-183 STS,04/13/2019,0,,
354,20 AV,04/13/2019,0,,
396,25 AV,04/13/2019,0,,
438,34 ST-HERALD SQ,04/13/2019,0,,
480,36 ST,04/13/2019,0,,
522,4 AV-9 ST,04/13/2019,0,,
564,42 ST-BRYANT PK,04/13/2019,0,,
606,47-50 STS ROCK,04/13/2019,0,,
648,4AV-9 ST,04/13/2019,0,,
690,5 AVE,04/13/2019,0,,
732,50 ST,04/13/2019,0,,
774,55 ST,04/13/2019,0,,
816,59 ST COLUMBUS,04/13/2019,0,,
858,7 AV,04/13/2019,0,,
900,71 ST,04/13/2019,0,,
942,79 ST,04/13/2019,0,,
984,9 AV,04/13/2019,0,,
1026,ATL AV-BARCLAY,04/13/2019,0,,
1068,B'WAY-LAFAYETTE,04/13/2019,0,,
1110,BAY 50 ST,04/13/2019,0,,
1152,BAY PKWY,04/13/2019,0,,
1194,BEDFORD PK BLVD,04/13/2019,0,,
1236,BLEECKER ST,04/13/2019,0,,
1278,CONEY IS-STILLW,04/13/2019,0,,
1320,DEKALB AV,04/13/2019,0,,
1362,FORDHAM RD,04/13/2019,0,,
1404,FT HAMILTON PKY,04/13/2019,0,,
1446,GRAND ST,04/13/2019,0,,
1488,KINGSBRIDGE RD,04/13/2019,0,,
1530,NEW UTRECHT AV,04/13/2019,0,,
1572,NORWOOD 205 ST,04/13/2019,0,,
1614,TREMONT AV,04/13/2019,0,,
1656,W 4 ST-WASH SQ,04/13/2019,0,,
1,125 ST,04/13/2019,1,623.0,1032.0
43,145 ST,04/13/2019,1,326.0,1440.0
61,155 ST,04/13/2019,1,45.0,80.0
103,161/YANKEE STAD,04/13/2019,1,302.0,441.0
145,167 ST,04/13/2019,1,89.0,217.0
187,170 ST,04/13/2019,1,100.0,121.0
229,174-175 STS,04/13/2019,1,71.0,173.0
271,18 AV,04/13/2019,1,0.0,1.0
313,182-183 STS,04/13/2019,1,15.0,141.0
355,20 AV,04/13/2019,1,1.0,2.0
397,25 AV,04/13/2019,1,0.0,0.0
439,34 ST-HERALD SQ,04/13/2019,1,2581.0,1677.0
481,36 ST,04/13/2019,1,309.0,651.0
523,4 AV-9 ST,04/13/2019,1,62.0,153.0
565,42 ST-BRYANT PK,04/13/2019,1,838.0,350.0
607,47-50 STS ROCK,04/13/2019,1,1127.0,293.0
649,4AV-9 ST,04/13/2019,1,129.0,178.0
691,5 AVE,04/13/2019,1,242.0,56.0
733,50 ST,04/13/2019,1,0.0,0.0
775,55 ST,04/13/2019,1,1.0,2.0
817,59 ST COLUMBUS,04/13/2019,1,1922.0,731.0
859,7 AV,04/13/2019,1,184.0,182.0
901,71 ST,04/13/2019,1,0.0,0.0
943,79 ST,04/13/2019,1,2.0,1.0
985,9 AV,04/13/2019,1,0.0,1.0
1027,ATL AV-BARCLAY,04/13/2019,1,1665.0,1116.0
1069,B'WAY-LAFAYETTE,04/13/2019,1,326.0,249.0
1111,BAY 50 ST,04/13/2019,1,0.0,1.0
1153,BAY PKWY,04/13/2019,1,0.0,0.0
1195,BEDFORD PK BLVD,04/13/2019,1,103.0,193.0
1237,BLEECKER ST,04/13/2019,1,892.0,135.0
1279,CONEY IS-STILLW,04/13/2019,1,200.0,340.0
1321,DEKALB AV,04/13/2019,1,335.0,369.0
1363,FORDHAM RD,04/13/2019,1,129.0,405.0
1405,FT HAMILTON PKY,04/13/2019,1,0.0,2.0
1447,GRAND ST,04/13/2019,1,581.0,367.0
1489,KINGSBRIDGE RD,04/13/2019,1,115.0,362.0
1531,NEW UTRECHT AV,04/13/2019,1,47.0,39.0
1573,NORWOOD 205 ST,04/13/2019,1,127.0,314.0
1615,TREMONT AV,04/13/2019,1,168.0,250.0
1657,W 4 ST-WASH SQ,04/13/2019,1,1667.0,582.0
2,125 ST,04/13/2019,2,1135.0,1026.0
44,145 ST,04/13/2019,2,1378.0,634.0
62,155 ST,04/13/2019,2,440.0,115.0
104,161/YANKEE STAD,04/13/2019,2,1541.0,500.0
146,167 ST,04/13/2019,2,987.0,147.0
188,170 ST,04/13/2019,2,1070.0,210.0
230,174-175 STS,04/13/2019,2,436.0,121.0
272,18 AV,04/13/2019,2,0.0,0.0
314,182-183 STS,04/13/2019,2,159.0,94.0
356,20 AV,04/13/2019,2,2.0,2.0
398,25 AV,04/13/2019,2,0.0,0.0
440,34 ST-HERALD SQ,04/13/2019,2,1905.0,3488.0
482,36 ST,04/13/2019,2,3587.0,735.0
524,4 AV-9 ST,04/13/2019,2,90.0,132.0
566,42 ST-BRYANT PK,04/13/2019,2,308.0,769.0
608,47-50 STS ROCK,04/13/2019,2,466.0,1198.0
650,4AV-9 ST,04/13/2019,2,217.0,265.0
692,5 AVE,04/13/2019,2,91.0,401.0
734,50 ST,04/13/2019,2,0.0,0.0
776,55 ST,04/13/2019,2,1.0,5.0
818,59 ST COLUMBUS,04/13/2019,2,1086.0,2066.0
860,7 AV,04/13/2019,2,372.0,1002.0
902,71 ST,04/13/2019,2,0.0,1.0
944,79 ST,04/13/2019,2,0.0,0.0
986,9 AV,04/13/2019,2,1.0,0.0
1028,ATL AV-BARCLAY,04/13/2019,2,980.0,1088.0
1070,B'WAY-LAFAYETTE,04/13/2019,2,196.0,1233.0
1112,BAY 50 ST,04/13/2019,2,0.0,0.0
1154,BAY PKWY,04/13/2019,2,0.0,2.0
1196,BEDFORD PK BLVD,04/13/2019,2,940.0,259.0
1238,BLEECKER ST,04/13/2019,2,291.0,228.0
1280,CONEY IS-STILLW,04/13/2019,2,1470.0,966.0
1322,DEKALB AV,04/13/2019,2,615.0,378.0
1364,FORDHAM RD,04/13/2019,2,1018.0,262.0
1406,FT HAMILTON PKY,04/13/2019,2,0.0,11.0
1448,GRAND ST,04/13/2019,2,461.0,715.0
1490,KINGSBRIDGE RD,04/13/2019,2,1256.0,369.0
1532,NEW UTRECHT AV,04/13/2019,2,1154.0,90.0
1574,NORWOOD 205 ST,04/13/2019,2,1366.0,326.0
1616,TREMONT AV,04/13/2019,2,1540.0,374.0
1658,W 4 ST-WASH SQ,04/13/2019,2,1047.0,2096.0
3,125 ST,04/13/2019,3,4326.0,3725.0
45,145 ST,04/13/2019,3,4643.0,2270.0
63,155 ST,04/13/2019,3,616.0,220.0
105,161/YANKEE STAD,04/13/2019,3,2793.0,3933.0
147,167 ST,04/13/2019,3,1755.0,364.0
189,170 ST,04/13/2019,3,1196.0,414.0
231,174-175 STS,04/13/2019,3,884.0,246.0
273,18 AV,04/13/2019,3,0.0,0.0
315,182-183 STS,04/13/2019,3,222.0,218.0
357,20 AV,04/13/2019,3,0.0,0.0
399,25 AV,04/13/2019,3,0.0,0.0
441,34 ST-HERALD SQ,04/13/2019,3,8878.0,14321.0
483,36 ST,04/13/2019,3,5554.0,1554.0
