,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST-UNION SQ,04/13/2019,0,,
42,30 AV,04/13/2019,0,,
84,34 ST-HERALD SQ,04/13/2019,0,,
126,36 AV,04/13/2019,0,,
165,39 AV,04/13/2019,0,,
207,42 ST-PORT AUTH,04/13/2019,0,,
249,49 ST,04/13/2019,0,,
291,5 AV/59 ST,04/13/2019,0,,
333,57 ST-7 AV,04/13/2019,0,,
375,59 ST,04/13/2019,0,,
417,7 AV,04/13/2019,0,,
459,72 ST-2 AVE,04/13/2019,0,,
501,86 ST-2 AVE,04/13/2019,0,,
543,96 ST-2 AVE,04/13/2019,0,,
585,ASTORIA DITMARS,04/13/2019,0,,
627,ATL AV-BARCLAY,04/13/2019,0,,
669,AVENUE H,04/13/2019,0,,
711,AVENUE J,04/13/2019,0,,
753,AVENUE M,04/13/2019,0,,
795,AVENUE U,04/13/2019,0,,
837,B'WAY-LAFAYETTE,04/13/2019,0,,
879,BEVERLEY ROAD,04/13/2019,0,,
921,BRIGHTON BEACH,04/13/2019,0,,
963,BROADWAY,04/13/2019,0,,
1005,CANAL ST,04/13/2019,0,,
1047,CHURCH AV,04/13/2019,0,,
1089,CONEY IS-STILLW,04/13/2019,0,,
1131,CORTELYOU RD,04/13/2019,0,,
1173,DEKALB AV,04/13/2019,0,,
1215,KINGS HWY,04/13/2019,0,,
1257,NECK RD,04/13/2019,0,,
1299,NEWKIRK PLAZA,04/13/2019,0,,
1341,OCEAN PKWY,04/13/2019,0,,
1377,PARKSIDE AV,04/13/2019,0,,
1419,PROSPECT PARK,04/13/2019,0,,
1461,QUEENSBORO PLZ,04/13/2019,0,,
1503,SHEEPSHEAD BAY,04/13/2019,0,,
1545,TIMES SQ-42 ST,04/13/2019,0,,
1587,W 8 ST-AQUARIUM,04/13/2019,0,,
1,14 ST-UNION SQ,04/13/2019,1,1895.0,902.0
43,30 AV,04/13/2019,1,182.0,738.0
85,34 ST-HERALD SQ,04/13/2019,1,2581.0,1677.0
127,36 AV,04/13/2019,1,89.0,297.0
166,39 AV,04/13/2019,1,34.0,78.0
208,42 ST-PORT AUTH,04/13/2019,1,1378.0,1437.0
250,49 ST,04/13/2019,1,1247.0,380.0
292,5 AV/59 ST,04/13/2019,1,59.0,60.0
334,57 ST-7 AV,04/13/2019,1,1414.0,355.0
376,59 ST,04/13/2019,1,1043.0,465.0
418,7 AV,04/13/2019,1,58.0,194.0
460,72 ST-2 AVE,04/13/2019,1,103.0,188.0
502,86 ST-2 AVE,04/13/2019,1,150.0,282.0
544,96 ST-2 AVE,04/13/2019,1,122.0,353.0
586,ASTORIA DITMARS,04/13/2019,1,167.0,882.0
628,ATL AV-BARCLAY,04/13/2019,1,1665.0,1116.0
670,AVENUE H,04/13/2019,1,14.0,131.0
712,AVENUE J,04/13/2019,1,27.0,89.0
754,AVENUE M,04/13/2019,1,18.0,43.0
796,AVENUE U,04/13/2019,1,61.0,65.0
838,B'WAY-LAFAYETTE,04/13/2019,1,326.0,249.0
880,BEVERLEY ROAD,04/13/2019,1,32.0,248.0
922,BRIGHTON BEACH,04/13/2019,1,52.0,181.0
964,BROADWAY,04/13/2019,1,99.0,497.0
1006,CANAL ST,04/13/2019,1,493.0,293.0
1048,CHURCH AV,04/13/2019,1,141.0,960.0
1090,CONEY IS-STILLW,04/13/2019,1,200.0,340.0
1132,CORTELYOU RD,04/13/2019,1,50.0,92.0
1174,DEKALB AV,04/13/2019,1,335.0,369.0
1216,KINGS HWY,04/13/2019,1,95.0,508.0
1258,NECK RD,04/13/2019,1,22.0,57.0
