,STATION,DATE,TIME,ENTRIES,EXITS
0,42 ST-PORT AUTH,04/13/2019,0,,
42,BEACH 105 ST,04/13/2019,0,,
84,BEACH 90 ST,04/13/2019,0,,
126,BEACH 98 ST,04/13/2019,0,,
168,BOTANIC GARDEN,04/13/2019,0,,
209,BROAD CHANNEL,04/13/2019,0,,
251,FRANKLIN AV,04/13/2019,0,,
293,GRD CNTRL-42 ST,04/13/2019,0,,
335,PARK PLACE,04/13/2019,0,,
377,PROSPECT PARK,04/13/2019,0,,
419,ROCKAWAY PARK B,04/13/2019,0,,
461,TIMES SQ-42 ST,04/13/2019,0,,
1,42 ST-PORT AUTH,04/13/2019,1,1674.0,1658.0
43,BEACH 105 ST,04/13/2019,1,5.0,16.0
85,BEACH 90 ST,04/13/2019,1,22.0,31.0
127,BEACH 98 ST,04/13/2019,1,12.0,18.0
169,BOTANIC GARDEN,04/13/2019,1,8.0,30.0
210,BROAD CHANNEL,04/13/2019,1,3.0,4.0
252,FRANKLIN AV,04/13/2019,1,217.0,520.0
294,GRD CNTRL-42 ST,04/13/2019,1,1731.0,950.0
336,PARK PLACE,04/13/2019,1,12.0,33.0
378,PROSPECT PARK,04/13/2019,1,113.0,482.0
420,ROCKAWAY PARK B,04/13/2019,1,9.0,28.0
462,TIMES SQ-42 ST,04/13/2019,1,4164.0,1416.0
2,42 ST-PORT AUTH,04/13/2019,2,4117.0,4522.0
44,BEACH 105 ST,04/13/2019,2,14.0,14.0
86,BEACH 90 ST,04/13/2019,2,82.0,39.0
128,BEACH 98 ST,04/13/2019,2,48.0,19.0
170,BOTANIC GARDEN,04/13/2019,2,52.0,115.0
211,BROAD CHANNEL,04/13/2019,2,34.0,3.0
253,FRANKLIN AV,04/13/2019,2,657.0,503.0
295,GRD CNTRL-42 ST,04/13/2019,2,2402.0,5017.0
337,PARK PLACE,04/13/2019,2,109.0,108.0
379,PROSPECT PARK,04/13/2019,2,521.0,185.0
421,ROCKAWAY PARK B,04/13/2019,2,67.0,57.0
463,TIMES SQ-42 ST,04/13/2019,2,1731.0,3196.0
3,42 ST-PORT AUTH,04/13/2019,3,11529.0,12380.0
45,BEACH 105 ST,04/13/2019,3,11.0,20.0
87,BEACH 90 ST,04/13/2019,3,100.0,86.0
129,BEACH 98 ST,04/13/2019,3,45.0,45.0
171,BOTANIC GARDEN,04/13/2019,3,213.0,418.0
212,BROAD CHANNEL,04/13/2019,3,29.0,10.0
254,FRANKLIN AV,04/13/2019,3,2705.0,1202.0
296,GRD CNTRL-42 ST,04/13/2019,3,13213.0,12020.0
338,PARK PLACE,04/13/2019,3,253.0,231.0
380,PROSPECT PARK,04/13/2019,3,2282.0,716.0
422,ROCKAWAY PARK B,04/13/2019,3,105.0,96.0
464,TIMES SQ-42 ST,04/13/2019,3,7501.0,12633.0
4,42 ST-PORT AUTH,04/13/2019,4,14519.0,14401.0
46,BEACH 105 ST,04/13/2019,4,19.0,13.0
88,BEACH 90 ST,04/13/2019,4,123.0,97.0
130,BEACH 98 ST,04/13/2019,4,58.0,38.0
172,BOTANIC GARDEN,04/13/2019,4,298.0,513.0
213,BROAD CHANNEL,04/13/2019,4,40.0,17.0
255,FRANKLIN AV,04/13/2019,4,4081.0,1696.0
