,STATION,DATE,TIME,ENTRIES,EXITS
0,116 ST,04/13/2019,0,0.0,0.0
42,125 ST,04/13/2019,0,0.0,0.0
84,135 ST,04/13/2019,0,0.0,0.0
90,14 ST,04/13/2019,0,0.0,0.0
132,149/GRAND CONC,04/13/2019,0,0.0,0.0
174,174 ST,04/13/2019,0,0.0,0.0
216,219 ST,04/13/2019,0,0.0,0.0
258,225 ST,04/13/2019,0,0.0,0.0
300,233 ST,04/13/2019,0,0.0,0.0
342,3 AV-149 ST,04/13/2019,0,0.0,0.0
384,34 ST-PENN STA,04/13/2019,0,0.0,0.0
426,42 ST-PORT AUTH,04/13/2019,0,0.0,0.0
468,6 AV,04/13/2019,0,0.0,0.0
510,72 ST,04/13/2019,0,0.0,0.0
552,96 ST,04/13/2019,0,0.0,0.0
594,ALLERTON AV,04/13/2019,0,0.0,0.0
636,ATL AV-BARCLAY,04/13/2019,0,0.0,0.0
678,BERGEN ST,04/13/2019,0,0.0,0.0
720,BEVERLY RD,04/13/2019,0,0.0,0.0
762,BOROUGH HALL,04/13/2019,0,0.0,0.0
804,BOTANIC GARDEN,04/13/2019,0,0.0,0.0
845,BRONX PARK EAST,04/13/2019,0,0.0,0.0
887,BURKE AV,04/13/2019,0,0.0,0.0
929,CENTRAL PK N110,04/13/2019,0,0.0,0.0
971,CHAMBERS ST,04/13/2019,0,0.0,0.0
1013,CHURCH AV,04/13/2019,0,0.0,0.0
1055,CLARK ST,04/13/2019,0,0.0,0.0
1097,E 180 ST,04/13/2019,0,0.0,0.0
1139,EASTN PKWY-MUSM,04/13/2019,0,0.0,0.0
1181,FLATBUSH AV-B.C,04/13/2019,0,0.0,0.0
1223,FRANKLIN AV,04/13/2019,0,0.0,0.0
1265,FREEMAN ST,04/13/2019,0,0.0,0.0
1307,FULTON ST,04/13/2019,0,0.0,0.0
1349,GRAND ARMY PLAZ,04/13/2019,0,0.0,0.0
1391,GUN HILL RD,04/13/2019,0,0.0,0.0
1433,HOYT ST,04/13/2019,0,0.0,0.0
1475,INTERVALE AV,04/13/2019,0,0.0,0.0
1517,JACKSON AV,04/13/2019,0,0.0,0.0
1559,NEREID AV,04/13/2019,0,0.0,0.0
1601,NEVINS ST,04/13/2019,0,0.0,0.0
1643,NEWKIRK AV,04/13/2019,0,0.0,0.0
1685,PARK PLACE,04/13/2019,0,0.0,0.0
1727,PELHAM PKWY,04/13/2019,0,0.0,0.0
1769,PRESIDENT ST,04/13/2019,0,0.0,0.0
1811,PROSPECT AV,04/13/2019,0,0.0,0.0
1853,SIMPSON ST,04/13/2019,0,0.0,0.0
1895,STERLING ST,04/13/2019,0,0.0,0.0
1937,TIMES SQ-42 ST,04/13/2019,0,0.0,0.0
1979,WAKEFIELD/241,04/13/2019,0,0.0,0.0
2021,WALL ST,04/13/2019,0,0.0,0.0
2063,WEST FARMS SQ,04/13/2019,0,0.0,0.0
2105,WINTHROP ST,04/13/2019,0,0.0,0.0
2147,WORLD TRADE CTR,04/13/2019,0,0.0,0.0
1,116 ST,04/13/2019,1,122.0,174.0
43,125 ST,04/13/2019,1,183.0,177.0
85,135 ST,04/13/2019,1,276.0,278.0
91,14 ST,04/13/2019,1,1244.0,690.0
133,149/GRAND CONC,04/13/2019,1,251.0,580.0
175,174 ST,04/13/2019,1,82.0,194.0
217,219 ST,04/13/2019,1,69.0,63.0
259,225 ST,04/13/2019,1,67.0,53.0
301,233 ST,04/13/2019,1,76.0,50.0
343,3 AV-149 ST,04/13/2019,1,164.0,222.0
385,34 ST-PENN STA,04/13/2019,1,1068.0,1161.0
427,42 ST-PORT AUTH,04/13/2019,1,1674.0,1658.0
469,6 AV,04/13/2019,1,8.0,65.0
511,72 ST,04/13/2019,1,255.0,307.0
553,96 ST,04/13/2019,1,298.0,766.0
595,ALLERTON AV,04/13/2019,1,90.0,62.0
637,ATL AV-BARCLAY,04/13/2019,1,1665.0,1116.0
679,BERGEN ST,04/13/2019,1,138.0,115.0
721,BEVERLY RD,04/13/2019,1,42.0,41.0
763,BOROUGH HALL,04/13/2019,1,366.0,240.0
805,BOTANIC GARDEN,04/13/2019,1,8.0,30.0
846,BRONX PARK EAST,04/13/2019,1,42.0,27.0
888,BURKE AV,04/13/2019,1,53.0,67.0
930,CENTRAL PK N110,04/13/2019,1,128.0,571.0
972,CHAMBERS ST,04/13/2019,1,852.0,490.0
1014,CHURCH AV,04/13/2019,1,130.0,65.0
1056,CLARK ST,04/13/2019,1,64.0,101.0
1098,E 180 ST,04/13/2019,1,114.0,267.0
1140,EASTN PKWY-MUSM,04/13/2019,1,33.0,138.0
1182,FLATBUSH AV-B.C,04/13/2019,1,177.0,309.0
1224,FRANKLIN AV,04/13/2019,1,107.0,381.0
1266,FREEMAN ST,04/13/2019,1,71.0,198.0
1308,FULTON ST,04/13/2019,1,513.0,815.0
1350,GRAND ARMY PLAZ,04/13/2019,1,65.0,64.0
1392,GUN HILL RD,04/13/2019,1,121.0,260.0
1434,HOYT ST,04/13/2019,1,87.0,108.0
1476,INTERVALE AV,04/13/2019,1,45.0,136.0
1518,JACKSON AV,04/13/2019,1,73.0,31.0
1560,NEREID AV,04/13/2019,1,40.0,35.0
1602,NEVINS ST,04/13/2019,1,222.0,171.0
1644,NEWKIRK AV,04/13/2019,1,118.0,202.0
1686,PARK PLACE,04/13/2019,1,39.0,35.0
1728,PELHAM PKWY,04/13/2019,1,118.0,118.0
1770,PRESIDENT ST,04/13/2019,1,31.0,254.0
1812,PROSPECT AV,04/13/2019,1,91.0,91.0
1854,SIMPSON ST,04/13/2019,1,31.0,80.0
1896,STERLING ST,04/13/2019,1,42.0,244.0
1938,TIMES SQ-42 ST,04/13/2019,1,4164.0,1416.0
1980,WAKEFIELD/241,04/13/2019,1,119.0,226.0
2022,WALL ST,04/13/2019,1,385.0,356.0
2064,WEST FARMS SQ,04/13/2019,1,110.0,186.0
2106,WINTHROP ST,04/13/2019,1,57.0,26.0
2148,WORLD TRADE CTR,04/13/2019,1,56.0,6.0
2,116 ST,04/13/2019,2,872.0,299.0
44,125 ST,04/13/2019,2,475.0,462.0
86,135 ST,04/13/2019,2,764.0,204.0
92,14 ST,04/13/2019,2,470.0,895.0
134,149/GRAND CONC,04/13/2019,2,766.0,502.0
176,174 ST,04/13/2019,2,588.0,250.0
218,219 ST,04/13/2019,2,469.0,87.0
260,225 ST,04/13/2019,2,589.0,62.0
302,233 ST,04/13/2019,2,670.0,103.0
344,3 AV-149 ST,04/13/2019,2,1402.0,309.0
386,34 ST-PENN STA,04/13/2019,2,4753.0,4747.0
428,42 ST-PORT AUTH,04/13/2019,2,4117.0,4522.0
