,STATION,DATE,TIME,ENTRIES,EXITS
0,104 ST,04/13/2019,0,1690711844,989486675
42,111 ST,04/13/2019,0,56774972,20518039
84,125 ST,04/13/2019,0,506894382,421257880
126,14 ST,04/13/2019,0,2396576530,1202538404
168,145 ST,04/13/2019,0,113373327,115361301
186,168 ST,04/13/2019,0,86612253,52019003
228,175 ST,04/13/2019,0,378255415,306922715
270,181 ST,04/13/2019,0,62682390,51848547
312,190 ST,04/13/2019,0,1453739229,1847474244
354,34 ST-PENN STA,04/13/2019,0,3627752725,3960134472
396,42 ST-PORT AUTH,04/13/2019,0,7609307635,6213530292
438,59 ST COLUMBUS,04/13/2019,0,3421271715,2996513172
480,8 AV,04/13/2019,0,187885640,76706808
522,80 ST,04/13/2019,0,135118308,9311644
564,88 ST,04/13/2019,0,11690943,9843107
606,AQUEDUCT N.COND,04/13/2019,0,5843580,21513499
648,AQUEDUCT RACETR,04/13/2019,0,54547489,17274355
690,BEACH 105 ST,04/13/2019,0,118876284,1924895
732,BEACH 25 ST,04/13/2019,0,646787446,969615440
774,BEACH 36 ST,04/13/2019,0,4904885,4915467
816,BEACH 44 ST,04/13/2019,0,2358284,2086089
858,BEACH 60 ST,04/13/2019,0,128544750,11534152
900,BEACH 67 ST,04/13/2019,0,11870455,11280887
942,BEACH 90 ST,04/13/2019,0,6310497,6416720
984,BEACH 98 ST,04/13/2019,0,4926399,5301125
1026,BROAD CHANNEL,04/13/2019,0,1393745,205565
1068,BROADWAY JCT,04/13/2019,0,62012024,58262032
1110,CANAL ST,04/13/2019,0,961816284,603604467
1152,CHAMBERS ST,04/13/2019,0,1942788050,833321422
1194,DYCKMAN ST,04/13/2019,0,30969623,828294
1236,EUCLID AV,04/13/2019,0,26302773,12058740
1278,FAR ROCKAWAY,04/13/2019,0,844059150,172353993
1320,FRANKLIN AV,04/13/2019,0,84606857,42531020
1362,FULTON ST,04/13/2019,0,4204637100,4306783021
1404,GRANT AV,04/13/2019,0,1229650800,1778164157
1446,HIGH ST,04/13/2019,0,2751210359,3700065696
1488,HOWARD BCH JFK,04/13/2019,0,5652311,3080350
1530,HOYT-SCHER,04/13/2019,0,41596669,40615816
1572,INWOOD-207 ST,04/13/2019,0,299086867,32607794
1614,JAY ST-METROTEC,04/13/2019,0,327010803,51803185
1656,NOSTRAND AV,04/13/2019,0,13692583,25887921
1698,OZONE PK LEFFRT,04/13/2019,0,28870431,26649207
1740,PARK PLACE,04/13/2019,0,9420114,9239805
1782,ROCKAWAY BLVD,04/13/2019,0,271446223,13310726
1824,ROCKAWAY PARK B,04/13/2019,0,105887143,11767462
1866,TIMES SQ-42 ST,04/13/2019,0,5861981956,4576867762
1908,UTICA AV,04/13/2019,0,204670097,57278258
1950,W 4 ST-WASH SQ,04/13/2019,0,244541423,114969807
1992,WORLD TRADE CTR,04/13/2019,0,1596903910,1840503828
1,104 ST,04/13/2019,1,1690711854,989486698
43,111 ST,04/13/2019,1,56774998,20518062
85,125 ST,04/13/2019,1,506895005,421258912
127,14 ST,04/13/2019,1,2396577055,1202538615
169,145 ST,04/13/2019,1,113373653,115362741
187,168 ST,04/13/2019,1,86612518,52019272
229,175 ST,04/13/2019,1,378255570,306923019
271,181 ST,04/13/2019,1,62682441,51848821
313,190 ST,04/13/2019,1,1453739225,1847474202
355,34 ST-PENN STA,04/13/2019,1,3627754798,3960136233
397,42 ST-PORT AUTH,04/13/2019,1,7609309309,6213531950
439,59 ST COLUMBUS,04/13/2019,1,3421273637,2996513903
481,8 AV,04/13/2019,1,187886501,76707028
523,80 ST,04/13/2019,1,135118374,9311775
565,88 ST,04/13/2019,1,11690984,9843147
607,AQUEDUCT N.COND,04/13/2019,1,5843619,21513558
649,AQUEDUCT RACETR,04/13/2019,1,54547666,17274368
691,BEACH 105 ST,04/13/2019,1,118876289,1924911
733,BEACH 25 ST,04/13/2019,1,646787470,969615585
775,BEACH 36 ST,04/13/2019,1,4904900,4915562
817,BEACH 44 ST,04/13/2019,1,2358303,2086152
859,BEACH 60 ST,04/13/2019,1,128544797,11534300
901,BEACH 67 ST,04/13/2019,1,11870489,11281015
943,BEACH 90 ST,04/13/2019,1,6310519,6416751
985,BEACH 98 ST,04/13/2019,1,4926411,5301143
1027,BROAD CHANNEL,04/13/2019,1,1393748,205569
1069,BROADWAY JCT,04/13/2019,1,62012276,58262833
1111,CANAL ST,04/13/2019,1,961816840,603604699
1153,CHAMBERS ST,04/13/2019,1,1942788558,833321556
1195,DYCKMAN ST,04/13/2019,1,30969700,828310
1237,EUCLID AV,04/13/2019,1,26302906,12059017
1279,FAR ROCKAWAY,04/13/2019,1,844059234,172354257
1321,FRANKLIN AV,04/13/2019,1,84606967,42531159
1363,FULTON ST,04/13/2019,1,4204637613,4306783836
1405,GRANT AV,04/13/2019,1,1229650866,1778164510
1447,HIGH ST,04/13/2019,1,2751210559,3700065805
1489,HOWARD BCH JFK,04/13/2019,1,5652492,3080547
1531,HOYT-SCHER,04/13/2019,1,41596947,40616101
1573,INWOOD-207 ST,04/13/2019,1,299086987,32607982
1615,JAY ST-METROTEC,04/13/2019,1,327011321,51803555
1657,NOSTRAND AV,04/13/2019,1,34776085,34246289
1699,OZONE PK LEFFRT,04/13/2019,1,28870521,26649418
1741,PARK PLACE,04/13/2019,1,9420153,9239840
1783,ROCKAWAY BLVD,04/13/2019,1,271446328,13310796
1825,ROCKAWAY PARK B,04/13/2019,1,105887152,11767490
1867,TIMES SQ-42 ST,04/13/2019,1,5861986120,4576869178
1909,UTICA AV,04/13/2019,1,204670335,57278911
1951,W 4 ST-WASH SQ,04/13/2019,1,244543090,114970389
1993,WORLD TRADE CTR,04/13/2019,1,1596903966,1840503834
2,104 ST,04/13/2019,2,1690712006,989486708
44,111 ST,04/13/2019,2,56775399,20518089
86,125 ST,04/13/2019,2,506896140,421259938
128,14 ST,04/13/2019,2,2396577520,1202539400
170,145 ST,04/13/2019,2,113375031,115363375
188,168 ST,04/13/2019,2,101461437,93168608
230,175 ST,04/13/2019,2,378256366,306923221
272,181 ST,04/13/2019,2,62683428,51849053
314,190 ST,04/13/2019,2,1453739239,1847474190
356,34 ST-PENN STA,04/13/2019,2,3627760827,3960142252
398,42 ST-PORT AUTH,04/13/2019,2,7609313426,6213536472
440,59 ST COLUMBUS,04/13/2019,2,3421274723,2996515969
482,8 AV,04/13/2019,2,187887073,76707916
524,80 ST,04/13/2019,2,135119024,9311864
566,88 ST,04/13/2019,2,11691466,9843193
608,AQUEDUCT N.COND,04/13/2019,2,5843697,21513613
650,AQUEDUCT RACETR,04/13/2019,2,54547842,17274377
692,BEACH 105 ST,04/13/2019,2,118876303,1924925
734,BEACH 25 ST,04/13/2019,2,646787658,969615653
776,BEACH 36 ST,04/13/2019,2,4905008,4915596
818,BEACH 44 ST,04/13/2019,2,2358372,2086196
860,BEACH 60 ST,04/13/2019,2,128545022,11534349
902,BEACH 67 ST,04/13/2019,2,11870727,11281081
944,BEACH 90 ST,04/13/2019,2,6310601,6416790
986,BEACH 98 ST,04/13/2019,2,4926459,5301162
1028,BROAD CHANNEL,04/13/2019,2,1393782,205572
