,STATION,DATE,TIME,ENTRIES,EXITS
0,103 ST,04/13/2019,0,0.0,0.0
42,116 ST,04/13/2019,0,0.0,0.0
84,125 ST,04/13/2019,0,0.0,0.0
126,135 ST,04/13/2019,0,0.0,0.0
168,145 ST,04/13/2019,0,0.0,0.0
186,155 ST,04/13/2019,0,0.0,0.0
228,161/YANKEE STAD,04/13/2019,0,0.0,0.0
270,167 ST,04/13/2019,0,0.0,0.0
312,170 ST,04/13/2019,0,0.0,0.0
354,174-175 STS,04/13/2019,0,0.0,0.0
396,182-183 STS,04/13/2019,0,0.0,0.0
438,34 ST-HERALD SQ,04/13/2019,0,0.0,0.0
480,42 ST-BRYANT PK,04/13/2019,0,0.0,0.0
522,47-50 STS ROCK,04/13/2019,0,0.0,0.0
564,5 AVE,04/13/2019,0,0.0,0.0
606,59 ST COLUMBUS,04/13/2019,0,0.0,0.0
648,7 AV,04/13/2019,0,0.0,0.0
690,72 ST,04/13/2019,0,0.0,0.0
732,81 ST-MUSEUM,04/13/2019,0,0.0,0.0
774,86 ST,04/13/2019,0,0.0,0.0
816,96 ST,04/13/2019,0,0.0,0.0
858,ATL AV-BARCLAY,04/13/2019,0,0.0,0.0
900,AVENUE H,04/13/2019,0,0.0,0.0
942,AVENUE J,04/13/2019,0,0.0,0.0
984,AVENUE M,04/13/2019,0,0.0,0.0
1026,AVENUE U,04/13/2019,0,0.0,0.0
1068,B'WAY-LAFAYETTE,04/13/2019,0,0.0,0.0
1110,BEDFORD PK BLVD,04/13/2019,0,0.0,0.0
1152,BEVERLEY ROAD,04/13/2019,0,0.0,0.0
1194,BRIGHTON BEACH,04/13/2019,0,0.0,0.0
1236,CATHEDRAL PKWY,04/13/2019,0,0.0,0.0
1278,CHURCH AV,04/13/2019,0,0.0,0.0
1320,CORTELYOU RD,04/13/2019,0,0.0,0.0
1362,DEKALB AV,04/13/2019,0,0.0,0.0
1404,FORDHAM RD,04/13/2019,0,0.0,0.0
1446,GRAND ST,04/13/2019,0,0.0,0.0
1488,KINGS HWY,04/13/2019,0,0.0,0.0
1530,KINGSBRIDGE RD,04/13/2019,0,0.0,0.0
1572,NECK RD,04/13/2019,0,0.0,0.0
1614,NEWKIRK PLAZA,04/13/2019,0,0.0,0.0
1656,PARKSIDE AV,04/13/2019,0,0.0,0.0
1698,PROSPECT PARK,04/13/2019,0,0.0,0.0
1740,SHEEPSHEAD BAY,04/13/2019,0,0.0,0.0
1782,TREMONT AV,04/13/2019,0,0.0,0.0
1824,W 4 ST-WASH SQ,04/13/2019,0,0.0,0.0
1,103 ST,04/13/2019,1,54.0,93.0
43,116 ST,04/13/2019,1,59.0,124.0
85,125 ST,04/13/2019,1,623.0,1032.0
127,135 ST,04/13/2019,1,22.0,86.0
169,145 ST,04/13/2019,1,326.0,1440.0
187,155 ST,04/13/2019,1,45.0,80.0
229,161/YANKEE STAD,04/13/2019,1,302.0,441.0
271,167 ST,04/13/2019,1,89.0,217.0
313,170 ST,04/13/2019,1,100.0,121.0
355,174-175 STS,04/13/2019,1,71.0,173.0
397,182-183 STS,04/13/2019,1,15.0,141.0
439,34 ST-HERALD SQ,04/13/2019,1,2581.0,1677.0
481,42 ST-BRYANT PK,04/13/2019,1,838.0,350.0
523,47-50 STS ROCK,04/13/2019,1,1127.0,293.0
565,5 AVE,04/13/2019,1,242.0,56.0
607,59 ST COLUMBUS,04/13/2019,1,1922.0,731.0
649,7 AV,04/13/2019,1,242.0,376.0
691,72 ST,04/13/2019,1,81.0,122.0
733,81 ST-MUSEUM,04/13/2019,1,46.0,59.0
775,86 ST,04/13/2019,1,93.0,120.0
817,96 ST,04/13/2019,1,53.0,122.0
859,ATL AV-BARCLAY,04/13/2019,1,1665.0,1116.0
901,AVENUE H,04/13/2019,1,14.0,131.0
943,AVENUE J,04/13/2019,1,27.0,89.0
985,AVENUE M,04/13/2019,1,18.0,43.0
1027,AVENUE U,04/13/2019,1,61.0,65.0
1069,B'WAY-LAFAYETTE,04/13/2019,1,326.0,249.0
1111,BEDFORD PK BLVD,04/13/2019,1,103.0,193.0
1153,BEVERLEY ROAD,04/13/2019,1,32.0,248.0
1195,BRIGHTON BEACH,04/13/2019,1,52.0,181.0
1237,CATHEDRAL PKWY,04/13/2019,1,64.0,81.0
1279,CHURCH AV,04/13/2019,1,141.0,960.0
1321,CORTELYOU RD,04/13/2019,1,50.0,92.0
1363,DEKALB AV,04/13/2019,1,335.0,369.0
1405,FORDHAM RD,04/13/2019,1,129.0,405.0
1447,GRAND ST,04/13/2019,1,581.0,367.0
1489,KINGS HWY,04/13/2019,1,95.0,508.0
1531,KINGSBRIDGE RD,04/13/2019,1,115.0,362.0
1573,NECK RD,04/13/2019,1,22.0,57.0
1615,NEWKIRK PLAZA,04/13/2019,1,71.0,313.0
1657,PARKSIDE AV,04/13/2019,1,73.0,240.0
1699,PROSPECT PARK,04/13/2019,1,113.0,482.0
1741,SHEEPSHEAD BAY,04/13/2019,1,97.0,214.0
1783,TREMONT AV,04/13/2019,1,168.0,250.0
1825,W 4 ST-WASH SQ,04/13/2019,1,1667.0,582.0
2,103 ST,04/13/2019,2,291.0,183.0
44,116 ST,04/13/2019,2,358.0,277.0
86,125 ST,04/13/2019,2,1135.0,1026.0
128,135 ST,04/13/2019,2,63.0,80.0
170,145 ST,04/13/2019,2,1378.0,634.0
188,155 ST,04/13/2019,2,440.0,115.0
230,161/YANKEE STAD,04/13/2019,2,1541.0,500.0
272,167 ST,04/13/2019,2,987.0,147.0
314,170 ST,04/13/2019,2,1070.0,210.0
356,174-175 STS,04/13/2019,2,436.0,121.0
398,182-183 STS,04/13/2019,2,159.0,94.0
440,34 ST-HERALD SQ,04/13/2019,2,1905.0,3488.0
482,42 ST-BRYANT PK,04/13/2019,2,308.0,769.0
524,47-50 STS ROCK,04/13/2019,2,466.0,1198.0
566,5 AVE,04/13/2019,2,91.0,401.0
608,59 ST COLUMBUS,04/13/2019,2,1086.0,2066.0
650,7 AV,04/13/2019,2,785.0,1325.0
692,72 ST,04/13/2019,2,54.0,208.0
734,81 ST-MUSEUM,04/13/2019,2,28695.0,31054.0
776,86 ST,04/13/2019,2,94.0,362.0
818,96 ST,04/13/2019,2,113.0,351.0
860,ATL AV-BARCLAY,04/13/2019,2,980.0,1088.0
902,AVENUE H,04/13/2019,2,115.0,66.0
944,AVENUE J,04/13/2019,2,303.0,61.0
986,AVENUE M,04/13/2019,2,244.0,32.0
1028,AVENUE U,04/13/2019,2,1036.0,139.0
1070,B'WAY-LAFAYETTE,04/13/2019,2,196.0,1233.0
1112,BEDFORD PK BLVD,04/13/2019,2,940.0,259.0
1154,BEVERLEY ROAD,04/13/2019,2,119.0,78.0
1196,BRIGHTON BEACH,04/13/2019,2,735.0,190.0
1238,CATHEDRAL PKWY,04/13/2019,2,28132.0,20363.0
1280,CHURCH AV,04/13/2019,2,1431.0,389.0
1322,CORTELYOU RD,04/13/2019,2,338.0,50.0
1364,DEKALB AV,04/13/2019,2,615.0,378.0
1406,FORDHAM RD,04/13/2019,2,1018.0,262.0
1448,GRAND ST,04/13/2019,2,461.0,715.0
1490,KINGS HWY,04/13/2019,2,1007.0,410.0
1532,KINGSBRIDGE RD,04/13/2019,2,1256.0,369.0
1574,NECK RD,04/13/2019,2,384.0,22.0
1616,NEWKIRK PLAZA,04/13/2019,2,1449.0,436.0
1658,PARKSIDE AV,04/13/2019,2,331.0,207.0
1700,PROSPECT PARK,04/13/2019,2,521.0,185.0
1742,SHEEPSHEAD BAY,04/13/2019,2,1195.0,507.0
1784,TREMONT AV,04/13/2019,2,1540.0,374.0
1826,W 4 ST-WASH SQ,04/13/2019,2,1047.0,2096.0
3,103 ST,04/13/2019,3,848.0,361.0
45,116 ST,04/13/2019,3,1025.0,556.0
87,125 ST,04/13/2019,3,4326.0,3725.0
129,135 ST,04/13/2019,3,231.0,273.0
171,145 ST,04/13/2019,3,4643.0,2270.0
189,155 ST,04/13/2019,3,616.0,220.0
231,161/YANKEE STAD,04/13/2019,3,2793.0,3933.0
273,167 ST,04/13/2019,3,1755.0,364.0
315,170 ST,04/13/2019,3,1196.0,414.0
357,174-175 STS,04/13/2019,3,884.0,246.0
399,182-183 STS,04/13/2019,3,222.0,218.0
441,34 ST-HERALD SQ,04/13/2019,3,8878.0,14321.0
483,42 ST-BRYANT PK,04/13/2019,3,1760.0,2743.0
525,47-50 STS ROCK,04/13/2019,3,1991.0,4077.0
567,5 AVE,04/13/2019,3,453.0,1198.0
609,59 ST COLUMBUS,04/13/2019,3,6375.0,10607.0
651,7 AV,04/13/2019,3,3586.0,3463.0
693,72 ST,04/13/2019,3,811.0,1089.0
735,81 ST-MUSEUM,04/13/2019,3,27000.0,27361.0
777,86 ST,04/13/2019,3,749.0,981.0
819,96 ST,04/13/2019,3,832.0,756.0
861,ATL AV-BARCLAY,04/13/2019,3,3692.0,4461.0
903,AVENUE H,04/13/2019,3,327.0,213.0
945,AVENUE J,04/13/2019,3,838.0,140.0
987,AVENUE M,04/13/2019,3,627.0,85.0
1029,AVENUE U,04/13/2019,3,1476.0,413.0
1071,B'WAY-LAFAYETTE,04/13/2019,3,1333.0,5121.0
1113,BEDFORD PK BLVD,04/13/2019,3,1014.0,586.0
1155,BEVERLEY ROAD,04/13/2019,3,338.0,220.0
1197,BRIGHTON BEACH,04/13/2019,3,1697.0,801.0
1239,CATHEDRAL PKWY,04/13/2019,3,26441.0,19681.0
1281,CHURCH AV,04/13/2019,3,3387.0,1605.0
1323,CORTELYOU RD,04/13/2019,3,845.0,149.0
1365,DEKALB AV,04/13/2019,3,2628.0,1321.0
1407,FORDHAM RD,04/13/2019,3,1746.0,749.0
1449,GRAND ST,04/13/2019,3,2436.0,4005.0
1491,KINGS HWY,04/13/2019,3,2847.0,1507.0
1533,KINGSBRIDGE RD,04/13/2019,3,1271.0,545.0
1575,NECK RD,04/13/2019,3,980.0,97.0
1617,NEWKIRK PLAZA,04/13/2019,3,2448.0,923.0
1659,PARKSIDE AV,04/13/2019,3,591.0,487.0
1701,PROSPECT PARK,04/13/2019,3,2282.0,716.0
1743,SHEEPSHEAD BAY,04/13/2019,3,1910.0,1227.0
1785,TREMONT AV,04/13/2019,3,1445.0,561.0
1827,W 4 ST-WASH SQ,04/13/2019,3,4284.0,8065.0
4,103 ST,04/13/2019,4,813.0,506.0
46,116 ST,04/13/2019,4,1288.0,797.0
88,125 ST,04/13/2019,4,6441.0,5013.0
130,135 ST,04/13/2019,4,270.0,334.0
172,145 ST,04/13/2019,4,5289.0,3509.0
190,155 ST,04/13/2019,4,653.0,409.0
232,161/YANKEE STAD,04/13/2019,4,14060.0,7059.0
274,167 ST,04/13/2019,4,1681.0,578.0
316,170 ST,04/13/2019,4,1281.0,686.0
358,174-175 STS,04/13/2019,4,808.0,391.0
400,182-183 STS,04/13/2019,4,211.0,301.0
442,34 ST-HERALD SQ,04/13/2019,4,18218.0,20614.0
484,42 ST-BRYANT PK,04/13/2019,4,3863.0,4153.0
526,47-50 STS ROCK,04/13/2019,4,4380.0,5434.0
568,5 AVE,04/13/2019,4,1632.0,1690.0
610,59 ST COLUMBUS,04/13/2019,4,13675.0,14811.0
652,7 AV,04/13/2019,4,4266.0,5083.0
694,72 ST,04/13/2019,4,2316.0,2099.0
736,81 ST-MUSEUM,04/13/2019,4,36067.0,35541.0
