,STATION,DATE,TIME,ENTRIES,EXITS
0,125 ST,04/13/2019,0,506894382,421257880
42,145 ST,04/13/2019,0,113373327,115361301
60,155 ST,04/13/2019,0,21812256,14206385
102,161/YANKEE STAD,04/13/2019,0,2027548298,1330695700
144,167 ST,04/13/2019,0,1808313298,872068543
186,170 ST,04/13/2019,0,1288104293,1413650330
228,174-175 STS,04/13/2019,0,17529400,8115884
270,18 AV,04/13/2019,0,20989818,13177088
312,182-183 STS,04/13/2019,0,1490782827,1852428740
354,20 AV,04/13/2019,0,12779033,6633610
396,25 AV,04/13/2019,0,9424853,2653872
438,34 ST-HERALD SQ,04/13/2019,0,4612168464,5769036346
480,36 ST,04/13/2019,0,48833096,29683572
522,4 AV-9 ST,04/13/2019,0,27346019,28215403
564,42 ST-BRYANT PK,04/13/2019,0,1943132875,1411650720
606,47-50 STS ROCK,04/13/2019,0,2261942378,2260293778
648,4AV-9 ST,04/13/2019,0,34245006,19371111
690,5 AVE,04/13/2019,0,1132529690,510867396
732,50 ST,04/13/2019,0,12234088,11820898
774,55 ST,04/13/2019,0,12551422,9095484
816,59 ST COLUMBUS,04/13/2019,0,3421271715,2996513172
858,7 AV,04/13/2019,0,1874293213,824372337
900,71 ST,04/13/2019,0,26492328,15455784
942,79 ST,04/13/2019,0,97849016,131825770
984,9 AV,04/13/2019,0,29397476,28528998
1026,ATL AV-BARCLAY,04/13/2019,0,921731670,277687481
1068,B'WAY-LAFAYETTE,04/13/2019,0,1987161114,1615017924
1110,BAY 50 ST,04/13/2019,0,12448609,8884717
1152,BAY PKWY,04/13/2019,0,289958070,38082799
1194,BEDFORD PK BLVD,04/13/2019,0,11230908,6981873
1236,BLEECKER ST,04/13/2019,0,33245489,12240866
1278,CONEY IS-STILLW,04/13/2019,0,659056533,334924003
1320,DEKALB AV,04/13/2019,0,1463180610,1172851184
1362,FORDHAM RD,04/13/2019,0,27231089,11171132
1404,FT HAMILTON PKY,04/13/2019,0,8003972,7159607
1446,GRAND ST,04/13/2019,0,305657740,1465242117
1488,KINGSBRIDGE RD,04/13/2019,0,730187608,722983529
1530,NEW UTRECHT AV,04/13/2019,0,5622213,3477852
1572,NORWOOD 205 ST,04/13/2019,0,496316176,291876370
1614,TREMONT AV,04/13/2019,0,235329985,181081926
1656,W 4 ST-WASH SQ,04/13/2019,0,244541423,114969807
1,125 ST,04/13/2019,1,506895005,421258912
43,145 ST,04/13/2019,1,113373653,115362741
61,155 ST,04/13/2019,1,21812301,14206465
103,161/YANKEE STAD,04/13/2019,1,2027548600,1330696141
145,167 ST,04/13/2019,1,1808313387,872068760
187,170 ST,04/13/2019,1,1288104393,1413650451
229,174-175 STS,04/13/2019,1,17529471,8116057
271,18 AV,04/13/2019,1,20989818,13177089
313,182-183 STS,04/13/2019,1,1490782842,1852428881
355,20 AV,04/13/2019,1,12779034,6633612
397,25 AV,04/13/2019,1,9424853,2653872
439,34 ST-HERALD SQ,04/13/2019,1,4612171045,5769038023
481,36 ST,04/13/2019,1,48833405,29684223
523,4 AV-9 ST,04/13/2019,1,27346081,28215556
565,42 ST-BRYANT PK,04/13/2019,1,1943133713,1411651070
607,47-50 STS ROCK,04/13/2019,1,2261943505,2260294071
649,4AV-9 ST,04/13/2019,1,34245135,19371289
691,5 AVE,04/13/2019,1,1132529932,510867452
733,50 ST,04/13/2019,1,12234088,11820898
775,55 ST,04/13/2019,1,12551423,9095486
817,59 ST COLUMBUS,04/13/2019,1,3421273637,2996513903
859,7 AV,04/13/2019,1,1874293397,824372519
901,71 ST,04/13/2019,1,26492328,15455784
943,79 ST,04/13/2019,1,97849018,131825771
985,9 AV,04/13/2019,1,29397476,28528999
1027,ATL AV-BARCLAY,04/13/2019,1,921733335,277688597
1069,B'WAY-LAFAYETTE,04/13/2019,1,1987161440,1615018173
