,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST,04/13/2019,0,2396576530,1202538404
42,23 ST,04/13/2019,0,314636896,1411044887
84,34 ST-PENN STA,04/13/2019,0,3627752725,3960134472
126,42 ST-PORT AUTH,04/13/2019,0,7609307635,6213530292
168,5 AV/53 ST,04/13/2019,0,101788676,113619542
210,50 ST,04/13/2019,0,76867779,39391636
252,7 AV,04/13/2019,0,1874293213,824372337
294,74 ST-BROADWAY,04/13/2019,0,15310039,15415478
336,75 AV,04/13/2019,0,476593195,977222999
378,8 AV,04/13/2019,0,187885640,76706808
420,BRIARWOOD,04/13/2019,0,21879370,11201867
462,CANAL ST,04/13/2019,0,961816284,603604467
504,CHAMBERS ST,04/13/2019,0,1942788050,833321422
546,COURT SQ,04/13/2019,0,2693279970,1259502075
588,COURT SQ-23 ST,04/13/2019,0,3433898,1083856
630,FOREST HILLS 71,04/13/2019,0,354474330,72226658
672,JAMAICA CENTER,04/13/2019,0,1341858028,93991630
714,JAMAICA VAN WK,04/13/2019,0,19265180,18425323
756,JFK JAMAICA CT1,04/13/2019,0,1201458,1374204
798,JKSN HT-ROOSVLT,04/13/2019,0,156438466,116658390
840,KEW GARDENS,04/13/2019,0,110500347,95623059
882,LEXINGTON AV/53,04/13/2019,0,2696680896,3414364940
924,PARK PLACE,04/13/2019,0,9420114,9239805
966,QUEENS PLAZA,04/13/2019,0,96906718,46598492
1008,SPRING ST,04/13/2019,0,479339319,91267173
1050,SUTPHIN-ARCHER,04/13/2019,0,168590464,88330533
1092,TIMES SQ-42 ST,04/13/2019,0,5861981956,4576867762
1134,W 4 ST-WASH SQ,04/13/2019,0,244541423,114969807
1176,WORLD TRADE CTR,04/13/2019,0,1596903910,1840503828
1,14 ST,04/13/2019,1,2396577055,1202538615
43,23 ST,04/13/2019,1,314637290,1411045059
85,34 ST-PENN STA,04/13/2019,1,3627754798,3960136233
127,42 ST-PORT AUTH,04/13/2019,1,7609309309,6213531950
169,5 AV/53 ST,04/13/2019,1,101788772,113619719
211,50 ST,04/13/2019,1,76868344,39392003
253,7 AV,04/13/2019,1,1874293397,824372519
295,74 ST-BROADWAY,04/13/2019,1,15310126,15415688
337,75 AV,04/13/2019,1,476593225,977222991
379,8 AV,04/13/2019,1,187886501,76707028
421,BRIARWOOD,04/13/2019,1,21879403,11202009
463,CANAL ST,04/13/2019,1,961816840,603604699
505,CHAMBERS ST,04/13/2019,1,1942788558,833321556
547,COURT SQ,04/13/2019,1,2693280104,1259502370
589,COURT SQ-23 ST,04/13/2019,1,3433984,1083891
631,FOREST HILLS 71,04/13/2019,1,354474515,72226874
673,JAMAICA CENTER,04/13/2019,1,1341858390,93992761
715,JAMAICA VAN WK,04/13/2019,1,19265236,18425490
757,JFK JAMAICA CT1,04/13/2019,1,1201787,1374444
799,JKSN HT-ROOSVLT,04/13/2019,1,156439457,116660887
841,KEW GARDENS,04/13/2019,1,110500970,95623459
883,LEXINGTON AV/53,04/13/2019,1,2696681480,3414365293
925,PARK PLACE,04/13/2019,1,9420153,9239840
967,QUEENS PLAZA,04/13/2019,1,96906805,46598732
1009,SPRING ST,04/13/2019,1,479339545,91267216
1051,SUTPHIN-ARCHER,04/13/2019,1,168590994,88331187
1093,TIMES SQ-42 ST,04/13/2019,1,5861986120,4576869178
1135,W 4 ST-WASH SQ,04/13/2019,1,244543090,114970389
1177,WORLD TRADE CTR,04/13/2019,1,1596903966,1840503834
2,14 ST,04/13/2019,2,2396577520,1202539400
44,23 ST,04/13/2019,2,314637488,1411045286
86,34 ST-PENN STA,04/13/2019,2,3627760827,3960142252
128,42 ST-PORT AUTH,04/13/2019,2,7609313426,6213536472
170,5 AV/53 ST,04/13/2019,2,101789042,113621021
212,50 ST,04/13/2019,2,76868634,39392541
254,7 AV,04/13/2019,2,1874293769,824373521
296,74 ST-BROADWAY,04/13/2019,2,15310290,15415838
338,75 AV,04/13/2019,2,476593336,977223011
380,8 AV,04/13/2019,2,187887073,76707916
422,BRIARWOOD,04/13/2019,2,21879718,11202085
464,CANAL ST,04/13/2019,2,961817080,603605123
506,CHAMBERS ST,04/13/2019,2,1942788834,833321931
548,COURT SQ,04/13/2019,2,2693280376,1259503193
590,COURT SQ-23 ST,04/13/2019,2,3434094,1083967
632,FOREST HILLS 71,04/13/2019,2,354476482,72227423
674,JAMAICA CENTER,04/13/2019,2,1341860933,93993576
716,JAMAICA VAN WK,04/13/2019,2,19266362,18426340
758,JFK JAMAICA CT1,04/13/2019,2,1529737,1959540
800,JKSN HT-ROOSVLT,04/13/2019,2,156443375,116662104
