,STATION,DATE,TIME,ENTRIES,EXITS
0,JAMAICA 179 ST,04/13/2019,0,0.0,0.0
1,169 ST,04/13/2019,0,0.0,0.0
2,PARSONS BLVD,04/13/2019,0,0.0,0.0
3,75 AV,04/13/2019,0,0.0,0.0
4,FOREST HILLS 71,04/13/2019,0,0.0,0.0
5,JKSN HT-ROOSVLT,04/13/2019,0,0.0,0.0
6,21 ST-QNSBRIDGE,04/13/2019,0,0.0,0.0
7,ROOSEVELT ISLND,04/13/2019,0,0.0,0.0
8,LEXINGTON AV/63,04/13/2019,0,0.0,0.0
9,57 ST,04/13/2019,0,0.0,0.0
10,47-50 STS ROCK,04/13/2019,0,0.0,0.0
11,42 ST-BRYANT PK,04/13/2019,0,0.0,0.0
12,34 ST-HERALD SQ,04/13/2019,0,0.0,0.0
13,23 ST,04/13/2019,0,0.0,0.0
14,14 ST,04/13/2019,0,0.0,0.0
15,W 4 ST-WASH SQ,04/13/2019,0,0.0,0.0
16,B'WAY-LAFAYETTE,04/13/2019,0,0.0,0.0
17,2 AV,04/13/2019,0,0.0,0.0
18,DELANCEY/ESSEX,04/13/2019,0,0.0,0.0
19,EAST BROADWAY,04/13/2019,0,0.0,0.0
20,YORK ST,04/13/2019,0,0.0,0.0
21,JAY ST-METROTEC,04/13/2019,0,0.0,0.0
22,BERGEN ST,04/13/2019,0,0.0,0.0
23,CARROLL ST,04/13/2019,0,0.0,0.0
24,SMITH-9 ST,04/13/2019,0,0.0,0.0
25,4 AV-9 ST,04/13/2019,0,0.0,0.0
26,7 AV,04/13/2019,0,0.0,0.0
27,15 ST-PROSPECT,04/13/2019,0,0.0,0.0
28,FT HAMILTON PKY,04/13/2019,0,0.0,0.0
29,CHURCH AV,04/13/2019,0,0.0,0.0
30,DITMAS AV,04/13/2019,0,0.0,0.0
31,18 AV,04/13/2019,0,0.0,0.0
32,AVENUE I,04/13/2019,0,0.0,0.0
33,BAY PKWY,04/13/2019,0,0.0,0.0
34,AVENUE N,04/13/2019,0,0.0,0.0
35,AVENUE P,04/13/2019,0,0.0,0.0
36,KINGS HWY,04/13/2019,0,0.0,0.0
37,AVENUE U,04/13/2019,0,0.0,0.0
38,AVENUE X,04/13/2019,0,0.0,0.0
39,NEPTUNE AV,04/13/2019,0,0.0,0.0
40,CONEY IS-STILLW,04/13/2019,0,0.0,0.0
41,JAMAICA 179 ST,04/13/2019,1,158.0,463.0
42,169 ST,04/13/2019,1,68.0,315.0
43,PARSONS BLVD,04/13/2019,1,65.0,428.0
44,75 AV,04/13/2019,1,30.0,8.0
45,FOREST HILLS 71,04/13/2019,1,185.0,216.0
46,JKSN HT-ROOSVLT,04/13/2019,1,991.0,2497.0
47,21 ST-QNSBRIDGE,04/13/2019,1,98.0,292.0
48,ROOSEVELT ISLND,04/13/2019,1,50.0,174.0
49,LEXINGTON AV/63,04/13/2019,1,287.0,329.0
50,57 ST,04/13/2019,1,0.0,14.0
51,47-50 STS ROCK,04/13/2019,1,1127.0,293.0
52,42 ST-BRYANT PK,04/13/2019,1,838.0,350.0
53,34 ST-HERALD SQ,04/13/2019,1,2581.0,1677.0
54,23 ST,04/13/2019,1,203.0,147.0
55,14 ST,04/13/2019,1,1244.0,690.0
56,W 4 ST-WASH SQ,04/13/2019,1,1667.0,582.0
57,B'WAY-LAFAYETTE,04/13/2019,1,326.0,249.0
58,2 AV,04/13/2019,1,828.0,241.0
59,DELANCEY/ESSEX,04/13/2019,1,979.0,264.0
60,EAST BROADWAY,04/13/2019,1,180.0,71.0
61,YORK ST,04/13/2019,1,31.0,25.0
62,JAY ST-METROTEC,04/13/2019,1,518.0,370.0
63,BERGEN ST,04/13/2019,1,110.0,67.0
64,CARROLL ST,04/13/2019,1,146.0,105.0
65,SMITH-9 ST,04/13/2019,1,70.0,124.0
66,4 AV-9 ST,04/13/2019,1,62.0,153.0
67,7 AV,04/13/2019,1,57.0,64.0
68,15 ST-PROSPECT,04/13/2019,1,37.0,73.0
69,FT HAMILTON PKY,04/13/2019,1,16.0,29.0
70,CHURCH AV,04/13/2019,1,70.0,371.0
71,DITMAS AV,04/13/2019,1,41.0,50.0
72,18 AV,04/13/2019,1,16.0,90.0
73,AVENUE I,04/13/2019,1,12.0,12.0
74,BAY PKWY,04/13/2019,1,6.0,3.0
75,AVENUE N,04/13/2019,1,16.0,16.0
76,AVENUE P,04/13/2019,1,21.0,30.0
77,KINGS HWY,04/13/2019,1,37.0,60.0
78,AVENUE U,04/13/2019,1,14.0,13.0
79,AVENUE X,04/13/2019,1,25.0,49.0
80,NEPTUNE AV,04/13/2019,1,4.0,4.0
81,CONEY IS-STILLW,04/13/2019,1,200.0,340.0
82,JAMAICA 179 ST,04/13/2019,2,1817.0,310.0
83,169 ST,04/13/2019,2,683.0,221.0
84,PARSONS BLVD,04/13/2019,2,691.0,252.0
85,75 AV,04/13/2019,2,111.0,20.0
86,FOREST HILLS 71,04/13/2019,2,1967.0,549.0
87,JKSN HT-ROOSVLT,04/13/2019,2,3918.0,1217.0
88,21 ST-QNSBRIDGE,04/13/2019,2,552.0,285.0
89,ROOSEVELT ISLND,04/13/2019,2,184.0,113.0
90,LEXINGTON AV/63,04/13/2019,2,257.0,757.0
91,57 ST,04/13/2019,2,3.0,11.0
92,47-50 STS ROCK,04/13/2019,2,466.0,1198.0
93,42 ST-BRYANT PK,04/13/2019,2,308.0,769.0
94,34 ST-HERALD SQ,04/13/2019,2,1905.0,3488.0
95,23 ST,04/13/2019,2,115.0,235.0
96,14 ST,04/13/2019,2,470.0,895.0
97,W 4 ST-WASH SQ,04/13/2019,2,1047.0,2096.0
98,B'WAY-LAFAYETTE,04/13/2019,2,196.0,1233.0
99,2 AV,04/13/2019,2,332.0,200.0
100,DELANCEY/ESSEX,04/13/2019,2,1073.0,744.0
101,EAST BROADWAY,04/13/2019,2,410.0,159.0
102,YORK ST,04/13/2019,2,227.0,136.0
103,JAY ST-METROTEC,04/13/2019,2,695.0,555.0
104,BERGEN ST,04/13/2019,2,376.0,313.0
105,CARROLL ST,04/13/2019,2,186.0,145.0
106,SMITH-9 ST,04/13/2019,2,189.0,269.0
107,4 AV-9 ST,04/13/2019,2,90.0,132.0
108,7 AV,04/13/2019,2,497.0,251.0
109,15 ST-PROSPECT,04/13/2019,2,211.0,80.0
110,FT HAMILTON PKY,04/13/2019,2,359.0,65.0
111,CHURCH AV,04/13/2019,2,766.0,187.0
112,DITMAS AV,04/13/2019,2,375.0,42.0
113,18 AV,04/13/2019,2,290.0,53.0
114,AVENUE I,04/13/2019,2,117.0,6.0
115,BAY PKWY,04/13/2019,2,179.0,29.0
116,AVENUE N,04/13/2019,2,322.0,26.0
117,AVENUE P,04/13/2019,2,188.0,14.0
118,KINGS HWY,04/13/2019,2,410.0,135.0
119,AVENUE U,04/13/2019,2,168.0,24.0
120,AVENUE X,04/13/2019,2,196.0,47.0
121,NEPTUNE AV,04/13/2019,2,107.0,19.0
122,CONEY IS-STILLW,04/13/2019,2,1470.0,966.0
123,JAMAICA 179 ST,04/13/2019,3,2658.0,649.0
124,169 ST,04/13/2019,3,1281.0,560.0
125,PARSONS BLVD,04/13/2019,3,1054.0,625.0
126,75 AV,04/13/2019,3,511.0,59.0
127,FOREST HILLS 71,04/13/2019,3,3844.0,1246.0
128,JKSN HT-ROOSVLT,04/13/2019,3,9316.0,3687.0
129,21 ST-QNSBRIDGE,04/13/2019,3,2660.0,568.0
130,ROOSEVELT ISLND,04/13/2019,3,1306.0,1945.0
131,LEXINGTON AV/63,04/13/2019,3,1634.0,2719.0
132,57 ST,04/13/2019,3,0.0,27.0
133,47-50 STS ROCK,04/13/2019,3,1991.0,4077.0
134,42 ST-BRYANT PK,04/13/2019,3,1760.0,2743.0
135,34 ST-HERALD SQ,04/13/2019,3,8878.0,14321.0
136,23 ST,04/13/2019,3,767.0,1120.0
137,14 ST,04/13/2019,3,2340.0,4008.0
138,W 4 ST-WASH SQ,04/13/2019,3,4284.0,8065.0
