,STATION,DATE,TIME,ENTRIES,EXITS
0,15 ST-PROSPECT,04/13/2019,0,0.0,0.0
42,21 ST,04/13/2019,0,0.0,0.0
84,4 AV-9 ST,04/13/2019,0,0.0,0.0
126,42 ST-PORT AUTH,04/13/2019,0,0.0,0.0
168,4AV-9 ST,04/13/2019,0,0.0,0.0
210,7 AV,04/13/2019,0,0.0,0.0
252,BEDFORD-NOSTRAN,04/13/2019,0,0.0,0.0
294,BERGEN ST,04/13/2019,0,0.0,0.0
336,BROADWAY,04/13/2019,0,0.0,0.0
378,CARROLL ST,04/13/2019,0,0.0,0.0
420,CHURCH AV,04/13/2019,0,0.0,0.0
462,CLASSON AV,04/13/2019,0,0.0,0.0
504,CLINTON-WASH AV,04/13/2019,0,0.0,0.0
546,COURT SQ,04/13/2019,0,0.0,0.0
588,COURT SQ-23 ST,04/13/2019,0,0.0,0.0
630,FLUSHING AV,04/13/2019,0,0.0,0.0
672,FT HAMILTON PKY,04/13/2019,0,0.0,0.0
714,FULTON ST,04/13/2019,0,0.0,0.0
756,GREENPOINT AV,04/13/2019,0,0.0,0.0
798,HOYT-SCHER,04/13/2019,0,0.0,0.0
840,LORIMER ST,04/13/2019,0,0.0,0.0
882,METROPOLITAN AV,04/13/2019,0,0.0,0.0
924,MYRTLE-WILLOUGH,04/13/2019,0,0.0,0.0
966,NASSAU AV,04/13/2019,0,0.0,0.0
1007,SMITH-9 ST,04/13/2019,0,0.0,0.0
1,15 ST-PROSPECT,04/13/2019,1,37.0,73.0
43,21 ST,04/13/2019,1,0.0,0.0
85,4 AV-9 ST,04/13/2019,1,62.0,153.0
127,42 ST-PORT AUTH,04/13/2019,1,296.0,221.0
169,4AV-9 ST,04/13/2019,1,129.0,178.0
211,7 AV,04/13/2019,1,57.0,64.0
253,BEDFORD-NOSTRAN,04/13/2019,1,183.0,360.0
295,BERGEN ST,04/13/2019,1,110.0,67.0
337,BROADWAY,04/13/2019,1,0.0,0.0
379,CARROLL ST,04/13/2019,1,146.0,105.0
421,CHURCH AV,04/13/2019,1,70.0,371.0
463,CLASSON AV,04/13/2019,1,71.0,209.0
505,CLINTON-WASH AV,04/13/2019,1,1709.0,3381.0
547,COURT SQ,04/13/2019,1,134.0,295.0
