,STATION,DATE,TIME,ENTRIES,EXITS
0,104 ST,04/13/2019,0,0.0,0.0
42,121 ST,04/13/2019,0,0.0,0.0
84,75 ST-ELDERTS,04/13/2019,0,0.0,0.0
126,85 ST-FOREST PK,04/13/2019,0,0.0,0.0
168,ALABAMA AV,04/13/2019,0,0.0,0.0
210,BOWERY,04/13/2019,0,0.0,0.0
252,BROAD ST,04/13/2019,0,0.0,0.0
291,BROADWAY JCT,04/13/2019,0,0.0,0.0
333,BROOKLYN BRIDGE,04/13/2019,0,0.0,0.0
375,CANAL ST,04/13/2019,0,0.0,0.0
417,CHAMBERS ST,04/13/2019,0,0.0,0.0
459,CHAUNCEY ST,04/13/2019,0,0.0,0.0
501,CLEVELAND ST,04/13/2019,0,0.0,0.0
543,CRESCENT ST,04/13/2019,0,0.0,0.0
585,CYPRESS HILLS,04/13/2019,0,0.0,0.0
627,DELANCEY/ESSEX,04/13/2019,0,0.0,0.0
669,FLUSHING AV,04/13/2019,0,0.0,0.0
711,FULTON ST,04/13/2019,0,0.0,0.0
753,GATES AV,04/13/2019,0,0.0,0.0
795,HALSEY ST,04/13/2019,0,0.0,0.0
837,HEWES ST,04/13/2019,0,0.0,0.0
879,JAMAICA CENTER,04/13/2019,0,0.0,0.0
921,KOSCIUSZKO ST,04/13/2019,0,0.0,0.0
963,LORIMER ST,04/13/2019,0,0.0,0.0
1005,MARCY AV,04/13/2019,0,0.0,0.0
1047,MYRTLE AV,04/13/2019,0,0.0,0.0
1089,NORWOOD AV,04/13/2019,0,0.0,0.0
1131,SUTPHIN-ARCHER,04/13/2019,0,0.0,0.0
1173,VAN SICLEN AV,04/13/2019,0,0.0,0.0
1215,WOODHAVEN BLVD,04/13/2019,0,0.0,0.0
1,104 ST,04/13/2019,1,18.0,45.0
43,121 ST,04/13/2019,1,48.0,60.0
85,75 ST-ELDERTS,04/13/2019,1,24.0,64.0
127,85 ST-FOREST PK,04/13/2019,1,32.0,85.0
169,ALABAMA AV,04/13/2019,1,33.0,48.0
211,BOWERY,04/13/2019,1,408.0,138.0
253,BROAD ST,04/13/2019,1,53.0,44.0
292,BROADWAY JCT,04/13/2019,1,252.0,801.0
334,BROOKLYN BRIDGE,04/13/2019,1,213.0,152.0
376,CANAL ST,04/13/2019,1,493.0,293.0
418,CHAMBERS ST,04/13/2019,1,128.0,74.0
460,CHAUNCEY ST,04/13/2019,1,28.0,75.0
502,CLEVELAND ST,04/13/2019,1,50.0,97.0
544,CRESCENT ST,04/13/2019,1,98.0,247.0
586,CYPRESS HILLS,04/13/2019,1,9.0,27.0
628,DELANCEY/ESSEX,04/13/2019,1,979.0,264.0
670,FLUSHING AV,04/13/2019,1,111.0,133.0
712,FULTON ST,04/13/2019,1,513.0,815.0
754,GATES AV,04/13/2019,1,68.0,128.0
796,HALSEY ST,04/13/2019,1,67.0,160.0
838,HEWES ST,04/13/2019,1,38.0,69.0
880,JAMAICA CENTER,04/13/2019,1,362.0,1131.0
922,KOSCIUSZKO ST,04/13/2019,1,98.0,153.0
964,LORIMER ST,04/13/2019,1,65.0,68.0
1006,MARCY AV,04/13/2019,1,249.0,130.0
1048,MYRTLE AV,04/13/2019,1,242.0,395.0
