,STATION,DATE,TIME,ENTRIES,EXITS
0,1 AV,04/13/2019,0,1413080054,1463224761
42,14 ST,04/13/2019,0,4597339091,3250802496
84,14 ST-UNION SQ,04/13/2019,0,704154403,367110672
126,3 AV,04/13/2019,0,25103117,26565437
168,6 AV,04/13/2019,0,1225771368,1213048780
210,8 AV,04/13/2019,0,187885640,76706808
252,ATLANTIC AV,04/13/2019,0,3455219,1421915
294,BEDFORD AV,04/13/2019,0,95293812,100015504
336,BROADWAY JCT,04/13/2019,0,62012024,58262032
378,BUSHWICK AV,04/13/2019,0,6637068,5673669
420,CANARSIE-ROCKAW,04/13/2019,0,95311223,23813018
462,DEKALB AV,04/13/2019,0,1943759071,864709067
504,EAST 105 ST,04/13/2019,0,23972029,22095506
546,GRAHAM AV,04/13/2019,0,38579098,22132849
588,GRAND ST,04/13/2019,0,18935638,16211914
630,HALSEY ST,04/13/2019,0,101861669,55151775
672,JEFFERSON ST,04/13/2019,0,26868248,12175123
714,LIVONIA AV,04/13/2019,0,14031014,8340190
756,LORIMER ST,04/13/2019,0,16360494,5328663
798,METROPOLITAN AV,04/13/2019,0,25230046,18575263
840,MONTROSE AV,04/13/2019,0,147479144,10460004
882,MORGAN AV,04/13/2019,0,6250158,2623440
924,MYRTLE-WYCKOFF,04/13/2019,0,1721518763,596135086
966,NEW LOTS,04/13/2019,0,17073743,21720331
1008,SUTTER AV,04/13/2019,0,3223353,2156634
1050,WILSON AV,04/13/2019,0,18914082,17045285
1,1 AV,04/13/2019,1,1413080969,1463225493
43,14 ST,04/13/2019,1,4597340860,3250803397
85,14 ST-UNION SQ,04/13/2019,1,704156298,367111574
127,3 AV,04/13/2019,1,25103525,26565623
169,6 AV,04/13/2019,1,1225771360,1213048845
211,8 AV,04/13/2019,1,187886501,76707028
253,ATLANTIC AV,04/13/2019,1,3455234,1421935
295,BEDFORD AV,04/13/2019,1,95294952,100016427
337,BROADWAY JCT,04/13/2019,1,62012276,58262833
379,BUSHWICK AV,04/13/2019,1,6637085,5673796
421,CANARSIE-ROCKAW,04/13/2019,1,95311380,23813131
463,DEKALB AV,04/13/2019,1,1943759209,864709225
505,EAST 105 ST,04/13/2019,1,23972071,22095620
547,GRAHAM AV,04/13/2019,1,38579350,22133161
589,GRAND ST,04/13/2019,1,18935766,16212153
631,HALSEY ST,04/13/2019,1,101861840,55152210
673,JEFFERSON ST,04/13/2019,1,26868745,12175241
715,LIVONIA AV,04/13/2019,1,14031045,8340246
757,LORIMER ST,04/13/2019,1,16360587,5328703
799,METROPOLITAN AV,04/13/2019,1,25230287,18575560
841,MONTROSE AV,04/13/2019,1,147479325,10460357
883,MORGAN AV,04/13/2019,1,6250398,2623724
925,MYRTLE-WYCKOFF,04/13/2019,1,1721519074,596136167
967,NEW LOTS,04/13/2019,1,17073831,21720530
1009,SUTTER AV,04/13/2019,1,3223412,2156764
1051,WILSON AV,04/13/2019,1,18914164,17045623
2,1 AV,04/13/2019,2,1413081364,1463226242
44,14 ST,04/13/2019,2,4597341795,3250805077
86,14 ST-UNION SQ,04/13/2019,2,704158378,367117011
128,3 AV,04/13/2019,2,25103606,26565784
170,6 AV,04/13/2019,2,1225771354,1213048932
212,8 AV,04/13/2019,2,187887073,76707916
254,ATLANTIC AV,04/13/2019,2,3455307,1421955
296,BEDFORD AV,04/13/2019,2,95295482,100016953
338,BROADWAY JCT,04/13/2019,2,62013263,58263366
380,BUSHWICK AV,04/13/2019,2,6637225,5673861
422,CANARSIE-ROCKAW,04/13/2019,2,95312578,23813254
464,DEKALB AV,04/13/2019,2,1943759881,864709317
506,EAST 105 ST,04/13/2019,2,23972406,22095810
548,GRAHAM AV,04/13/2019,2,38579597,22133344
590,GRAND ST,04/13/2019,2,18936046,16212410
632,HALSEY ST,04/13/2019,2,101862475,55152368
674,JEFFERSON ST,04/13/2019,2,26869162,12175299
716,LIVONIA AV,04/13/2019,2,14031336,8340429
758,LORIMER ST,04/13/2019,2,16360871,5328757
800,METROPOLITAN AV,04/13/2019,2,25230807,18576050
842,MONTROSE AV,04/13/2019,2,147479633,10460538
884,MORGAN AV,04/13/2019,2,6250696,2623900
926,MYRTLE-WYCKOFF,04/13/2019,2,1721521541,596136645
968,NEW LOTS,04/13/2019,2,17074284,21720780
1010,SUTTER AV,04/13/2019,2,3223782,2156934
1052,WILSON AV,04/13/2019,2,18914411,17045737
3,1 AV,04/13/2019,3,1413083530,1463228935
45,14 ST,04/13/2019,3,4597345909,3250812530
87,14 ST-UNION SQ,04/13/2019,3,704169424,367135483
129,3 AV,04/13/2019,3,25104045,26566726
171,6 AV,04/13/2019,3,1225771351,1213049352
213,8 AV,04/13/2019,3,187889648,76711329
255,ATLANTIC AV,04/13/2019,3,3455425,1421988
297,BEDFORD AV,04/13/2019,3,95299106,100020473
339,BROADWAY JCT,04/13/2019,3,62015216,58264650
381,BUSHWICK AV,04/13/2019,3,6637656,5673962
423,CANARSIE-ROCKAW,04/13/2019,3,95313641,23813460
465,DEKALB AV,04/13/2019,3,1943761636,864709572
507,EAST 105 ST,04/13/2019,3,23972804,22096093
549,GRAHAM AV,04/13/2019,3,38581053,22133939
591,GRAND ST,04/13/2019,3,18936903,16213158
633,HALSEY ST,04/13/2019,3,101863961,55152710
675,JEFFERSON ST,04/13/2019,3,26870374,12175622
717,LIVONIA AV,04/13/2019,3,14031650,8340730
759,LORIMER ST,04/13/2019,3,16361980,5328975
801,METROPOLITAN AV,04/13/2019,3,25232302,18576970
843,MONTROSE AV,04/13/2019,3,147480842,10461015
885,MORGAN AV,04/13/2019,3,6251870,2624334
927,MYRTLE-WYCKOFF,04/13/2019,3,1721526855,596137773
969,NEW LOTS,04/13/2019,3,17074683,21721097
1011,SUTTER AV,04/13/2019,3,3224190,2157135
1053,WILSON AV,04/13/2019,3,18915397,17045972
