,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST,04/13/2019,0,0.0,0.0
42,23 ST,04/13/2019,0,0.0,0.0
84,34 ST-HERALD SQ,04/13/2019,0,0.0,0.0
126,36 ST,04/13/2019,0,0.0,0.0
168,4 AV-9 ST,04/13/2019,0,0.0,0.0
210,42 ST-BRYANT PK,04/13/2019,0,0.0,0.0
252,46 ST,04/13/2019,0,0.0,0.0
294,47-50 STS ROCK,04/13/2019,0,0.0,0.0
336,4AV-9 ST,04/13/2019,0,0.0,0.0
378,5 AV/53 ST,04/13/2019,0,0.0,0.0
420,5 AVE,04/13/2019,0,0.0,0.0
462,6 AV,04/13/2019,0,0.0,0.0
504,63 DR-REGO PARK,04/13/2019,0,0.0,0.0
546,65 ST,04/13/2019,0,0.0,0.0
588,67 AV,04/13/2019,0,0.0,0.0
630,74 ST-BROADWAY,04/13/2019,0,0.0,0.0
672,CENTRAL AV,04/13/2019,0,0.0,0.0
714,COURT SQ,04/13/2019,0,0.0,0.0
756,COURT SQ-23 ST,04/13/2019,0,0.0,0.0
798,DELANCEY/ESSEX,04/13/2019,0,0.0,0.0
840,ELMHURST AV,04/13/2019,0,0.0,0.0
882,FLUSHING AV,04/13/2019,0,0.0,0.0
924,FOREST AVE,04/13/2019,0,0.0,0.0
966,FOREST HILLS 71,04/13/2019,0,0.0,0.0
1008,FRESH POND RD,04/13/2019,0,0.0,0.0
1050,GRAND-NEWTOWN,04/13/2019,0,0.0,0.0
1092,HEWES ST,04/13/2019,0,0.0,0.0
1134,JKSN HT-ROOSVLT,04/13/2019,0,0.0,0.0
1176,KNICKERBOCKER,04/13/2019,0,0.0,0.0
1218,LEXINGTON AV/53,04/13/2019,0,0.0,0.0
1260,LORIMER ST,04/13/2019,0,0.0,0.0
1302,MARCY AV,04/13/2019,0,0.0,0.0
1344,METROPOLITAN AV,04/13/2019,0,0.0,0.0
1385,MYRTLE AV,04/13/2019,0,0.0,0.0
1427,MYRTLE-WYCKOFF,04/13/2019,0,0.0,0.0
1469,NORTHERN BLVD,04/13/2019,0,0.0,0.0
1511,QUEENS PLAZA,04/13/2019,0,0.0,0.0
1553,SENECA AVE,04/13/2019,0,0.0,0.0
1595,STEINWAY ST,04/13/2019,0,0.0,0.0
1637,W 4 ST-WASH SQ,04/13/2019,0,0.0,0.0
1679,WOODHAVEN BLVD,04/13/2019,0,0.0,0.0
1,14 ST,04/13/2019,1,1244.0,690.0
43,23 ST,04/13/2019,1,203.0,147.0
85,34 ST-HERALD SQ,04/13/2019,1,2581.0,1677.0
127,36 ST,04/13/2019,1,40.0,45.0
169,4 AV-9 ST,04/13/2019,1,62.0,153.0
211,42 ST-BRYANT PK,04/13/2019,1,838.0,350.0
253,46 ST,04/13/2019,1,70.0,158.0
295,47-50 STS ROCK,04/13/2019,1,1127.0,293.0
337,4AV-9 ST,04/13/2019,1,129.0,178.0
379,5 AV/53 ST,04/13/2019,1,96.0,177.0
421,5 AVE,04/13/2019,1,242.0,56.0
463,6 AV,04/13/2019,1,8.0,65.0
505,63 DR-REGO PARK,04/13/2019,1,116.0,154.0
547,65 ST,04/13/2019,1,47.0,107.0
589,67 AV,04/13/2019,1,55.0,141.0
631,74 ST-BROADWAY,04/13/2019,1,87.0,210.0
673,CENTRAL AV,04/13/2019,1,34.0,66.0
715,COURT SQ,04/13/2019,1,134.0,295.0
757,COURT SQ-23 ST,04/13/2019,1,86.0,35.0
799,DELANCEY/ESSEX,04/13/2019,1,979.0,264.0
841,ELMHURST AV,04/13/2019,1,70.0,66.0
883,FLUSHING AV,04/13/2019,1,111.0,133.0
925,FOREST AVE,04/13/2019,1,9.0,81.0
967,FOREST HILLS 71,04/13/2019,1,185.0,216.0
1009,FRESH POND RD,04/13/2019,1,10.0,163.0
1051,GRAND-NEWTOWN,04/13/2019,1,75.0,460.0
1093,HEWES ST,04/13/2019,1,38.0,69.0
1135,JKSN HT-ROOSVLT,04/13/2019,1,991.0,2497.0
1177,KNICKERBOCKER,04/13/2019,1,21.0,69.0
1219,LEXINGTON AV/53,04/13/2019,1,584.0,353.0
1261,LORIMER ST,04/13/2019,1,65.0,68.0
1303,MARCY AV,04/13/2019,1,249.0,130.0
1345,METROPOLITAN AV,04/13/2019,1,20.0,56.0
1386,MYRTLE AV,04/13/2019,1,242.0,395.0
1428,MYRTLE-WYCKOFF,04/13/2019,1,311.0,1081.0
1470,NORTHERN BLVD,04/13/2019,1,74.0,142.0
1512,QUEENS PLAZA,04/13/2019,1,87.0,240.0
1554,SENECA AVE,04/13/2019,1,18.0,60.0
1596,STEINWAY ST,04/13/2019,1,368.0,525.0
1638,W 4 ST-WASH SQ,04/13/2019,1,1667.0,582.0
1680,WOODHAVEN BLVD,04/13/2019,1,124.0,238.0
2,14 ST,04/13/2019,2,470.0,895.0
44,23 ST,04/13/2019,2,115.0,235.0
86,34 ST-HERALD SQ,04/13/2019,2,1905.0,3488.0
128,36 ST,04/13/2019,2,327.0,352.0
170,4 AV-9 ST,04/13/2019,2,90.0,132.0
212,42 ST-BRYANT PK,04/13/2019,2,308.0,769.0
254,46 ST,04/13/2019,2,847.0,347.0
296,47-50 STS ROCK,04/13/2019,2,466.0,1198.0
338,4AV-9 ST,04/13/2019,2,217.0,265.0
380,5 AV/53 ST,04/13/2019,2,270.0,1302.0
422,5 AVE,04/13/2019,2,91.0,401.0
464,6 AV,04/13/2019,2,6.0,87.0
506,63 DR-REGO PARK,04/13/2019,2,768.0,139.0
548,65 ST,04/13/2019,2,529.0,174.0
590,67 AV,04/13/2019,2,462.0,98.0
632,74 ST-BROADWAY,04/13/2019,2,164.0,150.0
674,CENTRAL AV,04/13/2019,2,0.0,6.0
716,COURT SQ,04/13/2019,2,272.0,823.0
758,COURT SQ-23 ST,04/13/2019,2,110.0,76.0
800,DELANCEY/ESSEX,04/13/2019,2,1073.0,744.0
842,ELMHURST AV,04/13/2019,2,710.0,66.0
884,FLUSHING AV,04/13/2019,2,438.0,228.0
926,FOREST AVE,04/13/2019,2,0.0,0.0
968,FOREST HILLS 71,04/13/2019,2,1967.0,549.0
1010,FRESH POND RD,04/13/2019,2,0.0,0.0
1052,GRAND-NEWTOWN,04/13/2019,2,1219.0,296.0
1094,HEWES ST,04/13/2019,2,164.0,63.0
1136,JKSN HT-ROOSVLT,04/13/2019,2,3918.0,1217.0
1178,KNICKERBOCKER,04/13/2019,2,0.0,2.0
1220,LEXINGTON AV/53,04/13/2019,2,349.0,1225.0
1262,LORIMER ST,04/13/2019,2,361.0,145.0
1304,MARCY AV,04/13/2019,2,549.0,288.0
1346,METROPOLITAN AV,04/13/2019,2,0.0,3.0
1387,MYRTLE AV,04/13/2019,2,1194.0,245.0
1429,MYRTLE-WYCKOFF,04/13/2019,2,2467.0,478.0
1471,NORTHERN BLVD,04/13/2019,2,749.0,376.0
1513,QUEENS PLAZA,04/13/2019,2,747.0,937.0
1555,SENECA AVE,04/13/2019,2,0.0,0.0
1597,STEINWAY ST,04/13/2019,2,2220.0,18551.0
1639,W 4 ST-WASH SQ,04/13/2019,2,1047.0,2096.0
1681,WOODHAVEN BLVD,04/13/2019,2,2221.0,445.0
3,14 ST,04/13/2019,3,2340.0,4008.0
45,23 ST,04/13/2019,3,767.0,1120.0
87,34 ST-HERALD SQ,04/13/2019,3,8878.0,14321.0
129,36 ST,04/13/2019,3,1031.0,648.0
171,4 AV-9 ST,04/13/2019,3,456.0,520.0
213,42 ST-BRYANT PK,04/13/2019,3,1760.0,2743.0
255,46 ST,04/13/2019,3,1733.0,851.0
297,47-50 STS ROCK,04/13/2019,3,1991.0,4077.0
339,4AV-9 ST,04/13/2019,3,1206.0,820.0
381,5 AV/53 ST,04/13/2019,3,1249.0,2822.0
423,5 AVE,04/13/2019,3,453.0,1198.0
465,6 AV,04/13/2019,3,3.0,420.0
507,63 DR-REGO PARK,04/13/2019,3,2326.0,649.0
549,65 ST,04/13/2019,3,775.0,387.0
591,67 AV,04/13/2019,3,1442.0,354.0
633,74 ST-BROADWAY,04/13/2019,3,525.0,642.0
675,CENTRAL AV,04/13/2019,3,0.0,0.0
717,COURT SQ,04/13/2019,3,895.0,1041.0
759,COURT SQ-23 ST,04/13/2019,3,560.0,188.0
801,DELANCEY/ESSEX,04/13/2019,3,3185.0,1996.0
843,ELMHURST AV,04/13/2019,3,1856.0,237.0
885,FLUSHING AV,04/13/2019,3,1219.0,448.0
927,FOREST AVE,04/13/2019,3,0.0,0.0
969,FOREST HILLS 71,04/13/2019,3,3844.0,1246.0
1011,FRESH POND RD,04/13/2019,3,0.0,0.0
1053,GRAND-NEWTOWN,04/13/2019,3,2812.0,960.0
1095,HEWES ST,04/13/2019,3,447.0,172.0
1137,JKSN HT-ROOSVLT,04/13/2019,3,9316.0,3687.0
1179,KNICKERBOCKER,04/13/2019,3,0.0,13.0
1221,LEXINGTON AV/53,04/13/2019,3,1898.0,2621.0
1263,LORIMER ST,04/13/2019,3,856.0,344.0
1305,MARCY AV,04/13/2019,3,1503.0,697.0
1347,METROPOLITAN AV,04/13/2019,3,0.0,0.0
1388,MYRTLE AV,04/13/2019,3,2433.0,580.0
1430,MYRTLE-WYCKOFF,04/13/2019,3,5314.0,1128.0
1472,NORTHERN BLVD,04/13/2019,3,1135.0,677.0
1514,QUEENS PLAZA,04/13/2019,3,2372.0,1577.0
1556,SENECA AVE,04/13/2019,3,0.0,0.0
1598,STEINWAY ST,04/13/2019,3,7207.0,20843.0
1640,W 4 ST-WASH SQ,04/13/2019,3,4284.0,8065.0
1682,WOODHAVEN BLVD,04/13/2019,3,3113.0,1944.0
4,14 ST,04/13/2019,4,6131.0,6026.0
46,23 ST,04/13/2019,4,1881.0,1386.0
88,34 ST-HERALD SQ,04/13/2019,4,18218.0,20614.0
130,36 ST,04/13/2019,4,1222.0,690.0
172,4 AV-9 ST,04/13/2019,4,664.0,719.0
214,42 ST-BRYANT PK,04/13/2019,4,3863.0,4153.0
256,46 ST,04/13/2019,4,1693.0,1231.0
298,47-50 STS ROCK,04/13/2019,4,4380.0,5434.0
340,4AV-9 ST,04/13/2019,4,1695.0,1074.0
382,5 AV/53 ST,04/13/2019,4,2970.0,3031.0
424,5 AVE,04/13/2019,4,1632.0,1690.0
466,6 AV,04/13/2019,4,208.0,547.0
508,63 DR-REGO PARK,04/13/2019,4,2869.0,1124.0
550,65 ST,04/13/2019,4,784.0,621.0
592,67 AV,04/13/2019,4,1462.0,574.0
634,74 ST-BROADWAY,04/13/2019,4,951.0,1146.0
676,CENTRAL AV,04/13/2019,4,0.0,0.0
718,COURT SQ,04/13/2019,4,1141.0,1701.0
760,COURT SQ-23 ST,04/13/2019,4,745.0,241.0
802,DELANCEY/ESSEX,04/13/2019,4,4826.0,2321.0
844,ELMHURST AV,04/13/2019,4,1770.0,481.0
886,FLUSHING AV,04/13/2019,4,1542.0,684.0
928,FOREST AVE,04/13/2019,4,0.0,0.0
970,FOREST HILLS 71,04/13/2019,4,3947.0,1830.0
1012,FRESH POND RD,04/13/2019,4,0.0,0.0
1054,GRAND-NEWTOWN,04/13/2019,4,2526.0,1670.0
1096,HEWES ST,04/13/2019,4,463.0,320.0
1138,JKSN HT-ROOSVLT,04/13/2019,4,10371.0,6304.0
1180,KNICKERBOCKER,04/13/2019,4,0.0,10.0
1222,LEXINGTON AV/53,04/13/2019,4,3142.0,3699.0
1264,LORIMER ST,04/13/2019,4,665.0,628.0
1306,MARCY AV,04/13/2019,4,2244.0,1148.0
1348,METROPOLITAN AV,04/13/2019,4,0.0,3.0
1389,MYRTLE AV,04/13/2019,4,2346.0,1093.0
1431,MYRTLE-WYCKOFF,04/13/2019,4,5362.0,2042.0
1473,NORTHERN BLVD,04/13/2019,4,1164.0,1092.0
1515,QUEENS PLAZA,04/13/2019,4,2569.0,1914.0
1557,SENECA AVE,04/13/2019,4,0.0,0.0
1599,STEINWAY ST,04/13/2019,4,5565.0,3119.0
1641,W 4 ST-WASH SQ,04/13/2019,4,9477.0,10113.0
1683,WOODHAVEN BLVD,04/13/2019,4,3913.0,3287.0
5,14 ST,04/13/2019,5,7587.0,5950.0
47,23 ST,04/13/2019,5,2177.0,1293.0
89,34 ST-HERALD SQ,04/13/2019,5,22075.0,22591.0
131,36 ST,04/13/2019,5,879.0,756.0
173,4 AV-9 ST,04/13/2019,5,629.0,869.0
215,42 ST-BRYANT PK,04/13/2019,5,5519.0,4215.0
257,46 ST,04/13/2019,5,1136.0,1476.0
299,47-50 STS ROCK,04/13/2019,5,7271.0,5675.0
341,4AV-9 ST,04/13/2019,5,1475.0,1093.0
383,5 AV/53 ST,04/13/2019,5,2372.0,1178.0
425,5 AVE,04/13/2019,5,2222.0,1196.0
467,6 AV,04/13/2019,5,147.0,584.0
509,63 DR-REGO PARK,04/13/2019,5,2182.0,1150.0
551,65 ST,04/13/2019,5,432.0,754.0
593,67 AV,04/13/2019,5,892.0,710.0
635,74 ST-BROADWAY,04/13/2019,5,889.0,1369.0
677,CENTRAL AV,04/13/2019,5,0.0,0.0
719,COURT SQ,04/13/2019,5,965.0,1791.0
761,COURT SQ-23 ST,04/13/2019,5,766.0,231.0
803,DELANCEY/ESSEX,04/13/2019,5,4585.0,2452.0
845,ELMHURST AV,04/13/2019,5,1143.0,458.0
887,FLUSHING AV,04/13/2019,5,1084.0,776.0
929,FOREST AVE,04/13/2019,5,0.0,0.0
971,FOREST HILLS 71,04/13/2019,5,2694.0,2110.0
1013,FRESH POND RD,04/13/2019,5,0.0,0.0
1055,GRAND-NEWTOWN,04/13/2019,5,1697.0,2292.0
1097,HEWES ST,04/13/2019,5,417.0,338.0
1139,JKSN HT-ROOSVLT,04/13/2019,5,8171.0,8365.0
