,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST-UNION SQ,04/13/2019,0,0.0,0.0
42,23 ST,04/13/2019,0,0.0,0.0
84,25 ST,04/13/2019,0,0.0,0.0
126,28 ST,04/13/2019,0,0.0,0.0
168,34 ST-HERALD SQ,04/13/2019,0,0.0,0.0
210,36 ST,04/13/2019,0,0.0,0.0
252,4 AV-9 ST,04/13/2019,0,0.0,0.0
294,42 ST-PORT AUTH,04/13/2019,0,0.0,0.0
336,45 ST,04/13/2019,0,0.0,0.0
378,46 ST,04/13/2019,0,0.0,0.0
420,49 ST,04/13/2019,0,0.0,0.0
462,4AV-9 ST,04/13/2019,0,0.0,0.0
504,5 AV/59 ST,04/13/2019,0,0.0,0.0
546,53 ST,04/13/2019,0,0.0,0.0
588,57 ST-7 AV,04/13/2019,0,0.0,0.0
630,59 ST,04/13/2019,0,0.0,0.0
672,63 DR-REGO PARK,04/13/2019,0,0.0,0.0
714,65 ST,04/13/2019,0,0.0,0.0
756,67 AV,04/13/2019,0,0.0,0.0
798,74 ST-BROADWAY,04/13/2019,0,0.0,0.0
840,77 ST,04/13/2019,0,0.0,0.0
882,8 ST-NYU,04/13/2019,0,0.0,0.0
924,86 ST,04/13/2019,0,0.0,0.0
966,ATL AV-BARCLAY,04/13/2019,0,0.0,0.0
1008,BAY RIDGE AV,04/13/2019,0,0.0,0.0
1050,BAY RIDGE-95 ST,04/13/2019,0,0.0,0.0
1092,BOROUGH HALL,04/13/2019,0,0.0,0.0
1134,CANAL ST,04/13/2019,0,0.0,0.0
1176,CITY HALL,04/13/2019,0,0.0,0.0
1218,CORTLANDT ST,04/13/2019,0,0.0,0.0
1260,DEKALB AV,04/13/2019,0,0.0,0.0
1302,ELMHURST AV,04/13/2019,0,0.0,0.0
1344,FOREST HILLS 71,04/13/2019,0,0.0,0.0
1386,GRAND-NEWTOWN,04/13/2019,0,0.0,0.0
1428,JAY ST-METROTEC,04/13/2019,0,0.0,0.0
1470,JKSN HT-ROOSVLT,04/13/2019,0,0.0,0.0
1512,NORTHERN BLVD,04/13/2019,0,0.0,0.0
1554,PRINCE ST,04/13/2019,0,0.0,0.0
1596,PROSPECT AV,04/13/2019,0,0.0,0.0
1638,QUEENS PLAZA,04/13/2019,0,0.0,0.0
1680,RECTOR ST,04/13/2019,0,0.0,0.0
1722,RIT-MANHATTAN,04/13/2019,0,0.0,0.0
1764,RIT-ROOSEVELT,04/13/2019,0,0.0,0.0
1806,SOUTH FERRY,04/13/2019,0,0.0,0.0
1848,STEINWAY ST,04/13/2019,0,0.0,0.0
1890,TIMES SQ-42 ST,04/13/2019,0,0.0,0.0
1932,UNION ST,04/13/2019,0,0.0,0.0
1974,WHITEHALL S-FRY,04/13/2019,0,0.0,0.0
2016,WOODHAVEN BLVD,04/13/2019,0,0.0,0.0
1,14 ST-UNION SQ,04/13/2019,1,1895.0,902.0
43,23 ST,04/13/2019,1,648.0,140.0
85,25 ST,04/13/2019,1,56.0,190.0
127,28 ST,04/13/2019,1,526.0,203.0
169,34 ST-HERALD SQ,04/13/2019,1,2581.0,1677.0
211,36 ST,04/13/2019,1,349.0,696.0
253,4 AV-9 ST,04/13/2019,1,62.0,153.0
295,42 ST-PORT AUTH,04/13/2019,1,1674.0,1658.0
337,45 ST,04/13/2019,1,69.0,322.0
379,46 ST,04/13/2019,1,70.0,158.0
421,49 ST,04/13/2019,1,1247.0,380.0
463,4AV-9 ST,04/13/2019,1,129.0,178.0
505,5 AV/59 ST,04/13/2019,1,59.0,60.0
547,53 ST,04/13/2019,1,81.0,534.0
589,57 ST-7 AV,04/13/2019,1,1414.0,355.0
631,59 ST,04/13/2019,1,1102.0,679.0
673,63 DR-REGO PARK,04/13/2019,1,116.0,154.0
715,65 ST,04/13/2019,1,47.0,107.0
757,67 AV,04/13/2019,1,55.0,141.0
799,74 ST-BROADWAY,04/13/2019,1,87.0,210.0
841,77 ST,04/13/2019,1,35.0,93.0
883,8 ST-NYU,04/13/2019,1,790.0,299.0
