,STATION,DATE,TIME,ENTRIES,EXITS
0,42 ST-PORT AUTH,04/13/2019,0,7609307635,6213530292
42,BEACH 105 ST,04/13/2019,0,118876284,1924895
84,BEACH 90 ST,04/13/2019,0,6310497,6416720
126,BEACH 98 ST,04/13/2019,0,4926399,5301125
168,BOTANIC GARDEN,04/13/2019,0,5798762,3062421
209,BROAD CHANNEL,04/13/2019,0,1393745,205565
251,FRANKLIN AV,04/13/2019,0,700582096,2257935574
293,GRD CNTRL-42 ST,04/13/2019,0,2602367293,3167355041
335,PARK PLACE,04/13/2019,0,13044313,14162126
377,PROSPECT PARK,04/13/2019,0,1612374714,826868432
419,ROCKAWAY PARK B,04/13/2019,0,105887143,11767462
461,TIMES SQ-42 ST,04/13/2019,0,5861981956,4576867762
1,42 ST-PORT AUTH,04/13/2019,1,7609309309,6213531950
43,BEACH 105 ST,04/13/2019,1,118876289,1924911
85,BEACH 90 ST,04/13/2019,1,6310519,6416751
127,BEACH 98 ST,04/13/2019,1,4926411,5301143
169,BOTANIC GARDEN,04/13/2019,1,5798770,3062451
210,BROAD CHANNEL,04/13/2019,1,1393748,205569
252,FRANKLIN AV,04/13/2019,1,700582313,2257936094
294,GRD CNTRL-42 ST,04/13/2019,1,2602369024,3167355991
336,PARK PLACE,04/13/2019,1,13044325,14162159
378,PROSPECT PARK,04/13/2019,1,1612374827,826868914
420,ROCKAWAY PARK B,04/13/2019,1,105887152,11767490
462,TIMES SQ-42 ST,04/13/2019,1,5861986120,4576869178
2,42 ST-PORT AUTH,04/13/2019,2,7609313426,6213536472
44,BEACH 105 ST,04/13/2019,2,118876303,1924925
86,BEACH 90 ST,04/13/2019,2,6310601,6416790
128,BEACH 98 ST,04/13/2019,2,4926459,5301162
170,BOTANIC GARDEN,04/13/2019,2,5798822,3062566
211,BROAD CHANNEL,04/13/2019,2,1393782,205572
253,FRANKLIN AV,04/13/2019,2,700582970,2257936597
295,GRD CNTRL-42 ST,04/13/2019,2,2602371426,3167361008
337,PARK PLACE,04/13/2019,2,13044434,14162267
379,PROSPECT PARK,04/13/2019,2,1612375348,826869099
421,ROCKAWAY PARK B,04/13/2019,2,105887219,11767547
463,TIMES SQ-42 ST,04/13/2019,2,5861987851,4576872374
3,42 ST-PORT AUTH,04/13/2019,3,7609324955,6213548852
45,BEACH 105 ST,04/13/2019,3,118876314,1924945
87,BEACH 90 ST,04/13/2019,3,6310701,6416876
129,BEACH 98 ST,04/13/2019,3,4926504,5301207
171,BOTANIC GARDEN,04/13/2019,3,5799035,3062984
212,BROAD CHANNEL,04/13/2019,3,1393811,205582
254,FRANKLIN AV,04/13/2019,3,700585675,2257937799
296,GRD CNTRL-42 ST,04/13/2019,3,2602384639,3167373028
338,PARK PLACE,04/13/2019,3,13044687,14162498
380,PROSPECT PARK,04/13/2019,3,1612377630,826869815
422,ROCKAWAY PARK B,04/13/2019,3,105887324,11767643
464,TIMES SQ-42 ST,04/13/2019,3,5861995352,4576885007
