,STATION,DATE,TIME,ENTRIES,EXITS
0,14 ST-UNION SQ,04/13/2019,0,0.0,0.0
42,23 ST,04/13/2019,0,0.0,0.0
84,28 ST,04/13/2019,0,0.0,0.0
126,30 AV,04/13/2019,0,0.0,0.0
168,34 ST-HERALD SQ,04/13/2019,0,0.0,0.0
210,36 AV,04/13/2019,0,0.0,0.0
249,39 AV,04/13/2019,0,0.0,0.0
291,42 ST-PORT AUTH,04/13/2019,0,0.0,0.0
333,49 ST,04/13/2019,0,0.0,0.0
375,5 AV/59 ST,04/13/2019,0,0.0,0.0
417,57 ST-7 AV,04/13/2019,0,0.0,0.0
459,59 ST,04/13/2019,0,0.0,0.0
501,8 ST-NYU,04/13/2019,0,0.0,0.0
543,ASTORIA DITMARS,04/13/2019,0,0.0,0.0
585,BROADWAY,04/13/2019,0,0.0,0.0
627,CANAL ST,04/13/2019,0,0.0,0.0
669,CITY HALL,04/13/2019,0,0.0,0.0
711,CORTLANDT ST,04/13/2019,0,0.0,0.0
753,PRINCE ST,04/13/2019,0,0.0,0.0
795,QUEENSBORO PLZ,04/13/2019,0,0.0,0.0
837,RECTOR ST,04/13/2019,0,0.0,0.0
879,SOUTH FERRY,04/13/2019,0,0.0,0.0
921,TIMES SQ-42 ST,04/13/2019,0,0.0,0.0
963,WHITEHALL S-FRY,04/13/2019,0,0.0,0.0
1,14 ST-UNION SQ,04/13/2019,1,1895.0,902.0
43,23 ST,04/13/2019,1,648.0,140.0
85,28 ST,04/13/2019,1,526.0,203.0
127,30 AV,04/13/2019,1,182.0,738.0
169,34 ST-HERALD SQ,04/13/2019,1,2581.0,1677.0
211,36 AV,04/13/2019,1,89.0,297.0
250,39 AV,04/13/2019,1,34.0,78.0
292,42 ST-PORT AUTH,04/13/2019,1,1674.0,1658.0
334,49 ST,04/13/2019,1,1247.0,380.0
376,5 AV/59 ST,04/13/2019,1,59.0,60.0
418,57 ST-7 AV,04/13/2019,1,1414.0,355.0
460,59 ST,04/13/2019,1,1102.0,679.0
502,8 ST-NYU,04/13/2019,1,790.0,299.0
544,ASTORIA DITMARS,04/13/2019,1,167.0,882.0
586,BROADWAY,04/13/2019,1,99.0,497.0
628,CANAL ST,04/13/2019,1,493.0,293.0
670,CITY HALL,04/13/2019,1,55.0,43.0
712,CORTLANDT ST,04/13/2019,1,101.0,104.0
754,PRINCE ST,04/13/2019,1,437.0,206.0
796,QUEENSBORO PLZ,04/13/2019,1,316.0,285.0
838,RECTOR ST,04/13/2019,1,122.0,35.0
880,SOUTH FERRY,04/13/2019,1,5.0,11.0
922,TIMES SQ-42 ST,04/13/2019,1,3066.0,1250.0
964,WHITEHALL S-FRY,04/13/2019,1,190.0,292.0
2,14 ST-UNION SQ,04/13/2019,2,2080.0,5437.0
44,23 ST,04/13/2019,2,197.0,495.0
86,28 ST,04/13/2019,2,155.0,546.0
128,30 AV,04/13/2019,2,0.0,7.0
170,34 ST-HERALD SQ,04/13/2019,2,1905.0,3488.0
212,36 AV,04/13/2019,2,0.0,1.0
251,39 AV,04/13/2019,2,0.0,6.0
293,42 ST-PORT AUTH,04/13/2019,2,4117.0,4522.0
335,49 ST,04/13/2019,2,380.0,1005.0
377,5 AV/59 ST,04/13/2019,2,297.0,1526.0
419,57 ST-7 AV,04/13/2019,2,585.0,1494.0
461,59 ST,04/13/2019,2,1723.0,2210.0
503,8 ST-NYU,04/13/2019,2,217.0,278.0
545,ASTORIA DITMARS,04/13/2019,2,0.0,25.0
587,BROADWAY,04/13/2019,2,0.0,8.0
629,CANAL ST,04/13/2019,2,796.0,2572.0
671,CITY HALL,04/13/2019,2,35.0,89.0
713,CORTLANDT ST,04/13/2019,2,196.0,689.0
755,PRINCE ST,04/13/2019,2,80.0,420.0
797,QUEENSBORO PLZ,04/13/2019,2,1767.0,285.0
839,RECTOR ST,04/13/2019,2,127.0,91.0
881,SOUTH FERRY,04/13/2019,2,3.0,6.0
923,TIMES SQ-42 ST,04/13/2019,2,1405.0,2780.0
