,STATION,DATE,TIME,ENTRIES,EXITS
0,104 ST,04/13/2019,0,3157833331,2539208908
42,121 ST,04/13/2019,0,1954870960,526466166
84,75 ST-ELDERTS,04/13/2019,0,12093396,10595988
126,BOWERY,04/13/2019,0,16387944,16259565
168,BROAD ST,04/13/2019,0,17923203,12529400
207,BROADWAY JCT,04/13/2019,0,62012024,58262032
249,BROOKLYN BRIDGE,04/13/2019,0,621534057,669821622
291,CANAL ST,04/13/2019,0,3072252100,4816052748
333,CHAMBERS ST,04/13/2019,0,892033023,1825424363
375,CHAUNCEY ST,04/13/2019,0,7524284,3495979
417,CRESCENT ST,04/13/2019,0,17941732,16277597
459,DELANCEY/ESSEX,04/13/2019,0,80199138,66617997
501,FULTON ST,04/13/2019,0,4204637100,4306783021
543,GATES AV,04/13/2019,0,9735407,3789374
585,JAMAICA CENTER,04/13/2019,0,1341858028,93991630
627,MARCY AV,04/13/2019,0,151517448,11263164
669,MYRTLE AV,04/13/2019,0,41680835,33892116
711,NORWOOD AV,04/13/2019,0,12689212,13788057
753,SUTPHIN-ARCHER,04/13/2019,0,168590464,88330533
795,VAN SICLEN AV,04/13/2019,0,15130929,14961629
837,WOODHAVEN BLVD,04/13/2019,0,56254186,16180052
1,104 ST,04/13/2019,1,3157833349,2539208953
43,121 ST,04/13/2019,1,1954871008,526466226
85,75 ST-ELDERTS,04/13/2019,1,12093420,10596052
127,BOWERY,04/13/2019,1,16388352,16259703
169,BROAD ST,04/13/2019,1,17923256,12529444
208,BROADWAY JCT,04/13/2019,1,62012276,58262833
250,BROOKLYN BRIDGE,04/13/2019,1,621534270,669821774
292,CANAL ST,04/13/2019,1,3072252593,4816053041
334,CHAMBERS ST,04/13/2019,1,892033151,1825424437
376,CHAUNCEY ST,04/13/2019,1,7524312,3496054
418,CRESCENT ST,04/13/2019,1,17941830,16277844
460,DELANCEY/ESSEX,04/13/2019,1,80200117,66618261
502,FULTON ST,04/13/2019,1,4204637613,4306783836
544,GATES AV,04/13/2019,1,9735475,3789502
586,JAMAICA CENTER,04/13/2019,1,1341858390,93992761
628,MARCY AV,04/13/2019,1,151517697,11263294
670,MYRTLE AV,04/13/2019,1,41681077,33892511
712,NORWOOD AV,04/13/2019,1,12689258,13788200
754,SUTPHIN-ARCHER,04/13/2019,1,168590994,88331187
796,VAN SICLEN AV,04/13/2019,1,15130967,14961718
838,WOODHAVEN BLVD,04/13/2019,1,56254234,16180119
2,104 ST,04/13/2019,2,3157833349,2539208954
44,121 ST,04/13/2019,2,1954871008,526466235
86,75 ST-ELDERTS,04/13/2019,2,12093421,10596054
128,BOWERY,04/13/2019,2,16388425,16259879
170,BROAD ST,04/13/2019,2,17923318,12529543
209,BROADWAY JCT,04/13/2019,2,62013263,58263366
251,BROOKLYN BRIDGE,04/13/2019,2,621534457,669822166
293,CANAL ST,04/13/2019,2,3072253389,4816055613
335,CHAMBERS ST,04/13/2019,2,892033284,1825424569
377,CHAUNCEY ST,04/13/2019,2,7524634,3496117
419,CRESCENT ST,04/13/2019,2,17943302,16278626
461,DELANCEY/ESSEX,04/13/2019,2,80201190,66619005
503,FULTON ST,04/13/2019,2,4204639958,4306788800
545,GATES AV,04/13/2019,2,9736103,3789632
587,JAMAICA CENTER,04/13/2019,2,1341860933,93993576
629,MARCY AV,04/13/2019,2,151518246,11263582
671,MYRTLE AV,04/13/2019,2,41682271,33892756
713,NORWOOD AV,04/13/2019,2,12689718,13788314
755,SUTPHIN-ARCHER,04/13/2019,2,168592761,88331997
797,VAN SICLEN AV,04/13/2019,2,15131349,14961831
839,WOODHAVEN BLVD,04/13/2019,2,56254241,16180124
3,104 ST,04/13/2019,3,3157833349,2539208955
45,121 ST,04/13/2019,3,1954871008,526466235
87,75 ST-ELDERTS,04/13/2019,3,12093421,10596054
129,BOWERY,04/13/2019,3,16388883,16260949
171,BROAD ST,04/13/2019,3,17923811,12529794
210,BROADWAY JCT,04/13/2019,3,62015216,58264650
252,BROOKLYN BRIDGE,04/13/2019,3,621535803,669824299
294,CANAL ST,04/13/2019,3,3072258558,4816064780
336,CHAMBERS ST,04/13/2019,3,892033746,1825425048
378,CHAUNCEY ST,04/13/2019,3,7525281,3496272
420,CRESCENT ST,04/13/2019,3,17944769,16279924
